dataset,objective,augmentation,seed,action,source,macro_f1,auprc,far,early_recall,detection_delay
3W,CE_REP,FINAL_QDIFFCL,42,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\3w\seed_42\result.json,0.48675542569590086,0.5770726691011238,0.3020571310430378,0.8189951049344512,754.6818181818181
3W,CE_REP,FINAL_QDIFFCL,43,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\3w\seed_43\result.json,0.4793320318322871,0.6176880531696947,0.4386823334826505,0.9009452540370224,996.1363636363636
3W,CE_REP,FINAL_QDIFFCL,44,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\3w\seed_44\result.json,0.6321293268608789,0.6358552429333656,0.35787877743702834,0.9339447476509312,845.4583333333334
3W,CE_REP,NO_AUG,42,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\3w\seed_42\result.json,0.6152593738496309,0.6066797835497292,0.2917197891182247,0.8477747144545097,846.0434782608696
3W,CE_REP,NO_AUG,43,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\3w\seed_43\result.json,0.5280089330207088,0.6348822969277179,0.4382343819992419,0.897935070050076,1156.1363636363637
3W,CE_REP,NO_AUG,44,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\3w\seed_44\result.json,0.633070252349134,0.634608403110591,0.35763757279211605,0.9323411916952681,848.125
3W,HARD_SUPCON,FINAL_QDIFFCL,42,REUSE_EXISTING,outputs/qdiffcl_final_5seed/3w/manifest.json,0.5045061387771479,0.522965657319033,0.32765928121015814,0.8945028976537445,937.9545454545455
3W,HARD_SUPCON,FINAL_QDIFFCL,43,REUSE_EXISTING,outputs/qdiffcl_final_5seed/3w/manifest.json,0.5462574455988897,0.6598691709648623,0.4950897625857138,0.9383334271085354,352.5238095238095
3W,HARD_SUPCON,FINAL_QDIFFCL,44,REUSE_EXISTING,outputs/qdiffcl_final_5seed/3w/manifest.json,0.5056010279393156,0.5076676258819053,0.24385789600634022,0.8307263827153547,169.95454545454547
3W,HARD_SUPCON,NO_AUG,42,REUSE_EXISTING,outputs/external_baselines/manifest.json,0.4805820693923062,0.5286006396980205,0.43944040522380345,0.9056996567827603,937.9545454545455
3W,HARD_SUPCON,NO_AUG,43,REUSE_EXISTING,outputs/external_baselines/manifest.json,0.5434766650280944,0.6581473578167992,0.4945384376830571,0.9404996342767119,315.95238095238096
3W,HARD_SUPCON,NO_AUG,44,REUSE_EXISTING,outputs/external_baselines/manifest.json,0.26561206766432416,0.2903365476944526,0.3086385720685021,0.4823608844877061,98.79166666666667
TEP,CE_REP,FINAL_QDIFFCL,7,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\tep\FINAL_QDIFFCL\seed_7\metrics.json,0.9029084012013746,0.9358342967971764,0.01640625,0.775,144.77777777777777
TEP,CE_REP,FINAL_QDIFFCL,42,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\tep\FINAL_QDIFFCL\seed_42\metrics.json,0.8983555050310759,0.9326160643002989,0.023828125,0.76875,159.86486486486487
TEP,CE_REP,FINAL_QDIFFCL,2026,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\tep\FINAL_QDIFFCL\seed_2026\metrics.json,0.9019876703477893,0.9387276543435352,0.03203125,0.8,161.16216216216216
TEP,CE_REP,NO_AUG,7,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\tep\NO_AUG\seed_7\metrics.json,0.9027853046242025,0.9346472444070547,0.01875,0.78125,161.59459459459458
TEP,CE_REP,NO_AUG,42,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\tep\NO_AUG\seed_42\metrics.json,0.8971271831112172,0.9333297531015385,0.028515625,0.78125,161.94736842105263
TEP,CE_REP,NO_AUG,2026,NEW_TRAINING_REQUIRED,outputs\paper_contrastive_ablation\tep\NO_AUG\seed_2026\metrics.json,0.9002786493884694,0.9383807847424762,0.037109375,0.80625,173.31578947368422
TEP,HARD_SUPCON,FINAL_QDIFFCL,7,REUSE_EXISTING,outputs/qdiffcl_final_5seed/tep/manifest.json,0.8913159818399201,0.9314994413459726,0.030859375,0.79375,103.0
TEP,HARD_SUPCON,FINAL_QDIFFCL,42,REUSE_EXISTING,outputs/qdiffcl_final_5seed/tep/manifest.json,0.8859583014031658,0.9316237221107334,0.05390625,0.78125,121.97142857142858
TEP,HARD_SUPCON,FINAL_QDIFFCL,2026,REUSE_EXISTING,outputs/qdiffcl_final_5seed/tep/manifest.json,0.8809769629983866,0.9194652094676313,0.021875,0.7375,126.05882352941177
TEP,HARD_SUPCON,NO_AUG,7,REUSE_EXISTING,outputs/external_baselines/manifest.json,0.903195632662193,0.9374394105151396,0.021875,0.8125,102.31428571428572
TEP,HARD_SUPCON,NO_AUG,42,REUSE_EXISTING,outputs/external_baselines/manifest.json,0.905483404136128,0.9407947662570848,0.018359375,0.79375,124.25714285714285
TEP,HARD_SUPCON,NO_AUG,2026,REUSE_EXISTING,outputs/external_baselines/manifest.json,0.9082679840326884,0.9380430295374623,0.01484375,0.80625,106.88571428571429
