dataset,method,resolved_method,canonical_seed,training_seconds,peak_gpu_mib,timing_source,total_parameters,trainable_parameters,augmentation_parameters,inference_additional_parameters,inference_ms_per_1024_mean,inference_ms_per_1024_std,benchmark_windows,benchmark_repeats,macs_flops,peak_host_memory_mib,augmentation_ms_per_1024_mean,augmentation_ms_per_1024_std
3W,NO_AUG,NO_AUG,42,70.8403197999869,1787.01904296875,new canonical timing,10596,10596,0,0,0.805800004551808,0.15361406727557997,1024,3,N/A (no stable counter in frozen environment),N/A,1.2843666578798245,0.04318151781507895
3W,UNIFORM_DIFFUSION,UNIFORM_DIFFUSION,42,68.3432160000084,1786.62451171875,new canonical timing,10596,10596,0,0,0.805800004551808,0.15361406727557997,1024,3,N/A (no stable counter in frozen environment),N/A,21.59773334278725,1.7944704690214197
3W,STRONGEST_TRADITIONAL,JITTER_SCALING,42,66.04458439999144,1786.9716796875,outputs/external_baselines/manifest.json,10596,10596,0,0,0.805800004551808,0.15361406727557997,1024,3,N/A (no stable counter in frozen environment),N/A,61.2523666738222,1.494444375724886
3W,FRERA,FRERA,42,65.2430136000039,1789.93505859375,outputs/external_baselines/manifest.json,10596,10596,66,0,0.805800004551808,0.15361406727557997,1024,3,N/A (no stable counter in frozen environment),N/A,,
3W,FINAL_QDIFFCL,FINAL_QDIFFCL,42,66.82633619999979,1786.62451171875,new canonical timing,10596,10596,0,0,0.805800004551808,0.15361406727557997,1024,3,N/A (no stable counter in frozen environment),N/A,28.70686667544457,1.726386556379376
3W,DCBR,DCBR,42,66.82633619999979,1786.62451171875,rho=1 exact FINAL equivalent,10596,10596,0,0,0.805800004551808,0.15361406727557997,1024,3,N/A (no stable counter in frozen environment),N/A,29.08153333313142,2.852554472949674
TEP,NO_AUG,NO_AUG,7,275.8275563000061,76.16650390625,outputs/external_baselines/manifest.json,13410,13410,0,0,983.8201999858333,21.911825780707623,1024,3,N/A (no stable counter in frozen environment),N/A,3.352033323608339,0.14138898123617236
TEP,UNIFORM_DIFFUSION,UNIFORM_DIFFUSION,7,324.37371160000475,76.2275390625,outputs/external_baselines/manifest.json,13410,13410,0,0,983.8201999858333,21.911825780707623,1024,3,N/A (no stable counter in frozen environment),N/A,57.22330000329142,0.9554776039957588
TEP,STRONGEST_TRADITIONAL,SCALING,7,261.115716100001,76.22021484375,outputs/external_baselines/manifest.json,13410,13410,0,0,983.8201999858333,21.911825780707623,1024,3,N/A (no stable counter in frozen environment),N/A,43.26313334361961,2.751398000514522
TEP,FRERA,FRERA,7,206.32387780002318,147.51611328125,outputs/external_baselines/manifest.json,13410,13410,66,0,983.8201999858333,21.911825780707623,1024,3,N/A (no stable counter in frozen environment),N/A,,
TEP,FINAL_QDIFFCL,FINAL_QDIFFCL,7,221.80371710000327,76.228515625,outputs/r1_des_weight_search/tep/DE_50_50/seed_7/metrics.json,13410,13410,0,0,983.8201999858333,21.911825780707623,1024,3,N/A (no stable counter in frozen environment),N/A,60.828366675802194,5.003454513100345
TEP,DCBR,DCBR,7,218.2136787000054,76.1748046875,outputs/domain_budget_routing/tep/DCBR_075/seed_7/metrics.json,13410,13410,0,0,983.8201999858333,21.911825780707623,1024,3,N/A (no stable counter in frozen environment),N/A,106.43553333162951,7.242574057548565
