dataset,method,reference,metric,paired_cells,effect,ci_low,ci_high,positive_count,nonworse_count,worst_delta,bootstrap_unit,bootstrap_repeats
3W,NO_AUG,FINAL_QDIFFCL,macro_f1,15,-0.023785397010665257,-0.037641595794520574,0.006936027467149361,6,6,-0.16958268943107851,WELL,2000
3W,JITTER,FINAL_QDIFFCL,macro_f1,15,-0.02039729050422901,-0.05665081458662773,-0.0023972381441247025,7,7,-0.2201616824920048,WELL,2000
3W,SCALING,FINAL_QDIFFCL,macro_f1,15,-0.0012644057483738183,-0.03498886037041505,0.01384826459200368,6,6,-0.23802340133997602,WELL,2000
3W,JITTER_SCALING,FINAL_QDIFFCL,macro_f1,15,0.004007916367896347,-0.025696224326046548,0.025710047207959504,7,7,-0.24726932306873645,WELL,2000
3W,UNIFORM_DIFFUSION,FINAL_QDIFFCL,macro_f1,15,-0.011679360961065734,-0.03355075484407493,0.0010846982386085314,7,7,-0.145336794147772,WELL,2000
3W,FRERA,FINAL_QDIFFCL,macro_f1,15,0.011845951308673934,-0.05136862374334084,0.041535373927757274,9,9,-0.3173420521835094,WELL,2000
3W,DCBR,FINAL_QDIFFCL,macro_f1,15,-0.0012151112596522314,-0.029033703733950617,0.011780826963752813,6,6,-0.1810215257095392,WELL,2000
TEP,NO_AUG,FINAL_QDIFFCL,macro_f1,15,-0.00030923148865892683,-0.0012092392424977259,0.0005631546400073365,7,8,-0.003763797999381202,Run,2000
TEP,JITTER,FINAL_QDIFFCL,macro_f1,15,-0.0013546535954908289,-0.003239446750267122,0.0005099771061315857,3,3,-0.011783264834482665,Run,2000
TEP,SCALING,FINAL_QDIFFCL,macro_f1,15,-0.002488622631050467,-0.004232325003579181,-0.0007866063809437467,5,5,-0.028093727764741616,Run,2000
TEP,JITTER_SCALING,FINAL_QDIFFCL,macro_f1,15,0.0008300409381902573,-0.0007503438167631299,0.002642308500706105,7,7,-0.0072032710438663106,Run,2000
TEP,UNIFORM_DIFFUSION,FINAL_QDIFFCL,macro_f1,15,-0.0014661964060482368,-0.002797172550189829,-0.0004232049231788056,5,7,-0.01956344845299729,Run,2000
TEP,FRERA,FINAL_QDIFFCL,macro_f1,15,0.0012418135337359582,-0.0028403391052893665,0.005154068399624253,7,7,-0.020017439697319395,Run,2000
TEP,DCBR,FINAL_QDIFFCL,macro_f1,15,0.0003144466669215529,-0.0013419648337717899,0.0020193536615507554,5,5,-0.004069756093162069,Run,2000
