run_id,dataset,outer_seed,model_seed,method,group_id,fault_id,windows,macro_f1,auprc,far,fault_recall,early_recall,detection_delay
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00011,,3529,0.5268649248079628,0.9881493480023025,0.0,0.834409594095941,0.7955580865603644,896.9230769230769
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00013,,319,0.5541691384216294,1.0,0.0,0.32195121951219513,0.23626373626373626,4475.0
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00016,,2007,0.021421975992613113,1.0,0.9668002289639381,1.0,1.0,6.0
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00019,,34543,0.4044761058147091,0.9027215301101319,0.7283174865646962,0.9541161796151105,0.9687249776270548,19.0
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed42-dcbr,3W,31001,42,DCBR,WELL-00029,,4488,0.31137837775450294,0.9800840955469488,0.9994407158836689,1.0,1.0,27.0
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00006,,63214,0.21965731779577324,0.0,0.7185117220868795,nan,,
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00011,,3529,0.04581151832460733,0.9872370274424385,0.922850844966936,0.9714022140221402,0.9646924829157175,165.84615384615384
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00013,,319,0.2846441947565543,1.0,0.0,0.8097560975609757,0.7857142857142857,1275.0
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00016,,2007,0.00266058532877233,1.0,0.9959931310818546,1.0,1.0,6.0
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00019,,34543,0.39282340704604496,0.8759012533158234,0.9993385696568831,0.9926051318602993,0.9921812444067637,19.0
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed42-final_qdiffcl,3W,31001,42,FINAL_QDIFFCL,WELL-00029,,4488,0.3302809443717685,0.9913187105845815,1.0,1.0,1.0,27.0
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00006,,63214,0.2741865111259099,0.0,0.6222355807257886,nan,,
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00011,,3529,0.45215999433327986,0.9870905041730281,0.0,0.8985239852398524,0.8747152619589977,554.7692307692307
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00013,,319,0.930839037383467,0.9959109711900663,0.0,0.8975609756097561,0.8846153846153846,699.0
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00016,,2007,0.27065623937436245,0.9478215755578755,0.31654264453348596,1.0,1.0,6.0
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00019,,34543,0.3678230708090853,0.9004011754873534,0.3284828441504754,0.8175338560228083,0.8373604634732231,267.0
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00020,,120,0.0,0.9484126984126984,1.0,1.0,1.0,21.0
3w-outer31001-seed42-frera,3W,31001,42,FRERA,WELL-00029,,4488,0.6209337840727973,0.9804447495284506,0.0,0.9462962962962963,0.9871745044694908,59.0
3w-outer31001-seed42-jitter,3W,31001,42,JITTER,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed42-jitter,3W,31001,42,JITTER,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed42-jitter,3W,31001,42,JITTER,WELL-00011,,3529,0.42527876759169275,0.9902499212476619,0.0,0.8316420664206642,0.7921412300683371,911.6923076923077
3w-outer31001-seed42-jitter,3W,31001,42,JITTER,WELL-00013,,319,0.6958171540919145,1.0,0.0,0.526829268292683,0.46703296703296704,3131.0
3w-outer31001-seed42-jitter,3W,31001,42,JITTER,WELL-00016,,2007,0.01962962962962963,1.0,0.9696622781911849,1.0,1.0,6.0
