dataset,method,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_seed_macro_f1
3W,NO_AUG,split,31001,5,0.35586324631456323,0.13206999288443025,0.8049185698188832,0.029919668823883194,0.4086902145754051,0.22624427241759576,0.925490337208047,0.05497248032643306,0.9308688613059903,0.04981178024457648,438.67619047619047,313.24683709876615,
3W,NO_AUG,split,31002,5,0.23417437240687025,0.16304808700180207,0.6707126559774204,0.05650008003791147,0.7738147029858339,0.30164770013562753,0.8167238979118331,0.09316377988338821,0.8094562647754137,0.08840458352886288,1844.0581818181818,2030.3985740368496,
3W,NO_AUG,split,31003,5,0.3033160104474065,0.040646552143051615,0.8617943018434172,0.01665588052056102,0.7324497227781241,0.18941665247167516,0.8711628227194492,0.16757830423553066,0.871755616578689,0.17194008094237762,117.40372627372628,57.749431427199696,
3W,NO_AUG,overall,ALL,15,0.29778454305628,0.06103272365587925,0.7791418425465736,0.09811411008803897,0.6383182134464543,0.19993631184964378,0.8711256859464432,0.05438322915797826,0.8706935808866977,0.06071326534565941,800.0460328560329,918.3000732054333,0.10913320223545936
3W,JITTER,split,31001,5,0.3692716468118345,0.12293528762615738,0.8108500846831234,0.03570286181010793,0.39149916921262795,0.21298960171677828,0.9116925180839962,0.05551263112533547,0.9189730938246858,0.053136667799241165,523.0952380952381,356.7390733293864,
3W,JITTER,split,31002,5,0.200018582410674,0.09339052063472676,0.6504576362871953,0.018016511336020297,0.9349739727065138,0.06930038467860933,0.8398886310904873,0.119940561252383,0.832521327988488,0.11778027416506447,2247.578787878788,2291.6656695815514,
3W,JITTER,split,31003,5,0.33422771946564034,0.05930805371410477,0.8594376578139602,0.007326862467353582,0.6837767789770677,0.18387703195158614,0.8435166953528398,0.1655660605036097,0.8410454875289899,0.17091607239781748,2652.5065334665337,5672.5791858878865,
3W,JITTER,overall,ALL,15,0.3011726495627163,0.08933716016871839,0.773581792928093,0.10936112895853503,0.6700833069654032,0.2719960457248968,0.8650326148424411,0.04044935896224319,0.8641799697807212,0.04764325929070083,1807.7268531468533,1130.796360791493,0.12968317573050106
3W,SCALING,split,31001,5,0.41156349324996294,0.10840161867851492,0.8043127626217016,0.023120262556410996,0.3469064336888746,0.16253684826399617,0.9026235289883757,0.054093013492967836,0.9093593400663018,0.050925462972428524,551.4380952380952,267.98823543406854,
3W,SCALING,split,31002,5,0.2206500835414542,0.06756295799258874,0.6396137784069394,0.0217222093627862,0.9534214257112865,0.03952171435826802,0.827508120649652,0.04948731724683972,0.8091684654126837,0.05466388849908864,3286.8921212121213,1469.5463292442416,
3W,SCALING,split,31003,5,0.3287030261642972,0.056021137437281925,0.8667179522068397,0.01758393700206174,0.8232341458613563,0.08026064223864322,0.8973576592082617,0.11683601151257539,0.8972496905368297,0.11894300192496014,81.21098901098901,33.028132563089294,
3W,SCALING,overall,ALL,15,0.32030553431857145,0.0957333322495697,0.7702148310784936,0.11732893138939686,0.7078540017538391,0.319295383818323,0.8758297696154299,0.04193052188101376,0.8719258320052719,0.0546857037913843,1306.5137351537353,1731.0985809112933,0.14608072951932247
