dataset,critical_ratio,seed,action,source,macro_f1,auprc,far,early_recall,detection_delay,actual_spectral_noise_budget,uniform_spectral_noise_budget,matched_budget_error,selected_bins,total_bins,soft_weight_mean,soft_weight_std,soft_weight_min,soft_weight_max
3W,0.2,42,NEW_TRAINING_REQUIRED,outputs\paper_ratio_sensitivity\3w\ratio_20\seed_42\result.json,0.49035637058533044,0.523028277143634,0.3832052651528204,0.9037866426602149,229.5909090909091,0.017973581328988075,0.017973581328988075,0.0,145,726,0.35535797476768494,0.16911621391773224,0.21801544725894928,0.9991180896759033
3W,0.2,43,NEW_TRAINING_REQUIRED,outputs\paper_ratio_sensitivity\3w\ratio_20\seed_43\result.json,0.5449132322535445,0.664429341508049,0.4955721718755384,0.9393743318516852,328.14285714285717,0.017973581328988075,0.017973581328988075,0.0,145,726,0.35535797476768494,0.16911621391773224,0.21801544725894928,0.9991180896759033
3W,0.2,44,NEW_TRAINING_REQUIRED,outputs\paper_ratio_sensitivity\3w\ratio_20\seed_44\result.json,0.3652434588412384,0.34833742587115224,0.2747665483615313,0.6613965003094582,544.125,0.017973581328988075,0.017973581328988075,0.0,145,726,0.35535797476768494,0.16911621391773224,0.21801544725894928,0.9991180896759033
3W,0.3,42,REUSE_EXISTING,outputs/qdiffcl_final_5seed/3w/manifest.json,0.5045061387771479,0.522965657319033,0.32765928121015814,0.8945028976537445,937.9545454545455,0.017973581328988075,0.017973581328988075,0.0,218,726,0.4110487103462219,0.17051519453525543,0.2672949433326721,0.9993258714675903
3W,0.3,43,REUSE_EXISTING,outputs/qdiffcl_final_5seed/3w/manifest.json,0.5462574455988897,0.6598691709648623,0.4950897625857138,0.9383334271085354,352.5238095238095,0.017973581328988075,0.017973581328988075,0.0,218,726,0.4110487103462219,0.17051519453525543,0.2672949433326721,0.9993258714675903
3W,0.3,44,REUSE_EXISTING,outputs/qdiffcl_final_5seed/3w/manifest.json,0.5056010279393156,0.5076676258819053,0.24385789600634022,0.8307263827153547,169.95454545454547,0.017973581328988075,0.017973581328988075,0.0,218,726,0.4110487103462219,0.17051519453525543,0.2672949433326721,0.9993258714675903
3W,0.4,42,NEW_TRAINING_REQUIRED,outputs\paper_ratio_sensitivity\3w\ratio_40\seed_42\result.json,0.5020156398189959,0.5192204798034145,0.32759036559732607,0.8863444550723006,958.3181818181819,0.017973581328988075,0.017973581328988075,0.0,290,726,0.5058000087738037,0.16410993039608002,0.3598076105117798,0.9995623230934143
3W,0.4,43,NEW_TRAINING_REQUIRED,outputs\paper_ratio_sensitivity\3w\ratio_40\seed_43\result.json,0.5387516685806406,0.66008184968866,0.46180352158781574,0.8980476002925787,382.55,0.017973581328988075,0.017973581328988075,0.0,290,726,0.5058000087738037,0.16410993039608002,0.3598076105117798,0.9995623230934143
3W,0.4,44,NEW_TRAINING_REQUIRED,outputs\paper_ratio_sensitivity\3w\ratio_40\seed_44\result.json,0.5083830143887189,0.5333807821317584,0.25391957547982497,0.8550610476565577,2161.4583333333335,0.017973581328988075,0.017973581328988075,0.0,290,726,0.5058000087738037,0.16410993039608002,0.3598076105117798,0.9995623230934143
TEP,0.2,7,NEW_TRAINING_REQUIRED,outputs\paper_ratio_sensitivity\tep\ratio_20\seed_7\metrics.json,0.9004994668701773,0.9369760875463915,0.026953125,0.825,102.31428571428572,0.017973581328988075,0.017973581328988075,0.0,343,1716,0.34692835807800293,0.1376461684703827,0.21285568177700043,0.7742534279823303
