dataset,outer_seed,model_seed,method,track,status,input_shape,representation_shape,finite_loss,gpu,checkpoint_roundtrip,group_leakage,linear_probe,outer_test_materialized,outer_test_metric_read,validation_macro_f1,runtime_seconds,peak_gpu_mib,failure
3W,31001,42,TimesURL,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[11351, 22, 64]","[256, 64]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.0371900826446281,13.417030999999952,905.75634765625,
TEP,32001,7,TimesURL,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[8131, 52, 64]","[256, 64]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.5699956807601863,152.02390289999994,1029.57080078125,
3W,31001,42,MF-CLR,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[11351, 22, 64]","[256, 192]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.24140325083721312,49.2836056000001,431.8310546875,
TEP,32001,7,MF-CLR,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[8131, 52, 64]","[256, 192]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.6837163330862368,156.14901669999972,433.30615234375,
3W,31001,42,REBAR,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[11351, 22, 64]","[256, 320]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.5422598737816129,18.03486810000004,201.32470703125,
TEP,32001,7,REBAR,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[8131, 52, 64]","[256, 320]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.6640922151909247,172.4999216000001,207.03369140625,
3W,31001,42,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[11351, 22, 64]","[256, 128]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.17655873695477656,4.023455200000171,240.888671875,
TEP,32001,7,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[8131, 52, 64]","[256, 128]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.5220079583715947,1.3187282999997478,267.26171875,
3W,31001,42,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,PASS,"[11351, 22, 64]","[256, 32]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.326940133037694,4.049558099999558,1837.025390625,
TEP,32001,7,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,PASS,"[8131, 52, 64]","[256, 32]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.5995995995995996,2.8644758999998885,78.71875,
3W,31001,42,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[11351, 22, 64]","[256, 64]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.04251012145748988,4.339997500000209,237.34033203125,
TEP,32001,7,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,PASS,"[8131, 52, 64]","[256, 64]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.5546442994718856,32.92955220000022,279.80615234375,
3W,31001,42,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,PASS,"[11351, 22, 64]","[256, 32]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.33328691195721805,4.345465299999887,1845.02978515625,
TEP,32001,7,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,PASS,"[8131, 52, 64]","[256, 32]",True,NVIDIA GeForce RTX 4060 Laptop GPU,True,False,True,False,False,0.736986301369863,2.674113699999907,89.00732421875,
