dataset,method,track,reference,metric,paired_cells,effect,ci_low,ci_high,positive_count,nonworse_count,worst_delta,bootstrap_unit,bootstrap_repeats
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,15,0.017636226953294774,-0.03519066935103672,0.08189868357475061,7,7,-0.28907895085167284,WELL,2000
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,15,0.019183947618378785,-0.04950130013789789,0.055744094350103135,10,10,-0.30390657259670434,WELL,2000
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,15,-0.08184302573888229,-0.1468688200970561,-0.036494580241263626,3,3,-0.400726232963769,WELL,2000
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,15,0.01716451399225723,-0.043734975880278304,0.05008972074194769,9,9,-0.4772943335151742,WELL,2000
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.023785397010665257,-0.03821166084046079,0.008046265029884665,6,6,-0.16958268943107851,WELL,2000
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.011679360961065734,-0.03369541430850241,0.0018379743828657237,7,7,-0.145336794147772,WELL,2000
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,0.011845951308673934,-0.050476270690926216,0.03789230935148919,9,9,-0.3173420521835094,WELL,2000
3W,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.02039729050422901,-0.05579913774236145,-0.003511780236012723,7,7,-0.2201616824920048,WELL,2000
3W,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.0012644057483738183,-0.03708883396387479,0.012289088738109678,6,6,-0.23802340133997602,WELL,2000
3W,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,0.004007916367896347,-0.026274941329243223,0.024550641049346844,7,7,-0.24726932306873645,WELL,2000
3W,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.0012151112596522314,-0.0300830808750394,0.011189863629765706,6,6,-0.1810215257095392,WELL,2000
TEP,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,15,-0.14443534971264188,-0.16036735736481297,-0.131228859151704,0,0,-0.19203654245134716,Run,2000
TEP,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,15,-0.19701887213579353,-0.21584671862062557,-0.1804144740988647,0,0,-0.2517957128766666,Run,2000
TEP,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,15,-0.1826692475382038,-0.19949751913059763,-0.16948809926273306,0,0,-0.24869473411991927,Run,2000
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,15,-0.01266409155055172,-0.017815346260773645,-0.0074575609361964,5,5,-0.04309878093416164,Run,2000
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.00030923148865892683,-0.0012594805231847684,0.0005708331261798148,7,8,-0.003763797999381202,Run,2000
TEP,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.0014661964060482368,-0.0027656984604732533,-0.0004310595036661751,5,7,-0.01956344845299729,Run,2000
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,0.0012418135337359582,-0.0028773074819675743,0.005363437141721068,7,7,-0.020017439697319395,Run,2000
TEP,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.0013546535954908289,-0.003332565988308663,0.0005856777136256341,3,3,-0.011783264834482665,Run,2000
TEP,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,-0.002488622631050467,-0.004190224511792031,-0.0008410804577742727,5,5,-0.028093727764741616,Run,2000
TEP,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,0.0008300409381902573,-0.0007208553611966398,0.002545604917262755,7,7,-0.0072032710438663106,Run,2000
TEP,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,15,0.0003144466669215529,-0.001367534678038629,0.0021016934290344273,5,5,-0.004069756093162069,Run,2000
