dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1,worst_outer_seed,worst_model_seed,worst_run_id
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,31001,5,0.4299405715185551,0.05743093959553374,0.7594533496792412,0.061886837265005455,0.3319397545157313,0.17737847774691323,0.7761543167668334,0.13215317406939786,0.7838254567882199,0.14042940508166055,508.4666666666667,230.69892425148768,,,,
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,31002,5,0.22964125722135292,0.09938358173589194,0.6304416860040567,0.0508635883876672,0.9737822365074728,0.032756866308938676,0.9281299303944316,0.13670186476769655,0.930249768732655,0.12947201157145075,21.666666666666664,13.597385369580758,,,,
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,31003,5,0.3566215334376994,0.07414893611956737,0.8606163460249334,0.040046907076367926,0.7627243200682392,0.22677240430113524,0.8279242685025817,0.1701447593551962,0.8244326508544029,0.17422409821452964,65.27358974358974,30.116887748888633,,,,
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,overall,ALL,15,0.3387344540592025,0.1013405868026322,0.7501704605694104,0.11536777085304459,0.6894821036971477,0.327129576187391,0.8440695052212823,0.077263499052906,0.8461692921250926,0.075593524606267,198.46897435897435,269.3498057584786,0.061996330988815226,31002,45,3w-outer31002-seed45-autotcl
3W,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.41338336931579833,0.10723045923087064,0.8041376312425637,0.022856375547695162,0.34680459523681906,0.16251892429525888,0.9023716126246086,0.05447518570556452,0.9091588929149641,0.05120916720580141,550.2190476190475,267.71256119110495,,,,
3W,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.21788435422999886,0.1538283343769537,0.6494603287643463,0.06873402142144294,0.839886150882547,0.2828352293073279,0.8501345707656613,0.1309846095230753,0.8440127454003494,0.130595010115988,1961.7993939393934,2490.5466721106495,,,,
3W,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.32979676287608184,0.018874544621352518,0.8610296682454036,0.0181282629515462,0.8002624585807553,0.11230128721593616,0.89007917383821,0.11786081632673483,0.889298976993014,0.1190671774255822,72.43588078588078,13.03981614135784,,,,
3W,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.320354828807293,0.09809092116041591,0.7715425427507712,0.10948619181181501,0.6623177349000405,0.27395969634786493,0.8808617857428267,0.027311120775593205,0.880823538436109,0.033389817730078805,861.4847741147738,982.3891212636314,0.09769436595699868,31002,43,3w-outer31002-seed43-dcbr
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.35191057050497687,0.11974341225567484,0.8196783489616412,0.03717649963504167,0.3752979221382502,0.1801579911089587,0.9146219455140894,0.06345818522405017,0.9213861691465578,0.056665061830428895,296.8085213032582,229.55300515291688,,,,
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.2875226800168839,0.15490931321272142,0.6746485657178667,0.027056105663667892,0.7715918314340444,0.3357146793464758,0.8741716937354989,0.0977798210575334,0.8642203720834617,0.10703925328642855,2362.7193939393937,2336.7750173646614,,,,
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.325276569678975,0.04309196720959146,0.8676213252319875,0.01714811788879104,0.8075128768741184,0.07600198266159723,0.9474175559380379,0.029526063499823913,0.9487159056955452,0.02757426238754775,85.65168165168166,23.947095134313535,,,,
