dataset,method,track,reference,metric,paired_cells,effect,ci_low,ci_high,positive_count,nonworse_count,worst_delta,bootstrap_unit,bootstrap_repeats
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,9,0.03465716316690586,-0.040071235029224654,0.10748241868493322,5,5,-0.09692435602026186,WELL,2000
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,9,0.02796051426311828,-0.07160586420966707,0.07410449176795636,6,6,-0.30390657259670434,WELL,2000
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,9,-0.07391493087771851,-0.16291367820906263,-0.03158522011745735,2,2,-0.400726232963769,WELL,2000
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,9,0.04922930384734672,-0.031603439024387246,0.09294520119661887,6,6,-0.13439649088900918,WELL,2000
3W,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,9,-0.019324414188749372,-0.037743168281129766,0.01387411934706022,4,4,-0.16958268943107851,WELL,2000
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,9,-0.002704143333675237,-0.0235823332847619,0.0087733250938907,5,5,-0.07967991799024812,WELL,2000
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,9,0.02205343531521679,-0.0612749850310792,0.05338046170986829,6,6,-0.06947636680332214,WELL,2000
TEP,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,9,-0.14265774948396448,-0.16087165325608258,-0.12738416763010263,0,0,-0.19203654245134716,Run,2000
TEP,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,9,-0.19610562822969657,-0.2207955389210172,-0.17512307157513396,0,0,-0.2517957128766666,Run,2000
TEP,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,FINAL_QDIFFCL,macro_f1,9,-0.17610869797926426,-0.19612301652734937,-0.1587852332670701,0,0,-0.22986333755162225,Run,2000
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,FINAL_QDIFFCL,macro_f1,9,-0.012685024446063897,-0.01977071823306997,-0.005952159802829248,4,4,-0.033461568038691936,Run,2000
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,9,-0.0007312016498732686,-0.002211994077739057,0.0005595591815627893,3,3,-0.003763797999381202,Run,2000
TEP,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,9,-0.0023480018814081324,-0.004321199416141194,-0.0007044034659817402,4,4,-0.01956344845299729,Run,2000
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,FINAL_QDIFFCL,macro_f1,9,0.004628788018674896,-0.0003728737516696787,0.009956846269114352,4,4,-0.015166563888395768,Run,2000
