dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,31001,3,0.4240950616864034,0.07403146126053284,0.7963176465898397,0.019890252950514508,0.38927301638348427,0.0484342640085398,0.8274252948021257,0.008778232704430814,0.8397450723408629,0.00693130594384872,607.4126984126984,190.50869563916117,
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,31002,3,0.2811380371986032,0.04046458821170079,0.6548195294880471,0.049740588198301065,0.966278151142279,0.042529865356178274,0.9854601701469451,0.013657940349592126,0.9838969404186795,0.015126354945714396,25.222222222222218,17.75554164927838,
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,31003,3,0.3558260983761592,0.10220200014269584,0.8834190193795739,0.034754784076026654,0.9200485548374396,0.07812055931042652,0.9109213998852553,0.15368054043048407,0.9088352327969305,0.15737217158869546,44.15042735042735,9.49122066852596,
3W,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,overall,ALL,9,0.3536863990870553,0.0715025275594312,0.7781853984858204,0.11537337435754341,0.7585332407877342,0.32062303237436784,0.907935621611442,0.07905973444325774,0.9108257485188243,0.07209654556364255,225.59511599511598,330.7991368183257,0.24877142100240826
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,3,0.3899122204647562,0.15157230081130207,0.8402451524984297,0.03337328925823406,0.34646215599745106,0.24573075727338178,0.9455860654262785,0.06397883165285001,0.9464574820753989,0.060393091813466214,419.47619047619054,218.77680982454882,
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,3,0.20415835900593102,0.07664472427285816,0.6599672291114822,0.004747705569059723,0.9007283313312339,0.0958066137920809,0.8466202629543697,0.1031746585426467,0.8301298523315174,0.11426733947959894,3092.522222222222,2711.152745877938,
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,3,0.31930070624843837,0.05622539682585799,0.8654141233778133,0.014383480860238801,0.8465929595485712,0.05923737990266437,0.9538864027538727,0.02926509298802684,0.9542468780975959,0.02820483533197727,75.80835830835832,8.513184802297067,
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.30445709523970854,0.09376232640325201,0.7885421683292417,0.11205804531545129,0.6979278156257521,0.30557935473945114,0.9153642437115069,0.059678514288571335,0.9102780708348375,0.0695195754413072,1195.9355903355902,1651.4561858871832,0.12558438107023245
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,3,0.4342107058869617,0.055298233007034195,0.827505995837698,0.029216258996473222,0.20915890967346187,0.1666381728355342,0.8477585441633377,0.016219888615627762,0.8626808521573768,0.011566335827990819,491.60317460317464,103.81307697428699,
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,3,0.2210894560665365,0.07010037563505084,0.5968848758930749,0.1358035739050941,0.979297208965077,0.013741215098553135,0.8866202629543697,0.12151541356086566,0.879021482166718,0.13833215856628778,1615.8472222222224,2770.4406063578554,
