dataset,outer_id,fraction,class,independent_train_units,onset_bearing_units,early_stage_units,E_defined
3W,31001,1.0,2,4,4,4,True
3W,31001,1.0,8,4,4,4,True
3W,31001,1.0,9,38,6,6,True
3W,31001,0.25,2,2,2,2,True
3W,31001,0.25,8,2,2,2,True
3W,31001,0.25,9,8,6,6,True
3W,31001,0.1,2,2,2,2,True
3W,31001,0.1,8,2,2,2,True
3W,31001,0.1,9,2,2,2,True
3W,31002,1.0,2,15,15,15,True
3W,31002,1.0,8,8,8,8,True
3W,31002,1.0,9,40,6,6,True
3W,31002,0.25,2,4,4,4,True
3W,31002,0.25,8,2,2,2,True
3W,31002,0.25,9,10,6,6,True
3W,31002,0.1,2,2,2,2,True
3W,31002,0.1,8,2,2,2,True
3W,31002,0.1,9,3,3,3,True
3W,31003,1.0,2,17,17,17,True
3W,31003,1.0,8,4,4,4,True
3W,31003,1.0,9,37,4,4,True
3W,31003,0.25,2,4,4,4,True
3W,31003,0.25,8,2,2,2,True
3W,31003,0.25,9,9,4,4,True
3W,31003,0.1,2,2,2,2,True
3W,31003,0.1,8,2,2,2,True
3W,31003,0.1,9,3,3,3,True
TEP,32001,1.0,1,6,6,6,True
TEP,32001,1.0,2,6,6,6,True
TEP,32001,1.0,3,6,6,6,True
TEP,32001,1.0,4,6,6,6,True
TEP,32001,1.0,5,6,6,6,True
TEP,32001,1.0,6,6,6,6,True
TEP,32001,1.0,7,6,6,6,True
TEP,32001,1.0,8,6,6,6,True
TEP,32001,1.0,9,6,6,6,True
TEP,32001,1.0,10,6,6,6,True
TEP,32001,1.0,11,6,6,6,True
TEP,32001,1.0,12,6,6,6,True
TEP,32001,1.0,13,6,6,6,True
TEP,32001,1.0,14,6,6,6,True
TEP,32001,1.0,15,6,6,6,True
TEP,32001,1.0,16,6,6,6,True
TEP,32001,1.0,17,6,6,6,True
TEP,32001,1.0,18,6,6,6,True
TEP,32001,1.0,19,6,6,6,True
TEP,32001,1.0,20,6,6,6,True
TEP,32001,0.25,1,2,2,2,True
TEP,32001,0.25,2,2,2,2,True
TEP,32001,0.25,3,2,2,2,True
TEP,32001,0.25,4,2,2,2,True
TEP,32001,0.25,5,2,2,2,True
TEP,32001,0.25,6,2,2,2,True
TEP,32001,0.25,7,2,2,2,True
TEP,32001,0.25,8,2,2,2,True
TEP,32001,0.25,9,2,2,2,True
TEP,32001,0.25,10,2,2,2,True
TEP,32001,0.25,11,2,2,2,True
TEP,32001,0.25,12,2,2,2,True
TEP,32001,0.25,13,2,2,2,True
TEP,32001,0.25,14,2,2,2,True
TEP,32001,0.25,15,2,2,2,True
TEP,32001,0.25,16,2,2,2,True
TEP,32001,0.25,17,2,2,2,True
TEP,32001,0.25,18,2,2,2,True
TEP,32001,0.25,19,2,2,2,True
TEP,32001,0.25,20,2,2,2,True
TEP,32001,0.1,1,1,1,1,False
TEP,32001,0.1,2,1,1,1,False
TEP,32001,0.1,3,1,1,1,False
TEP,32001,0.1,4,1,1,1,False
TEP,32001,0.1,5,1,1,1,False
TEP,32001,0.1,6,1,1,1,False
TEP,32001,0.1,7,1,1,1,False
TEP,32001,0.1,8,1,1,1,False
TEP,32001,0.1,9,1,1,1,False
TEP,32001,0.1,10,1,1,1,False
TEP,32001,0.1,11,1,1,1,False
TEP,32001,0.1,12,1,1,1,False
TEP,32001,0.1,13,1,1,1,False
TEP,32001,0.1,14,1,1,1,False
TEP,32001,0.1,15,1,1,1,False
TEP,32001,0.1,16,1,1,1,False
TEP,32001,0.1,17,1,1,1,False
TEP,32001,0.1,18,1,1,1,False
TEP,32001,0.1,19,1,1,1,False
TEP,32001,0.1,20,1,1,1,False
TEP,32002,1.0,1,6,6,6,True
TEP,32002,1.0,2,6,6,6,True
TEP,32002,1.0,3,6,6,6,True
TEP,32002,1.0,4,6,6,6,True
TEP,32002,1.0,5,6,6,6,True
TEP,32002,1.0,6,6,6,6,True
TEP,32002,1.0,7,6,6,6,True
TEP,32002,1.0,8,6,6,6,True
TEP,32002,1.0,9,6,6,6,True
TEP,32002,1.0,10,6,6,6,True
TEP,32002,1.0,11,6,6,6,True
TEP,32002,1.0,12,6,6,6,True
TEP,32002,1.0,13,6,6,6,True
TEP,32002,1.0,14,6,6,6,True
TEP,32002,1.0,15,6,6,6,True
TEP,32002,1.0,16,6,6,6,True
TEP,32002,1.0,17,6,6,6,True
TEP,32002,1.0,18,6,6,6,True
TEP,32002,1.0,19,6,6,6,True
TEP,32002,1.0,20,6,6,6,True
TEP,32002,0.25,1,2,2,2,True
TEP,32002,0.25,2,2,2,2,True
TEP,32002,0.25,3,2,2,2,True
TEP,32002,0.25,4,2,2,2,True
TEP,32002,0.25,5,2,2,2,True
TEP,32002,0.25,6,2,2,2,True
TEP,32002,0.25,7,2,2,2,True
TEP,32002,0.25,8,2,2,2,True
TEP,32002,0.25,9,2,2,2,True
TEP,32002,0.25,10,2,2,2,True
TEP,32002,0.25,11,2,2,2,True
TEP,32002,0.25,12,2,2,2,True
TEP,32002,0.25,13,2,2,2,True
TEP,32002,0.25,14,2,2,2,True
TEP,32002,0.25,15,2,2,2,True
TEP,32002,0.25,16,2,2,2,True
TEP,32002,0.25,17,2,2,2,True
TEP,32002,0.25,18,2,2,2,True
TEP,32002,0.25,19,2,2,2,True
TEP,32002,0.25,20,2,2,2,True
TEP,32002,0.1,1,1,1,1,False
TEP,32002,0.1,2,1,1,1,False
TEP,32002,0.1,3,1,1,1,False
TEP,32002,0.1,4,1,1,1,False
TEP,32002,0.1,5,1,1,1,False
TEP,32002,0.1,6,1,1,1,False
TEP,32002,0.1,7,1,1,1,False
TEP,32002,0.1,8,1,1,1,False
TEP,32002,0.1,9,1,1,1,False
TEP,32002,0.1,10,1,1,1,False
TEP,32002,0.1,11,1,1,1,False
TEP,32002,0.1,12,1,1,1,False
TEP,32002,0.1,13,1,1,1,False
TEP,32002,0.1,14,1,1,1,False
TEP,32002,0.1,15,1,1,1,False
TEP,32002,0.1,16,1,1,1,False
TEP,32002,0.1,17,1,1,1,False
TEP,32002,0.1,18,1,1,1,False
TEP,32002,0.1,19,1,1,1,False
TEP,32002,0.1,20,1,1,1,False
TEP,32003,1.0,1,6,6,6,True
TEP,32003,1.0,2,6,6,6,True
TEP,32003,1.0,3,6,6,6,True
TEP,32003,1.0,4,6,6,6,True
TEP,32003,1.0,5,6,6,6,True
TEP,32003,1.0,6,6,6,6,True
TEP,32003,1.0,7,6,6,6,True
TEP,32003,1.0,8,6,6,6,True
TEP,32003,1.0,9,6,6,6,True
TEP,32003,1.0,10,6,6,6,True
TEP,32003,1.0,11,6,6,6,True
TEP,32003,1.0,12,6,6,6,True
TEP,32003,1.0,13,6,6,6,True
TEP,32003,1.0,14,6,6,6,True
TEP,32003,1.0,15,6,6,6,True
TEP,32003,1.0,16,6,6,6,True
TEP,32003,1.0,17,6,6,6,True
TEP,32003,1.0,18,6,6,6,True
TEP,32003,1.0,19,6,6,6,True
TEP,32003,1.0,20,6,6,6,True
TEP,32003,0.25,1,2,2,2,True
TEP,32003,0.25,2,2,2,2,True
TEP,32003,0.25,3,2,2,2,True
TEP,32003,0.25,4,2,2,2,True
TEP,32003,0.25,5,2,2,2,True
TEP,32003,0.25,6,2,2,2,True
TEP,32003,0.25,7,2,2,2,True
TEP,32003,0.25,8,2,2,2,True
TEP,32003,0.25,9,2,2,2,True
TEP,32003,0.25,10,2,2,2,True
TEP,32003,0.25,11,2,2,2,True
TEP,32003,0.25,12,2,2,2,True
TEP,32003,0.25,13,2,2,2,True
TEP,32003,0.25,14,2,2,2,True
TEP,32003,0.25,15,2,2,2,True
TEP,32003,0.25,16,2,2,2,True
TEP,32003,0.25,17,2,2,2,True
TEP,32003,0.25,18,2,2,2,True
TEP,32003,0.25,19,2,2,2,True
TEP,32003,0.25,20,2,2,2,True
TEP,32003,0.1,1,1,1,1,False
TEP,32003,0.1,2,1,1,1,False
TEP,32003,0.1,3,1,1,1,False
TEP,32003,0.1,4,1,1,1,False
TEP,32003,0.1,5,1,1,1,False
TEP,32003,0.1,6,1,1,1,False
TEP,32003,0.1,7,1,1,1,False
TEP,32003,0.1,8,1,1,1,False
TEP,32003,0.1,9,1,1,1,False
TEP,32003,0.1,10,1,1,1,False
TEP,32003,0.1,11,1,1,1,False
TEP,32003,0.1,12,1,1,1,False
TEP,32003,0.1,13,1,1,1,False
TEP,32003,0.1,14,1,1,1,False
TEP,32003,0.1,15,1,1,1,False
TEP,32003,0.1,16,1,1,1,False
TEP,32003,0.1,17,1,1,1,False
TEP,32003,0.1,18,1,1,1,False
TEP,32003,0.1,19,1,1,1,False
TEP,32003,0.1,20,1,1,1,False
