dataset,outer_id,fraction,class_id,source_unit_count,realized_units,realized_fraction,independent_group_count,onset_bearing_units
3W,31001,1.0,0,188,234,1.0,20,14
3W,31001,1.0,2,4,234,1.0,20,14
3W,31001,1.0,8,4,234,1.0,20,14
3W,31001,1.0,9,38,234,1.0,20,14
3W,31001,0.25,0,46,58,0.24786324786324787,12,10
3W,31001,0.25,2,2,58,0.24786324786324787,12,10
3W,31001,0.25,8,2,58,0.24786324786324787,12,10
3W,31001,0.25,9,8,58,0.24786324786324787,12,10
3W,31001,0.1,0,17,23,0.09829059829059829,8,6
3W,31001,0.1,2,2,23,0.09829059829059829,8,6
3W,31001,0.1,8,2,23,0.09829059829059829,8,6
3W,31001,0.1,9,2,23,0.09829059829059829,8,6
3W,31002,1.0,0,350,413,1.0,20,29
3W,31002,1.0,2,15,413,1.0,20,29
3W,31002,1.0,8,8,413,1.0,20,29
3W,31002,1.0,9,40,413,1.0,20,29
3W,31002,0.25,0,87,103,0.24939467312348668,13,12
3W,31002,0.25,2,4,103,0.24939467312348668,13,12
3W,31002,0.25,8,2,103,0.24939467312348668,13,12
3W,31002,0.25,9,10,103,0.24939467312348668,13,12
3W,31002,0.1,0,34,41,0.09927360774818401,8,7
3W,31002,0.1,2,2,41,0.09927360774818401,8,7
3W,31002,0.1,8,2,41,0.09927360774818401,8,7
3W,31002,0.1,9,3,41,0.09927360774818401,8,7
3W,31003,1.0,0,524,582,1.0,20,25
3W,31003,1.0,2,17,582,1.0,20,25
3W,31003,1.0,8,4,582,1.0,20,25
3W,31003,1.0,9,37,582,1.0,20,25
3W,31003,0.25,0,131,146,0.2508591065292096,14,10
3W,31003,0.25,2,4,146,0.2508591065292096,14,10
3W,31003,0.25,8,2,146,0.2508591065292096,14,10
3W,31003,0.25,9,9,146,0.2508591065292096,14,10
3W,31003,0.1,0,51,58,0.09965635738831616,11,7
3W,31003,0.1,2,2,58,0.09965635738831616,11,7
3W,31003,0.1,8,2,58,0.09965635738831616,11,7
3W,31003,0.1,9,3,58,0.09965635738831616,11,7
TEP,32001,1.0,0,128,248,1.0,248,120
TEP,32001,1.0,1,6,248,1.0,248,120
TEP,32001,1.0,2,6,248,1.0,248,120
TEP,32001,1.0,3,6,248,1.0,248,120
TEP,32001,1.0,4,6,248,1.0,248,120
TEP,32001,1.0,5,6,248,1.0,248,120
TEP,32001,1.0,6,6,248,1.0,248,120
TEP,32001,1.0,7,6,248,1.0,248,120
TEP,32001,1.0,8,6,248,1.0,248,120
TEP,32001,1.0,9,6,248,1.0,248,120
TEP,32001,1.0,10,6,248,1.0,248,120
TEP,32001,1.0,11,6,248,1.0,248,120
TEP,32001,1.0,12,6,248,1.0,248,120
TEP,32001,1.0,13,6,248,1.0,248,120
TEP,32001,1.0,14,6,248,1.0,248,120
TEP,32001,1.0,15,6,248,1.0,248,120
TEP,32001,1.0,16,6,248,1.0,248,120
TEP,32001,1.0,17,6,248,1.0,248,120
TEP,32001,1.0,18,6,248,1.0,248,120
TEP,32001,1.0,19,6,248,1.0,248,120
TEP,32001,1.0,20,6,248,1.0,248,120
TEP,32001,0.25,0,22,62,0.25,62,40
TEP,32001,0.25,1,2,62,0.25,62,40
TEP,32001,0.25,2,2,62,0.25,62,40
TEP,32001,0.25,3,2,62,0.25,62,40
TEP,32001,0.25,4,2,62,0.25,62,40
TEP,32001,0.25,5,2,62,0.25,62,40
TEP,32001,0.25,6,2,62,0.25,62,40
TEP,32001,0.25,7,2,62,0.25,62,40
TEP,32001,0.25,8,2,62,0.25,62,40
TEP,32001,0.25,9,2,62,0.25,62,40
TEP,32001,0.25,10,2,62,0.25,62,40
TEP,32001,0.25,11,2,62,0.25,62,40
TEP,32001,0.25,12,2,62,0.25,62,40
TEP,32001,0.25,13,2,62,0.25,62,40
TEP,32001,0.25,14,2,62,0.25,62,40
TEP,32001,0.25,15,2,62,0.25,62,40
TEP,32001,0.25,16,2,62,0.25,62,40
TEP,32001,0.25,17,2,62,0.25,62,40
TEP,32001,0.25,18,2,62,0.25,62,40
TEP,32001,0.25,19,2,62,0.25,62,40
TEP,32001,0.25,20,2,62,0.25,62,40
TEP,32001,0.1,0,5,25,0.10080645161290322,25,20
TEP,32001,0.1,1,1,25,0.10080645161290322,25,20
TEP,32001,0.1,2,1,25,0.10080645161290322,25,20
TEP,32001,0.1,3,1,25,0.10080645161290322,25,20
TEP,32001,0.1,4,1,25,0.10080645161290322,25,20
TEP,32001,0.1,5,1,25,0.10080645161290322,25,20
TEP,32001,0.1,6,1,25,0.10080645161290322,25,20
TEP,32001,0.1,7,1,25,0.10080645161290322,25,20
TEP,32001,0.1,8,1,25,0.10080645161290322,25,20
TEP,32001,0.1,9,1,25,0.10080645161290322,25,20
