dataset,outer_id,fraction,group_id,source_unit_count
3W,31001,1.0,WELL-00001,93
3W,31001,1.0,WELL-00004,12
3W,31001,1.0,WELL-00005,81
3W,31001,1.0,WELL-00007,2
3W,31001,1.0,WELL-00009,1
3W,31001,1.0,WELL-00010,6
3W,31001,1.0,WELL-00012,2
3W,31001,1.0,WELL-00014,3
3W,31001,1.0,WELL-00025,1
3W,31001,1.0,WELL-00028,1
3W,31001,1.0,WELL-00031,1
3W,31001,1.0,WELL-00032,1
3W,31001,1.0,WELL-00033,6
3W,31001,1.0,WELL-00034,6
3W,31001,1.0,WELL-00035,6
3W,31001,1.0,WELL-00036,3
3W,31001,1.0,WELL-00037,4
3W,31001,1.0,WELL-00038,2
3W,31001,1.0,WELL-00039,2
3W,31001,1.0,WELL-00040,1
3W,31001,0.25,WELL-00001,24
3W,31001,0.25,WELL-00004,3
3W,31001,0.25,WELL-00005,18
3W,31001,0.25,WELL-00007,1
3W,31001,0.25,WELL-00012,2
3W,31001,0.25,WELL-00014,3
3W,31001,0.25,WELL-00028,1
3W,31001,0.25,WELL-00032,1
3W,31001,0.25,WELL-00033,1
3W,31001,0.25,WELL-00034,1
3W,31001,0.25,WELL-00037,2
3W,31001,0.25,WELL-00040,1
3W,31001,0.1,WELL-00001,7
3W,31001,0.1,WELL-00004,2
3W,31001,0.1,WELL-00005,8
3W,31001,0.1,WELL-00012,2
3W,31001,0.1,WELL-00028,1
3W,31001,0.1,WELL-00032,1
3W,31001,0.1,WELL-00037,1
3W,31001,0.1,WELL-00040,1
3W,31002,1.0,WELL-00002,210
3W,31002,1.0,WELL-00005,81
3W,31002,1.0,WELL-00007,2
3W,31002,1.0,WELL-00008,57
3W,31002,1.0,WELL-00011,13
3W,31002,1.0,WELL-00013,1
3W,31002,1.0,WELL-00014,3
3W,31002,1.0,WELL-00015,1
3W,31002,1.0,WELL-00019,5
3W,31002,1.0,WELL-00027,1
3W,31002,1.0,WELL-00028,1
3W,31002,1.0,WELL-00031,1
3W,31002,1.0,WELL-00032,1
3W,31002,1.0,WELL-00033,6
