dataset,outer_id,fraction_a,fraction_b,jaccard,rank_correlation,changed_bins
3W,31001,1.0,0.25,0.5406360424028268,0.8059324110390147,130
3W,31001,1.0,0.1,0.3885350318471338,0.6003108830330051,192
3W,31001,0.25,0.1,0.6704980842911877,0.8463003406657608,86
3W,31002,1.0,0.25,0.3625,0.5521064045431768,204
3W,31002,1.0,0.1,0.42950819672131146,0.5625357197494819,174
3W,31002,0.25,0.1,0.503448275862069,0.7470859016263002,144
3W,31003,1.0,0.25,0.5854545454545454,0.8100438278896706,114
3W,31003,1.0,0.1,0.4342105263157895,0.6754997858426276,172
3W,31003,0.25,0.1,0.5627240143369175,0.862176584872035,122
TEP,32001,1.0,0.25,0.7758620689655172,0.9141812188648772,130
