dataset,fraction,outer_id,model_seed,target,original_class,no_aug_f1
3W,0.1,31001,42,0,0,0.9478932088261869
3W,0.1,31001,42,1,2,0.0
3W,0.1,31001,42,2,8,0.8138789100148953
3W,0.1,31001,42,3,9,0.0
3W,0.1,31001,43,0,0,0.9245817802366191
3W,0.1,31001,43,1,2,0.0
3W,0.1,31001,43,2,8,0.7482088024564995
3W,0.1,31001,43,3,9,0.0
3W,0.1,31001,44,0,0,0.9129731417272925
3W,0.1,31001,44,1,2,0.0
3W,0.1,31001,44,2,8,0.7159278019100189
3W,0.1,31001,44,3,9,0.0
3W,0.1,31001,45,0,0,0.9388741440507242
3W,0.1,31001,45,1,2,0.0
3W,0.1,31001,45,2,8,0.7516843956197009
3W,0.1,31001,45,3,9,0.0
3W,0.1,31001,46,0,0,0.9258517034068137
3W,0.1,31001,46,1,2,0.30270930943165614
3W,0.1,31001,46,2,8,0.7756384927619526
3W,0.1,31001,46,3,9,0.0
3W,0.1,31002,42,0,0,0.3823539662623728
3W,0.1,31002,42,1,2,0.7567127746135069
3W,0.1,31002,42,2,8,0.14344894395370478
3W,0.1,31002,42,3,9,0.5027717117419789
3W,0.1,31002,43,0,0,0.4301432495107149
3W,0.1,31002,43,1,2,0.2441248684672045
3W,0.1,31002,43,2,8,0.15986203472648647
3W,0.1,31002,43,3,9,0.1709593131765584
3W,0.1,31002,44,0,0,0.4284746336918777
3W,0.1,31002,44,1,2,0.5880039331366765
3W,0.1,31002,44,2,8,0.27707523495546915
3W,0.1,31002,44,3,9,0.1445209445981597
3W,0.1,31002,45,0,0,0.19949940968122787
3W,0.1,31002,45,1,2,0.0
3W,0.1,31002,45,2,8,0.13847324901202257
3W,0.1,31002,45,3,9,0.23834196891191708
3W,0.1,31002,46,0,0,0.4128396331533385
3W,0.1,31002,46,1,2,0.38316920322291853
3W,0.1,31002,46,2,8,0.16161325359540415
3W,0.1,31002,46,3,9,0.5595786701777485
3W,0.1,31003,42,0,0,0.18483132814343006
3W,0.1,31003,42,1,2,0.4406779661016949
3W,0.1,31003,42,2,8,0.6683724492094238
3W,0.1,31003,42,3,9,0.07146640185369083
3W,0.1,31003,43,0,0,0.1961150323747302
3W,0.1,31003,43,1,2,0.4431818181818182
3W,0.1,31003,43,2,8,0.6871650367423614
3W,0.1,31003,43,3,9,0.06946134631396912
3W,0.1,31003,44,0,0,0.47198911792403475
3W,0.1,31003,44,1,2,0.4829329962073325
3W,0.1,31003,44,2,8,0.847469882629411
3W,0.1,31003,44,3,9,0.0
3W,0.1,31003,45,0,0,0.5724475632325725
3W,0.1,31003,45,1,2,0.24956871765382405
