dataset,fraction,contrast,paired_delta,ci_low,ci_high,positive_cells,non_worse_cells,cell_count,worst_delta,worst_outer,worst_seed
3W,1.0,FINAL_QDIFFCL_FIXED - NO_AUG,-0.030488618504466863,-0.04420090712518946,0.05303385335241367,7,7,15,-0.37516763501035977,31002,44
3W,1.0,FINAL_QDIFFCL_FIXED - UNIFORM_DIFFUSION,-0.01972875744933204,-0.0489216700192194,0.019374318587586398,8,8,15,-0.24593866158512995,31001,46
3W,1.0,FINAL_QDIFFCL_FIXED - JITTER_SCALING,-0.04934213843603993,-0.06872641449247861,0.03959579864037236,5,5,15,-0.23548699443838736,31002,44
3W,1.0,CALIBRATED_RHO - FINAL_QDIFFCL_FIXED,0.02844215389560845,-0.030613480724995194,0.008005785730999786,6,11,15,-0.20160285558844665,31002,46
3W,1.0,CALIBRATED_RHO - UNIFORM_DIFFUSION,0.008713396446276408,-0.059489324770479926,0.010701556234978527,8,8,15,-0.2370937110636233,31001,46
3W,1.0,CALIBRATED_RHO - NO_AUG,-0.0020464646088584077,-0.052126413809936926,0.04949143143297851,10,10,15,-0.28997874453497363,31002,44
3W,1.0,CALIBRATED_RHO - JITTER_SCALING,-0.020899984540431477,-0.07665377842514194,0.033865553506036185,5,5,15,-0.15029810396300122,31002,44
3W,0.25,FINAL_QDIFFCL_FIXED - NO_AUG,0.005751453432674506,-0.013777816914596987,0.018966655999358935,7,7,15,-0.11369209024826604,31002,43
3W,0.25,FINAL_QDIFFCL_FIXED - UNIFORM_DIFFUSION,-0.006054672002657694,-0.04516628573288394,0.024624954181230754,6,6,15,-0.1679458068104718,31002,46
3W,0.25,FINAL_QDIFFCL_FIXED - JITTER_SCALING,0.0029833194466675574,-0.059754953928285746,0.028804669500505628,6,6,15,-0.09774894475455564,31002,43
3W,0.25,CALIBRATED_RHO - FINAL_QDIFFCL_FIXED,-0.000377007370680447,-0.042731723721653826,0.0470794054241442,8,8,15,-0.1944701994836383,31002,45
3W,0.25,CALIBRATED_RHO - UNIFORM_DIFFUSION,-0.006431679373338139,-0.03956533991629679,0.01563959890731685,7,7,15,-0.21904371001437278,31002,45
3W,0.25,CALIBRATED_RHO - NO_AUG,0.005374446061994057,-0.03131611698003828,0.03934967022951628,7,7,15,-0.0654330038337867,31002,45
3W,0.25,CALIBRATED_RHO - JITTER_SCALING,0.0026063120759871107,-0.029586412016256457,0.008061927669801442,7,7,15,-0.11949032541282933,31001,44
3W,0.1,FINAL_QDIFFCL_FIXED - NO_AUG,-0.01187297986007055,-0.04042437597928245,0.020439505139393042,7,7,15,-0.22186740706424296,31002,44
3W,0.1,FINAL_QDIFFCL_FIXED - UNIFORM_DIFFUSION,-0.0027538750533888565,-0.0013242940296613833,0.02164278408339313,9,9,15,-0.06532187267493217,31003,45
3W,0.1,FINAL_QDIFFCL_FIXED - JITTER_SCALING,0.012179337942281848,-0.02431695848050363,0.027867242734347597,8,8,15,-0.08121526418849556,31001,46
3W,0.1,CALIBRATED_RHO - FINAL_QDIFFCL_FIXED,-0.001808152905382643,-0.02219501277061052,0.0,2,12,15,-0.058194396164218176,31003,44
3W,0.1,CALIBRATED_RHO - UNIFORM_DIFFUSION,-0.0045620279587714994,-0.003637901062756351,0.009288332957932138,7,7,15,-0.04970690801060884,31003,45
3W,0.1,CALIBRATED_RHO - NO_AUG,-0.013681132765453193,-0.045804967757829204,0.014833958598925322,7,7,15,-0.22186740706424296,31002,44
3W,0.1,CALIBRATED_RHO - JITTER_SCALING,0.010371185036899206,-0.029541937989518298,0.020002460804764532,7,7,15,-0.08121526418849556,31001,46
