dataset,fraction,outer_id,rho_star,validation_macro_f1,validation_auprc,validation_far,historical_dcbr_global_rho
3W,0.1,31001,1.0,0.6467757011976929,0.946015323716599,0.20733333333333334,1.0
3W,0.1,31002,1.0,0.34685463539840916,0.7611712064795038,0.7613333333333333,1.0
3W,0.1,31003,0.0,0.8497110639236697,0.9851420307841083,0.10716666666666667,1.0
3W,0.25,31001,0.0,0.6669117915492276,0.9130467361868693,0.2645,1.0
3W,0.25,31002,0.75,0.29025680843185714,0.647238515931272,0.8401666666666667,1.0
3W,0.25,31003,0.75,0.8477337331853919,0.9707401415000246,0.17616666666666667,1.0
3W,1.0,31001,0.0,0.7097788797246528,0.9187609303088786,0.24750000000000003,1.0
3W,1.0,31002,0.75,0.27872053736981633,0.6649139589502644,0.826,1.0
3W,1.0,31003,1.0,0.8513500116823337,0.926635414260302,0.11483333333333334,1.0
TEP,0.25,32001,0.25,0.8956246574578876,0.966631679305412,0.03355492244381133,0.75
TEP,0.25,32002,1.0,0.8937612680903957,0.9567599116666542,0.03049932523616734,0.75
TEP,0.25,32003,0.25,0.8799899757526823,0.9474236763319476,0.020833333333333332,0.75
TEP,1.0,32001,0.5,0.9254851504288938,0.9822421474043138,0.05476416587527699,0.75
TEP,1.0,32002,0.25,0.9048778260996091,0.9649907643828671,0.03076923076923077,0.75
TEP,1.0,32003,0.75,0.9648724241668102,0.9959273535386695,0.043176328502415456,0.75
