dataset,fraction,contrast,scarcity_dod,scarcity_dod_estimand,group_macro_f1_dod,group_bootstrap_ci_low,group_bootstrap_ci_high,group_bootstrap_estimand,same_direction_outers,total_outers,same_direction_paired_cells,total_paired_cells,paired_direction_win_rate
3W,0.1,FINAL_QDIFFCL_FIXED - NO_AUG,0.018615638644396304,difference of paired outer-test aggregate Macro-F1 deltas,-0.014419468592322205,-0.07091845340719265,0.05417487776322863,outer-first mean of per-group Macro-F1 difference-of-differences,1,3,6,15,0.4
3W,0.1,FINAL_QDIFFCL_FIXED - UNIFORM_DIFFUSION,0.01697488239594318,difference of paired outer-test aggregate Macro-F1 deltas,0.02063873975149307,-0.010965500435066087,0.054145707462537745,outer-first mean of per-group Macro-F1 difference-of-differences,2,3,6,15,0.4
3W,0.1,FINAL_QDIFFCL_FIXED - JITTER_SCALING,0.061521476378321775,difference of paired outer-test aggregate Macro-F1 deltas,0.005856639755219612,-0.05233839865405172,0.0827848901433447,outer-first mean of per-group Macro-F1 difference-of-differences,2,3,10,15,0.6666666666666666
3W,0.1,CALIBRATED_RHO - FINAL_QDIFFCL_FIXED,-0.030250306800991094,difference of paired outer-test aggregate Macro-F1 deltas,0.0015163561739372337,-0.022350504145886813,0.03039889311954515,outer-first mean of per-group Macro-F1 difference-of-differences,1,3,6,15,0.4
3W,0.25,FINAL_QDIFFCL_FIXED - NO_AUG,0.036240071937141356,difference of paired outer-test aggregate Macro-F1 deltas,-0.004560857538951066,-0.05971160817183502,0.052769481216797004,outer-first mean of per-group Macro-F1 difference-of-differences,2,3,9,15,0.6
3W,0.25,FINAL_QDIFFCL_FIXED - UNIFORM_DIFFUSION,0.013674085446674348,difference of paired outer-test aggregate Macro-F1 deltas,0.004113274309172625,-0.05779902008330563,0.06476274785651275,outer-first mean of per-group Macro-F1 difference-of-differences,2,3,8,15,0.5333333333333333
3W,0.25,FINAL_QDIFFCL_FIXED - JITTER_SCALING,0.05232545788270748,difference of paired outer-test aggregate Macro-F1 deltas,-0.007227508476101533,-0.06738346860119655,0.0795526649052766,outer-first mean of per-group Macro-F1 difference-of-differences,2,3,9,15,0.6
3W,0.25,CALIBRATED_RHO - FINAL_QDIFFCL_FIXED,-0.028819161266288904,difference of paired outer-test aggregate Macro-F1 deltas,0.009135196991562075,-0.04034828214404912,0.05952272362273761,outer-first mean of per-group Macro-F1 difference-of-differences,1,3,5,15,0.3333333333333333
TEP,0.25,FINAL_QDIFFCL_FIXED - NO_AUG,-0.0009673758874913507,difference of paired outer-test aggregate Macro-F1 deltas,0.012072856560403371,0.002108732049281089,0.021522941401384412,outer-first mean of per-group Macro-F1 difference-of-differences,0,2,5,10,0.5
TEP,0.25,FINAL_QDIFFCL_FIXED - UNIFORM_DIFFUSION,-0.0020613244847253907,difference of paired outer-test aggregate Macro-F1 deltas,-0.005101720913575967,-0.03300671163057639,0.023627700053980488,outer-first mean of per-group Macro-F1 difference-of-differences,1,2,4,10,0.4
TEP,0.25,FINAL_QDIFFCL_FIXED - JITTER_SCALING,0.0023936562404167972,difference of paired outer-test aggregate Macro-F1 deltas,0.010748524962624139,0.0006719045449113189,0.02112015119750059,outer-first mean of per-group Macro-F1 difference-of-differences,1,2,3,10,0.3
TEP,0.25,CALIBRATED_RHO - FINAL_QDIFFCL_FIXED,0.0004229934808642977,difference of paired outer-test aggregate Macro-F1 deltas,-0.0133219533002825,-0.023600356662674987,-0.004624125870414937,outer-first mean of per-group Macro-F1 difference-of-differences,2,2,7,10,0.7
