dataset,outer_id,fraction,fraction_numeric,E_identifiable,independent_train_groups,normal_groups,fault_groups,early_fault_groups,r_rank,r_rank_q05,r_rank_q25,r_rank_q75,r_rank_q95,r_mask,r_mask_q05,r_mask_q25,r_mask_q75,r_mask_q95,R,R_q05,R_q50,R_q75,R_q95,bootstrap_repeats,reference_map_hash,reference_mask_hash,source_artifact_hashes,regret_rho1,rho_opt,V_max,V_ref
3W,31001,f100,1.0,True,0,0,0,0,0.9966181675495083,0.9962118584437816,0.9964278610748624,0.9968436204328974,0.9970752072779644,0.9728506787330317,0.9551569506726457,0.963963963963964,0.9728506787330317,0.9818181818181818,0.98473442314127,0.9759379016572434,0.9845343324332732,0.9848471495829646,0.9892059749678856,64,a7a0b1d08bd12c8cc0b118a8dabd24eb77137211d4ee45bcbbfa0bc273e1ef06,88eb049b040a395bda8801125c000293929e2f55b76abe84928f17f2ccdc9133,"{""audit_sha256"": ""3fa41ae50ca5b6f7592dfe02fd8e8c6158ee531f0963f1b51d41c3548b4a539a"", ""criticality_sha256"": ""dee6ae4d3c5e9049b49243b98eb5d8a870a108994a089362408dffeb6cf2a38b""}",118.63362792040243,0.0,7189.4173902774155,7070.783762357013
3W,31002,f100,1.0,True,0,0,0,0,0.9968597001304957,0.9965152715967547,0.9967433242011209,0.996996938115116,0.9971864151251076,0.9818181818181818,0.9728506787330317,0.9818181818181818,0.9908675799086758,0.9908675799086758,0.9893389409743387,0.9848118589194987,0.9894200293762199,0.993764057221491,0.9939965135148581,64,8e25ef31d5ef9f6af0e0c58eef14a81693fc8b81f142cd007edb2249ce53c4d9,d58021c19d5a481d6a5c9c215ebb4c1d635071667892f56e6c92fa6dba2ef868,"{""audit_sha256"": ""c06bae01547b581b47cb7695c1a4d2e822baabf41bd1b5df59a00130d48a3825"", ""criticality_sha256"": ""60dca81d85e01357635d7056195789b06fdc319282a434fbcc00a834a07b9dc0""}",132.47325875053366,0.75,2852.8632695931897,2720.390010842656
3W,31003,f100,1.0,True,0,0,0,0,0.9904439243086063,0.988793689483086,0.9898555296794291,0.9910344435589679,0.9916082841410356,0.9292035398230089,0.9122807017543859,0.920704845814978,0.9377777777777778,0.9464285714285714,0.9598237320658076,0.9511767450108864,0.9599083562763755,0.9642453450521131,0.9691060452808629,64,cf785b1729cb637b00e09aeae0853013a01029603a0b13279fdfecfc77d539da,52eb5082d324dfb4d016e388296ef1a020525498c9572eac3b5908f6137b2748,"{""audit_sha256"": ""a70d2444905db6d3443a6e517469b815912565332b282d78bf7be99c65121ad1"", ""criticality_sha256"": ""4a3ccc6021f50e74c85fab1aceefd1738e99f59844cc648568a52ca430eda048""}",0.0,1.0,8606.038824916035,8606.038824916035
3W,31001,f025,0.25,True,0,0,0,0,0.9961932276327761,0.9956272363891946,0.9959667555584127,0.9963731226796255,0.9966469369587263,0.9728506787330317,0.9551569506726457,0.963963963963964,0.9728506787330317,0.9818181818181818,0.9845219531829039,0.9756693432675965,0.9843746487274321,0.9845963070844257,0.989035863370394,64,47f770ef23f71af3d3d1ddc90f4035af7732f4f75fb24b34da8b0af121a11cb8,a6d75662c28f3d560e992b4576013603a41448185e6eb68018a24366da10c0b9,"{""audit_sha256"": ""040fc1e273e0bf5250366c3dc01d624e14965a4a6227c38433f5c694c144202d"", ""criticality_sha256"": ""b4df2cb7ff773a2204a8eeeaa27b482a0091a131ecef92f9c8533c11b76f4d37""}",599.3377043255532,0.0,6760.158089110963,6160.82038478541
3W,31002,f025,0.25,True,0,0,0,0,0.9938165526806095,0.9930396139931785,0.9934875970338407,0.994095277892219,0.9944059680687468,0.9908675799086758,0.9831755915317559,0.9908675799086758,1.0,1.0,0.9923420662946427,0.9886607106481438,0.9924755097528674,0.996891706647046,0.9971861752232323,64,1534206d470303a02c19424d21f73847f8a44d7e0ce2849bf43761e205ae5c1b,5c1da75a16a8f57ba05ffbd909ee1f93aff2f6e3e55f32871dc665f096408773,"{""audit_sha256"": ""4d4f97b986e058323262dbe7567d7785a51cf5f7092f8f3896d4864db5f65567"", ""criticality_sha256"": ""c5975480d20962acc085ae47054b08ddca1c80269756ee019fe188997f3e0308""}",51.17733679452613,0.75,2966.4442692450316,2915.2669324505055
3W,31003,f025,0.25,True,0,0,0,0,0.9922055253478675,0.9912324378695303,0.9917906754217785,0.9927343365047159,0.9929977127002563,0.9377777777777778,0.9219796499161826,0.9292035398230089,0.9464285714285714,0.963963963963964,0.9649916515628227,0.9571364285237701,0.9652709412494332,0.9694293789134203,0.9779672727042474,64,6b0e5b1dd2b6da952e05f7694c93267ba225cef961282d3531bc0bb76072312b,55cdf6a65bc6f364eb18e75b572307e8ce6eb6ab701c324b867e609439023b42,"{""audit_sha256"": ""0d4dd6b37a90dbad4ce3c7a7106a10f2651ffedea19c1b0fd23b2e7a66843046"", ""criticality_sha256"": ""67ecaf49628b082c1f2c8418ec9b5869a4591fbe737f0784f63e662ef1ab674f""}",263.2594129003337,0.75,8574.227679337257,8310.968266436923
3W,31001,f010,0.1,True,0,0,0,0,0.99218325994505,0.991016977761645,0.9918883766365365,0.9926699314750869,0.9930320939317762,1.0,0.9908675799086758,0.9908675799086758,1.0,1.0,0.996091629972525,0.9909305636269102,0.9953358528256874,0.9961339538377048,0.99650313460024,64,41005a792cf6100b96d3ece3dec8ec1c51bb3549298dc0e36eb61347341c0719,8bc770bb1b766f07bcac22c27b563630d09b85f96283d53bdaff19364a94e054,"{""audit_sha256"": ""a0c1aa773e8749ab111ab73fa2001050428cc595c9691b5c2f62edaa66913632"", ""criticality_sha256"": ""a8e2e813ae9adf771a2de67cc1209658140da808251da06020f8d1e5f36e8710""}",0.0,1.0,6562.141211015255,6562.141211015255
3W,31002,f010,0.1,True,0,0,0,0,0.9944303878844849,0.9938155711213021,0.9942401833289364,0.9947090895763028,0.9950419636203701,0.9818181818181818,0.9728506787330317,0.9818181818181818,0.9908675799086758,0.9908675799086758,0.9881242848513334,0.983627192098908,0.9883842569490204,0.992605276283655,0.9928838737043962,64,48badafdf007cc1586198b5f0b0d7f3f420c2cf7f345ed942660c054305b290c,81340e0c6b01d03bf8ef075131a9ddc871633fbec6d6f9538f130832566b3d30,"{""audit_sha256"": ""f49dd3f04144e23837b8f055e957f1636bc6c6ab5b432d68907a985368183f74"", ""criticality_sha256"": ""0927c318116bb9ab8c1696ea7b4afee8c3a00621b47eb44ac6f8b92c4b3ef6a4""}",0.0,1.0,3543.8921412987083,3543.8921412987083
3W,31003,f010,0.1,True,0,0,0,0,0.9923962551787642,0.9912337549778659,0.9917985623919314,0.9927654767089383,0.9932200437232928,0.9464285714285714,0.9304896755162242,0.9464285714285714,0.9551569506726457,0.9728506787330317,0.9694124133036678,0.9614635710370102,0.9698044647116605,0.9739850431597582,0.9828451652965373,64,a1c3775144d15a9c3ccf103e0e9dc2663e8ea4625f20d954e2c8e67b18b54aa7,dbda6efe5af6989afc9e130ca068b4f34b138978606ae680862931d59e99a074,"{""audit_sha256"": ""9f9b20e656e366b736e275302cd5cca08f813901008b8d0a8b50a4828ee4b896"", ""criticality_sha256"": ""e17b50ef1e8cb6046f7e0670368fdb6c52074a215b141d8c4a915ec7fc419c41""}",1155.9270761052576,0.0,8595.51767564844,7439.590599543182
TEP,32001,f100,1.0,True,0,0,0,0,0.9998155375343875,0.9997962975063518,0.9998071206009826,0.9998214727874908,0.9998278929775488,1.0,0.9961240310077519,0.9961240310077519,1.0,1.0,0.9999077687671938,0.9979641234276876,0.9999023524108805,0.9999088398081659,0.9999135293527506,64,29cf0a99d6871c2a4c2229d53207f5ede876cf13fa1a799cce11de26e186d897,559fb8d8349ddf24717c23eb6d9784fa8a71bee5f82e41f2c266283adb198947,"{""audit_sha256"": ""6b2ecec281fc0003a27a5caf6278a2e16144abb8ae357e90de3c20c908873548"", ""criticality_sha256"": ""ad6a64bca2e780e3fc9e1bf814dd71a51c6fcd929f6f301f2156cec0ea74db0d""}",5.801649294617164,0.5,9353.015954863495,9347.214305568878
