split,well_id
train,WELL-00005
train,WELL-00006
train,WELL-00007
train,WELL-00008
train,WELL-00010
train,WELL-00011
train,WELL-00012
train,WELL-00014
train,WELL-00020
train,WELL-00022
train,WELL-00023
train,WELL-00024
train,WELL-00026
train,WELL-00027
train,WELL-00028
train,WELL-00029
train,WELL-00031
train,WELL-00032
train,WELL-00033
train,WELL-00034
train,WELL-00035
train,WELL-00038
train,WELL-00040
train,WELL-00042
validation,WELL-00002
validation,WELL-00003
validation,WELL-00004
validation,WELL-00016
validation,WELL-00021
validation,WELL-00025
validation,WELL-00036
validation,WELL-00039
test,WELL-00001
test,WELL-00009
test,WELL-00013
test,WELL-00015
test,WELL-00019
test,WELL-00030
test,WELL-00037
test,WELL-00041
