space,target,original_class,within_cross_well_euclidean,between_class_euclidean,euclidean_ratio,within_cross_well_cosine,between_class_cosine,cosine_ratio
preprocessed,0,0,6.773705525215116,8.471020565799343,0.7996327564783732,0.8975936587327616,0.9182298676145921,0.9775260971030708
preprocessed,1,1,8.742806752522787,8.471020565799343,1.0320842317182828,0.9256721716374159,0.9182298676145921,1.0081050554826294
preprocessed,2,2,6.112598507177262,8.471020565799343,0.7215893834393572,0.6575294961886746,0.9182298676145921,0.7160837600467369
preprocessed,3,4,5.3316910948072165,8.471020565799343,0.6294036301048819,0.9380161591938564,0.9182298676145921,1.0215482988270308
preprocessed,4,5,8.249531269073486,8.471020565799343,0.9738532925276925,0.6974693685770035,0.9182298676145921,0.7595803547415774
preprocessed,5,7,8.230723921457926,8.471020565799343,0.971633093973165,0.9546411474545796,0.9182298676145921,1.0396537742064282
preprocessed,6,8,10.993288225597805,8.471020565799343,1.2977525128414626,0.5457533417890469,0.9182298676145921,0.5943537245274138
preprocessed,7,9,5.9012937863667805,8.471020565799343,0.6966449603714217,0.398079855243365,0.9182298676145921,0.43352963052433696
raw_train_median_imputed,0,0,4.063993614460495e+38,6.903579310601523e+40,0.005886792099599115,0.26623458563544383,0.3153636867594945,0.8442144635329624
raw_train_median_imputed,1,1,6.293952066199574e+41,6.903579310601523e+40,9.116940333450257,0.6666844467043274,0.3153636867594945,2.114017798164442
raw_train_median_imputed,2,2,24706610.488641005,6.903579310601523e+40,3.578811711585634e-34,0.00020177345591892198,0.3153636867594945,0.000639811951693729
raw_train_median_imputed,3,4,21200040.71712022,6.903579310601523e+40,3.0708766805306706e-34,0.00013564315101436777,0.3153636867594945,0.00043011658193168315
raw_train_median_imputed,4,5,1959111052.7710228,6.903579310601523e+40,2.8378192885573175e-32,0.3833944980452803,0.3153636867594945,1.2157217655109038
raw_train_median_imputed,5,7,3.933720041374733e+41,6.903579310601523e+40,5.698087708406409,0.33476298025782275,0.3153636867594945,1.0615140370080804
raw_train_median_imputed,6,8,3.141602054330413e+19,6.903579310601523e+40,4.550685829749204e-22,0.7656997297753413,0.3153636867594945,2.427989530574223
raw_train_median_imputed,7,9,12861680.155469807,6.903579310601523e+40,1.8630451794359328e-34,6.502159230599158e-05,0.3153636867594945,0.00020617970627537384
