original_class,held_out_well,windows,accuracy
2,WELL-00002,6,1.0
2,WELL-00003,10,0.3
2,WELL-00009,6,0.5
2,WELL-00010,2,0.5
2,WELL-00011,65,0.0
2,WELL-00012,6,0.5
2,WELL-00013,3,1.0
4,WELL-00001,288,1.0
4,WELL-00002,896,1.0
4,WELL-00004,344,0.5813953488372093
4,WELL-00005,304,1.0
4,WELL-00007,80,1.0
4,WELL-00010,664,0.0
4,WELL-00014,168,0.005952380952380952
8,WELL-00019,22,0.7727272727272727
8,WELL-00025,7,1.0
8,WELL-00026,15,0.2
8,WELL-00027,8,1.0
8,WELL-00028,8,0.75
8,WELL-00029,4,0.5
8,WELL-00030,7,0.5714285714285714
8,WELL-00031,6,0.8333333333333334
8,WELL-00032,5,0.4
