split,class,target,distinct_wells,instances,windows,window_percentage,split_wells_over_total_wells
train,0,0,24,353,213479,0.3911132526235563,24/40
train,1,1,1,2,1596,0.002924019464149616,24/40
train,2,2,3,16,2379,0.004358547810283169,24/40
train,4,3,4,152,33921,0.062146406167555845,24/40
train,5,4,1,6,9604,0.01759541537198804,24/40
train,7,5,4,33,206814,0.3789023568036583,24/40
train,8,6,6,8,72456,0.13274608665064197,24/40
train,9,7,4,10,5575,0.010213915108166735,24/40
validation,0,0,8,267,140051,0.7085234688818512,8/40
validation,1,1,1,1,300,0.0015177116954863254,8/40
validation,2,2,2,4,764,0.0038651057845051754,8/40
validation,4,3,2,155,34634,0.1752147562049113,8/40
validation,5,4,1,4,521,0.002635759311161252,8/40
validation,7,5,1,2,1360,0.006880293019538008,8/40
validation,8,6,1,1,19776,0.10004755496645858,8/40
validation,9,7,1,1,260,0.0013153501360881486,8/40
test,0,0,8,118,100696,0.7276090553712977,8/40
test,1,1,1,1,451,0.0032588353457183527,8/40
test,2,2,2,2,306,0.002211094491773428,8/40
test,4,3,1,36,8170,0.05903477777055198,8/40
test,5,4,1,1,308,0.002225546089758875,8/40
test,7,5,1,1,1227,0.008866055364071881,8/40
test,8,6,2,5,26405,0.1907972224028672,8/40
test,9,7,2,3,830,0.005997413163960605,8/40
