class,source,instances,observations,distinct_real_wells
0,WELL,594,12158183,9
0,SIMULATED,0,0,
0,DRAWN,0,0,
1,WELL,4,236794,3
1,SIMULATED,114,8323113,
1,DRAWN,10,547200,
2,WELL,22,277001,7
2,SIMULATED,16,460784,
2,DRAWN,0,0,
3,WELL,32,684352,2
3,SIMULATED,74,4264927,
3,DRAWN,0,0,
4,WELL,343,3689683,7
4,SIMULATED,0,0,
4,DRAWN,0,0,
5,WELL,11,439408,3
5,SIMULATED,439,12862269,
5,DRAWN,0,0,
6,WELL,6,77477,2
6,SIMULATED,215,5804790,
6,DRAWN,0,0,
7,WELL,36,7864945,6
7,SIMULATED,0,0,
7,DRAWN,10,2419210,
8,WELL,14,4809035,9
8,SIMULATED,81,2186920,
8,DRAWN,0,0,
9,WELL,57,2635372,15
9,SIMULATED,150,6845855,
9,DRAWN,0,0,
