feature,instance_coverage,instances_present,total_instances,observation_coverage,observations_present,total_observations,missing_rate,min,max,mean,std
ABER-CKGL,0.12836624775583483,286,2228,0.11087361748324964,8491513,76587318,0.8891263825167504,0.0,100.0,19.318428358536593,30.400664088997026
ABER-CKP,0.13420107719928187,299,2228,0.1609464637474314,12326458,76587318,0.8390535362525686,-99.99,100.4375,40.52590732976927,32.596611679331176
ESTADO-DHSV,0.21095152603231598,470,2228,0.18104037799051795,13865397,76587318,0.818959622009482,0.0,1.0,0.5703574877805518,0.49502507402475027
ESTADO-M1,0.2248653500897666,501,2228,0.2320645958642918,17773205,76587318,0.7679354041357083,0.0,1.0,0.853288869396375,0.3538177140288923
ESTADO-M2,0.22621184919210055,504,2228,0.2309557569309321,17688282,76587318,0.7690442430690679,0.0,1.0,0.3172376209289291,0.4653942946149149
ESTADO-PXO,0.23877917414721722,532,2228,0.2373265375345824,18176203,76587318,0.7626734624654176,0.0,1.0,0.008822909823355296,0.09351505806876365
ESTADO-SDV-GL,0.21543985637342908,480,2228,0.2233433869560493,17105271,76587318,0.7766566130439507,0.0,1.0,0.5448039963821678,0.4979885560012265
ESTADO-SDV-P,0.2966786355475763,661,2228,0.3174952150694192,24316107,76587318,0.6825047849305808,0.0,1.0,0.9110018721335615,0.28474104218167695
ESTADO-W1,0.2504488330341113,558,2228,0.2472737849365609,18938036,76587318,0.7527262150634391,0.0,1.0,0.7026501586542554,0.45709179952981555
ESTADO-W2,0.23922800718132856,533,2228,0.23885758736191806,18293462,76587318,0.7611424126380819,0.0,1.0,0.24078793833556492,0.42755884413251305
ESTADO-XO,0.23922800718132856,533,2228,0.24206004968081007,18538730,76587318,0.7579399503191899,0.0,1.0,0.0030957891937581487,0.055553625291478136
P-ANULAR,0.41337522441651703,921,2228,0.332437741193653,25460515,76587318,0.667562258806347,-7658084.0,43492120.0,15166981.947409116,6601109.12721835
P-JUS-BS,0.0,0,2228,0.0,0,76587318,1.0,nan,nan,nan,nan
P-JUS-CKGL,0.3765709156193896,839,2228,0.4164688728230436,31896234,76587318,0.5835311271769563,-497671.7,10520612199.99744,16618142.2983624,73652396.41984802
P-JUS-CKP,0.29847396768402157,665,2228,0.28876791324642026,22115960,76587318,0.7112320867535797,-9999000.0,1559396000.0,83862964.13718241,329850404.68910694
P-MON-CKGL,0.0008976660682226212,2,2228,0.0040310329185309765,308726,76587318,0.995968967081469,-94000.0,26223000.0,9670923.949541388,7609552.375636226
P-MON-CKP,0.8218132854578097,1831,2228,0.9075584419864395,69507467,76587318,0.09244155801356047,-237026.0,24747000.0,3373245.9079243056,3175275.4883980993
P-MON-SDV-P,0.0,0,2228,0.0,0,76587318,1.0,nan,nan,nan,nan
P-PDG,0.8689407540394973,1936,2228,0.8966380308551868,68671102,76587318,0.10336196914481321,-1.180116e+42,49094350.0,-5.253107468174892e+39,7.856004731948989e+40
PT-P,0.0,0,2228,0.0,0,76587318,1.0,nan,nan,nan,nan
P-TPT,0.9286355475763016,2069,2228,0.9297301023127615,71205535,76587318,0.07026989768723846,-17129300.0,2941990000.0,14751706.689892493,55190860.8791847
QBS,0.0,0,2228,0.0,0,76587318,1.0,nan,nan,nan,nan
QGL,0.2670556552962298,595,2228,0.3207575436967254,24565960,76587318,0.6792424563032746,-54.17672629900843,7.297315,1.3042839474796706,1.541538113339895
T-JUS-CKP,0.75,1671,2228,0.7906585526340013,60554418,76587318,0.2093414473659987,-11.39319,111.1957,69.26202706311925,19.029774562709893
T-MON-CKP,0.3002692998204668,669,2228,0.3083748800290931,23617605,76587318,0.6916251199709069,-99.99,111.23,70.50836768605505,32.1680317110732
T-PDG,0.25269299820466784,563,2228,0.2717326124411355,20811272,76587318,0.7282673875588646,-1.711613e+38,30000.0,-2.5140421509410864e+36,2.059092797503706e+37
T-TPT,0.8657989228007181,1929,2228,0.8660086256056126,66325278,76587318,0.13399137439438735,-33.75,127.7401,92.88586828448742,36.8561528752329
