event_class,raw_label,phase,observations,instances
0,0,normal,10019783,594
0,NA,unlabeled,2138400,594
1,0,normal,916999,128
1,1,event,2909887,124
1,101,transient,5265821,128
1,NA,unlabeled,14400,4
2,0,normal,145036,38
2,102,transient,146691,38
2,2,event,366858,27
2,NA,unlabeled,79200,22
3,3,event,4834079,106
3,NA,unlabeled,115200,32
4,4,event,2454883,343
4,NA,unlabeled,1234800,343
5,0,normal,285431,450
5,105,transient,2423367,450
5,5,event,10553279,446
5,NA,unlabeled,39600,11
6,0,normal,423019,221
6,106,transient,1558565,221
6,6,event,3879083,221
6,NA,unlabeled,21600,6
7,0,normal,1301927,46
7,107,transient,8714480,46
7,7,event,138148,9
7,NA,unlabeled,129600,36
8,0,normal,1108097,95
8,108,transient,5093397,95
8,8,event,744061,73
8,NA,unlabeled,50400,14
9,0,normal,3104977,207
9,109,transient,2967445,164
9,9,event,3203605,153
9,NA,unlabeled,205200,57
