event_class,source,phase_sequence,instances
0,WELL,unlabeled>normal,594
1,DRAWN,normal>transient,4
1,DRAWN,normal>transient>event,6
1,SIMULATED,normal>transient>event,114
1,WELL,unlabeled>normal>transient>event,4
2,SIMULATED,normal>transient>event,16
2,WELL,unlabeled>normal>transient,11
2,WELL,unlabeled>normal>transient>event,11
3,SIMULATED,event,74
3,WELL,unlabeled>event,32
4,WELL,unlabeled>event,343
5,SIMULATED,normal>transient>event,439
5,WELL,unlabeled>normal>transient,4
5,WELL,unlabeled>normal>transient>event,7
6,SIMULATED,normal>transient>event,215
6,WELL,unlabeled>normal>transient>event,6
7,DRAWN,normal>transient,6
7,DRAWN,normal>transient>event,4
7,WELL,unlabeled>normal>transient,31
7,WELL,unlabeled>normal>transient>event,5
8,SIMULATED,normal>transient,20
8,SIMULATED,normal>transient>event,61
8,WELL,unlabeled>normal>transient,2
8,WELL,unlabeled>normal>transient>event,12
9,SIMULATED,normal>transient>event,150
9,WELL,unlabeled>normal,43
9,WELL,unlabeled>normal>transient,11
9,WELL,unlabeled>normal>transient>event,3
