dimension,group,missing_cells,total_cells,missing_rate
overall,ALL,1397304850,2067857586,0.6757258621000605
class,0,198814972,328270941,0.605642922259147
class,1,197529626,245891889,0.8033189984562688
class,2,15638515,19920195,0.7850583289972815
class,3,102661925,133630533,0.7682520056999249
class,4,63107148,99621441,0.6334695359405612
class,5,261107981,359145279,0.7270260706949179
class,6,123438057,158821209,0.7772139362067191
class,7,166935918,277672185,0.6011978405399158
class,8,95971764,188890785,0.5080807091780576
class,9,172098944,255993129,0.672279543877914
source,DRAWN,65261020,80093070,0.8148148148148148
source,SIMULATED,851249438,1100213766,0.7737127677422644
source,WELL,480794392,887550750,0.5417091833903582
