instance,class,source,observations,mode_interval_seconds,min_interval_seconds,max_interval_seconds,constant_interval,nonpositive_intervals,timestamp_gaps
WELL-00001_20170201010207,0,WELL,21474,1.0,1.0,1.0,True,0,0
WELL-00001_20170201060114,0,WELL,21527,1.0,1.0,1.0,True,0,0
WELL-00001_20170201110124,0,WELL,21517,1.0,1.0,1.0,True,0,0
WELL-00001_20170201160311,0,WELL,21410,1.0,1.0,1.0,True,0,0
WELL-00001_20170201210228,0,WELL,21453,1.0,1.0,1.0,True,0,0
WELL-00001_20170202020343,0,WELL,21378,1.0,1.0,1.0,True,0,0
WELL-00001_20170202070239,0,WELL,21442,1.0,1.0,1.0,True,0,0
WELL-00001_20170218000146,0,WELL,21495,1.0,1.0,1.0,True,0,0
WELL-00001_20170218050218,0,WELL,21463,1.0,1.0,1.0,True,0,0
WELL-00001_20170218100218,0,WELL,21463,1.0,1.0,1.0,True,0,0
WELL-00001_20170218150135,0,WELL,21506,1.0,1.0,1.0,True,0,0
WELL-00001_20170219010042,0,WELL,21559,1.0,1.0,1.0,True,0,0
WELL-00001_20170219060031,0,WELL,21570,1.0,1.0,1.0,True,0,0
WELL-00001_20170219110021,0,WELL,21580,1.0,1.0,1.0,True,0,0
WELL-00001_20170219160053,0,WELL,21548,1.0,1.0,1.0,True,0,0
WELL-00001_20170219210332,0,WELL,21389,1.0,1.0,1.0,True,0,0
WELL-00001_20170421090251,0,WELL,24759,1.0,1.0,1.0,True,0,0
WELL-00001_20170422030000,0,WELL,25058,1.0,1.0,1.0,True,0,0
WELL-00001_20170424170042,0,WELL,21559,1.0,1.0,1.0,True,0,0
WELL-00001_20170424220156,0,WELL,21485,1.0,1.0,1.0,True,0,0
WELL-00001_20170425030207,0,WELL,21474,1.0,1.0,1.0,True,0,0
WELL-00001_20170425080343,0,WELL,21378,1.0,1.0,1.0,True,0,0
WELL-00001_20170425130042,0,WELL,21559,1.0,1.0,1.0,True,0,0
WELL-00001_20170520180000,0,WELL,21421,1.0,1.0,1.0,True,0,0
WELL-00001_20170520230000,0,WELL,21549,1.0,1.0,1.0,True,0,0
WELL-00001_20170521040000,0,WELL,21472,1.0,1.0,1.0,True,0,0
WELL-00001_20170521090000,0,WELL,21472,1.0,1.0,1.0,True,0,0
WELL-00001_20170521140000,0,WELL,21498,1.0,1.0,1.0,True,0,0
WELL-00001_20170521190000,0,WELL,21408,1.0,1.0,1.0,True,0,0
WELL-00001_20170522000000,0,WELL,21562,1.0,1.0,1.0,True,0,0
WELL-00001_20170522050000,0,WELL,21562,1.0,1.0,1.0,True,0,0
WELL-00001_20170522100000,0,WELL,21575,1.0,1.0,1.0,True,0,0
WELL-00001_20170522150000,0,WELL,21536,1.0,1.0,1.0,True,0,0
WELL-00001_20170522200000,0,WELL,21524,1.0,1.0,1.0,True,0,0
WELL-00001_20170523010012,0,WELL,21499,1.0,1.0,1.0,True,0,0
WELL-00001_20170523060000,0,WELL,21434,1.0,1.0,1.0,True,0,0
WELL-00001_20170523110000,0,WELL,21434,1.0,1.0,1.0,True,0,0
WELL-00001_20170523160000,0,WELL,21242,1.0,1.0,1.0,True,0,0
WELL-00001_20170523210000,0,WELL,21575,1.0,1.0,1.0,True,0,0
WELL-00001_20170524020000,0,WELL,21485,1.0,1.0,1.0,True,0,0
WELL-00001_20170524070000,0,WELL,21575,1.0,1.0,1.0,True,0,0
WELL-00001_20170524120000,0,WELL,21562,1.0,1.0,1.0,True,0,0
WELL-00001_20170524170000,0,WELL,21549,1.0,1.0,1.0,True,0,0
WELL-00001_20170524220000,0,WELL,21498,1.0,1.0,1.0,True,0,0
WELL-00001_20170525030000,0,WELL,21536,1.0,1.0,1.0,True,0,0
WELL-00001_20170525080000,0,WELL,21524,1.0,1.0,1.0,True,0,0
WELL-00001_20170525130000,0,WELL,21549,1.0,1.0,1.0,True,0,0
WELL-00001_20170525180000,0,WELL,21498,1.0,1.0,1.0,True,0,0
WELL-00001_20170525230000,0,WELL,21549,1.0,1.0,1.0,True,0,0
WELL-00001_20170526040000,0,WELL,21447,1.0,1.0,1.0,True,0,0
WELL-00001_20170526090000,0,WELL,21472,1.0,1.0,1.0,True,0,0
WELL-00001_20170526140000,0,WELL,21434,1.0,1.0,1.0,True,0,0
WELL-00001_20170526190000,0,WELL,21524,1.0,1.0,1.0,True,0,0
WELL-00001_20170527000000,0,WELL,21524,1.0,1.0,1.0,True,0,0
WELL-00001_20170527050000,0,WELL,21562,1.0,1.0,1.0,True,0,0
WELL-00001_20170527100000,0,WELL,21536,1.0,1.0,1.0,True,0,0
WELL-00001_20170527150000,0,WELL,21421,1.0,1.0,1.0,True,0,0
WELL-00001_20170527200000,0,WELL,21524,1.0,1.0,1.0,True,0,0
WELL-00001_20170528010000,0,WELL,21536,1.0,1.0,1.0,True,0,0
WELL-00001_20170528060000,0,WELL,21536,1.0,1.0,1.0,True,0,0
WELL-00001_20170528110000,0,WELL,21536,1.0,1.0,1.0,True,0,0
WELL-00001_20170528160000,0,WELL,21562,1.0,1.0,1.0,True,0,0
WELL-00001_20170528210000,0,WELL,21421,1.0,1.0,1.0,True,0,0
WELL-00001_20170626090246,0,WELL,21244,1.0,1.0,1.0,True,0,0
WELL-00001_20170626140123,0,WELL,21232,1.0,1.0,1.0,True,0,0
WELL-00001_20170626190135,0,WELL,21410,1.0,1.0,1.0,True,0,0
WELL-00001_20170627000333,0,WELL,21174,1.0,1.0,1.0,True,0,0
WELL-00001_20170823040000,0,WELL,21446,1.0,1.0,1.0,True,0,0
WELL-00001_20170823092146,0,WELL,16533,1.0,1.0,1.0,True,0,0
WELL-00001_20170823140000,0,WELL,21601,1.0,1.0,1.0,True,0,0
WELL-00001_20170823190000,0,WELL,21535,1.0,1.0,1.0,True,0,0
WELL-00001_20170824000000,0,WELL,21496,1.0,1.0,1.0,True,0,0
WELL-00001_20170824050000,0,WELL,21548,1.0,1.0,1.0,True,0,0
WELL-00001_20170824100000,0,WELL,21535,1.0,1.0,1.0,True,0,0
WELL-00001_20170824150000,0,WELL,21561,1.0,1.0,1.0,True,0,0
WELL-00001_20170824200000,0,WELL,21574,1.0,1.0,1.0,True,0,0
WELL-00001_20170825010000,0,WELL,21483,1.0,1.0,1.0,True,0,0
WELL-00001_20170825060000,0,WELL,21470,1.0,1.0,1.0,True,0,0
WELL-00001_20170825110000,0,WELL,21378,1.0,1.0,1.0,True,0,0
WELL-00001_20170825160000,0,WELL,21483,1.0,1.0,1.0,True,0,0
WELL-00001_20170825210000,0,WELL,21509,1.0,1.0,1.0,True,0,0
WELL-00001_20170826020000,0,WELL,21522,1.0,1.0,1.0,True,0,0
WELL-00001_20170826070000,0,WELL,21522,1.0,1.0,1.0,True,0,0
WELL-00001_20170826120000,0,WELL,21535,1.0,1.0,1.0,True,0,0
WELL-00001_20170826170000,0,WELL,21548,1.0,1.0,1.0,True,0,0
WELL-00001_20170826220000,0,WELL,21522,1.0,1.0,1.0,True,0,0
WELL-00001_20170827030000,0,WELL,21483,1.0,1.0,1.0,True,0,0
WELL-00001_20170827080000,0,WELL,21574,1.0,1.0,1.0,True,0,0
WELL-00001_20170827130000,0,WELL,21496,1.0,1.0,1.0,True,0,0
WELL-00001_20170827180000,0,WELL,21444,1.0,1.0,1.0,True,0,0
WELL-00001_20170827230000,0,WELL,21326,1.0,1.0,1.0,True,0,0
WELL-00001_20170828040000,0,WELL,21444,1.0,1.0,1.0,True,0,0
WELL-00001_20170828090000,0,WELL,21378,1.0,1.0,1.0,True,0,0
WELL-00002_20131211220015,0,WELL,10786,1.0,1.0,1.0,True,0,0
WELL-00002_20131212000148,0,WELL,10693,1.0,1.0,1.0,True,0,0
WELL-00002_20131212020000,0,WELL,10754,1.0,1.0,1.0,True,0,0
WELL-00002_20131212040000,0,WELL,10775,1.0,1.0,1.0,True,0,0
WELL-00002_20131212060005,0,WELL,10754,1.0,1.0,1.0,True,0,0
WELL-00002_20131214150127,0,WELL,10714,1.0,1.0,1.0,True,0,0
WELL-00002_20131214170036,0,WELL,10765,1.0,1.0,1.0,True,0,0
WELL-00002_20131214190030,0,WELL,10771,1.0,1.0,1.0,True,0,0
WELL-00002_20170209110022,0,WELL,21579,1.0,1.0,1.0,True,0,0
WELL-00002_20170209160152,0,WELL,21489,1.0,1.0,1.0,True,0,0
WELL-00002_20170209210033,0,WELL,21568,1.0,1.0,1.0,True,0,0
WELL-00002_20170210020033,0,WELL,21568,1.0,1.0,1.0,True,0,0
WELL-00002_20170210070407,0,WELL,21354,1.0,1.0,1.0,True,0,0
WELL-00002_20170210120152,0,WELL,21489,1.0,1.0,1.0,True,0,0
