dimension,group,instances,min,p25,median,mean,p75,max
class,0,594,10610,21312.0,21474.0,20468.32154882155,21536.0,143231
class,1,128,14400,45599.0,74400.0,71149.2734375,88799.0,172800
class,2,38,7225,10388.25,18753.5,19415.394736842107,28799.0,30601
class,3,106,12999,21559.0,61999.0,46691.311320754714,61999.0,69999
class,4,343,10568,10725.0,10759.0,10757.093294460641,10778.0,14138
class,5,450,5215,29299.0,29299.0,29559.282222222224,29299.0,150456
class,6,221,5604,26999.0,26999.0,26616.592760180996,26999.0,27970
class,7,46,24990,99827.5,178277.0,223568.58695652173,345601.0,768314
class,8,95,26999,26999.0,26999.0,73641.63157894737,26999.0,722192
class,9,207,7144,31199.0,40400.0,45803.02898550725,63599.0,192581
overall,ALL,2228,5215,21342.75,26999.0,34374.91831238779,29299.0,768314
source,DRAWN,20,14400,43200.0,86400.0,148320.5,345601.0,345601
source,SIMULATED,1089,12999,26999.0,29299.0,37418.41873278237,34799.0,88800
source,WELL,1119,5215,10775.0,21354.0,29376.45218945487,21533.0,768314
