condition,target,original_class,precision,recall,f1,support
PROCESS_ONLY,0,0,0.8932996537682643,0.8290573244545941,0.859980399247415,98963
PROCESS_ONLY,1,2,0.5415549597855228,0.6601307189542484,0.5949926362297496,306
PROCESS_ONLY,2,4,0.0,0.0,0.0,8170
PROCESS_ONLY,3,7,0.0,0.0,0.0,1227
PROCESS_ONLY,4,8,0.8964354339045527,0.8657451240295398,0.8808230262397411,26405
PROCESS_ONLY,5,9,0.11437747035573123,0.5578313253012048,0.1898318983189832,830
PROCESS_PLUS_MASK,0,0,0.8417840896482858,0.5366551135272779,0.6554481839386871,98963
PROCESS_PLUS_MASK,1,2,0.6426332288401254,0.6699346405228758,0.656,306
PROCESS_PLUS_MASK,2,4,0.0,0.0,0.0,8170
PROCESS_PLUS_MASK,3,7,0.0,0.0,0.0,1227
PROCESS_PLUS_MASK,4,8,0.8920975965040058,0.9277409581518652,0.9095702218509236,26405
PROCESS_PLUS_MASK,5,9,0.029693725099601595,0.5746987951807229,0.05646975257487866,830
