dataset,proxy,scope,score,between,within,groups,samples
3W,shift_demand,overall,0.3948638256228093,,,20,12155
3W,shift_demand,normal,0.8056655868700752,0.21354616685453603,0.26505558923440486,20,4000
3W,shift_demand,early,0.17554539514894496,0.3380736478901942,1.9258474288270184,11,7384
3W,shift_demand,mature,0.3640470235864291,4.556210977595567,12.515446308857143,10,771
TEP,shift_demand,overall,0.39064527116743364,,,248,6704
TEP,shift_demand,normal,0.08980026971185069,0.05483190527743315,0.6105984475691095,128,3584
TEP,shift_demand,early,1.4994967849462166,0.6844508392569921,0.4564536890821292,120,480
TEP,shift_demand,mature,0.5974557857897796,0.4922939826863558,0.8239839572981834,120,2640
3W,difficulty_demand,overall,0.9768308246834604,0.014621329135716248,0.6164468438110985,20,12155
3W,difficulty_demand,normal_fault,0.9768308246834604,0.014621329135716248,0.6164468438110985,20,12155
3W,difficulty_demand,normal_early,0.9745685404441569,0.014358376381965991,0.5502327494404455,20,11384
TEP,difficulty_demand,overall,0.9678373258356006,0.03261366134503738,0.9814084059215282,248,6704
TEP,difficulty_demand,normal_fault,0.9678373258356006,0.03261366134503738,0.9814084059215282,248,6704
TEP,difficulty_demand,normal_early,0.910866926560149,0.08837963863167703,0.9031674405928323,248,4064
