dataset,rho,reference_rho,seed,delta_macro_f1,delta_auprc,delta_far,delta_early_recall,delta_detection_delay
3W,0.25,1.0,42,0.007393968271644791,0.01821036832753742,0.004956497880212074,-0.014588174541698917,-239.02777777777783
3W,0.25,1.0,43,-0.0011287357761288197,-0.03954747886944476,-0.0003363337847286929,0.0006454944487477299,-28.444444444444798
3W,0.25,1.0,44,-0.07262387503308604,-0.10200617890763586,0.016860943681792806,-0.20475083914278336,-14.222222222222229
3W,0.5,1.0,42,0.007961789745685122,-0.013082537503507852,0.0,-0.02995094242189522,-8.0
3W,0.5,1.0,43,-0.00022209774330217424,-0.0027387679398963582,7.080711257445582e-05,-0.0010327911179963678,17.77777777777783
3W,0.5,1.0,44,-0.03857303881991586,-0.14530170586977187,0.016338741226556208,-0.04802478698683188,3.5555555555555713
TEP,0.25,1.0,7,0.05149851186667198,0.01365790463612171,0.012276785714285712,0.16249999999999998,-31.19999999999999
TEP,0.25,1.0,42,0.0502046026491042,0.011211246770174488,-0.029017857142857137,0.050000000000000044,-19.599999999999994
TEP,0.25,1.0,2026,0.08553473019701452,0.03076227123279618,0.0234375,0.23750000000000004,-18.685714285714297
TEP,0.5,1.0,7,0.050471978544735174,0.013550947877038144,0.010044642857142856,0.16249999999999998,-31.19999999999999
TEP,0.5,1.0,42,0.04968199428280451,0.011109509341871604,-0.027901785714285705,0.04375000000000007,-19.19999999999999
TEP,0.5,1.0,2026,0.08605276046544164,0.030774502395719217,0.0234375,0.24375000000000002,-21.485714285714295
