dataset,rho,seed,macro_f1,auprc,far,early_recall,detection_delay,effective_total_budget,critical_budget,noncritical_budget,budget_absolute_error,allocation_max_error,mask_sha256,evaluation_split,test_metrics_read,training
3W,0.0,42,0.3154453967563408,0.5967121656286116,0.43208270270748694,0.8592822101729926,1899.25,0.0,0.0,0.0,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,0.25,42,0.3499636650588828,0.6470028280449565,0.34751245762636856,0.8390136844823135,1716.2222222222222,0.004493410233408213,0.0029865573160350323,0.005140051711350679,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,0.25,43,0.5362920382895364,0.6446380228576509,0.288618641742563,0.8883294603666408,2142.8888888888887,0.004493410233408213,0.0029865573160350323,0.005140051711350679,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,0.25,44,0.41893579838963607,0.5916347903977606,0.2894152217590257,0.7499354505551252,144.66666666666666,0.004493410233408213,0.0029865573160350323,0.005140051711350679,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,0.5,42,0.35053148653292315,0.6157099222139112,0.3425559597461565,0.8236509166021172,1947.25,0.008986820466816425,0.0059731146320700645,0.010280103422701359,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,0.5,43,0.5371986763223631,0.6814467337871993,0.28902578263986617,0.8866511747998967,2189.1111111111113,0.008986820466816425,0.0059731146320700645,0.010280103422701359,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,0.5,44,0.45298663460280625,0.5483392634356246,0.2888930193037891,0.9066615027110767,162.44444444444446,0.008986820466816425,0.0059731146320700645,0.010280103422701359,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,0.75,42,0.3143530182156539,0.6159729911019076,0.43729587637078143,0.8730957913761942,1670.0,0.01348023023456335,0.00895967148244381,0.015420155599713326,0.0,5.960464477539063e-08,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,new_training
3W,1.0,42,0.34256969678723803,0.628792459717419,0.3425559597461565,0.8536018590240124,1955.25,0.01797364093363285,0.011946229264140129,0.020560206845402718,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,reused_validation_reference
3W,1.0,43,0.5374207740656652,0.6841855017270957,0.2889549755272917,0.8876839659178931,2171.3333333333335,0.01797364093363285,0.011946229264140129,0.020560206845402718,0.0,0.0,91a2176df9de718bcac6f44f297061960eb3c7adf087272e1d56e633f7c2c3ec,validation,False,reused_validation_reference
