dataset,seed,metric,r1,cdvs,delta
3W,42,macro_f1,0.5008371153151577,0.4762445268390671,-0.024592588476090638
3W,42,auprc_fault_vs_normal,0.7838617077000614,0.7734188164729036,-0.010442891227157802
3W,42,far,0.3444746907411874,0.4376830570965852,0.09320836635539781
3W,42,early_recall,0.8967253699431722,0.9058684521465143,0.009143082203342145
3W,42,mean_detection_delay_seconds,916.1363636363636,283.40909090909093,-632.7272727272727
TEP,7,macro_f1,0.8919923795476893,0.8913159818399201,-0.0006763977077691719
TEP,7,auprc,0.9316358253276307,0.9314951292826721,-0.00014069604495858812
TEP,7,far,0.0296875,0.030859375,0.0011718750000000028
TEP,7,fault_recall,0.7978723404255319,0.7978723404255319,0.0
TEP,7,early_recall,0.79375,0.79375,0.0
TEP,7,delay_samples,103.0,103.0,0.0
