dataset,channel,frequency_bin,unsafe_rate,safe_prob,valid_support
3W,0,0,0.54545456,0.45454547,11
3W,0,1,0.18181819,0.8181818,11
3W,0,2,0.18181819,0.8181818,11
3W,0,3,0.18181819,0.8181818,11
3W,0,4,0.18181819,0.8181818,11
3W,0,5,0.18181819,0.8181818,11
3W,0,6,0.18181819,0.8181818,11
3W,0,7,0.18181819,0.8181818,11
3W,0,8,0.09090909,0.90909094,11
3W,0,9,0.18181819,0.8181818,11
3W,0,10,0.0,1.0,11
3W,0,11,0.18181819,0.8181818,11
3W,0,12,0.18181819,0.8181818,11
3W,0,13,0.18181819,0.8181818,11
3W,0,14,0.18181819,0.8181818,11
3W,0,15,0.0,1.0,11
3W,0,16,0.18181819,0.8181818,11
3W,0,17,0.18181819,0.8181818,11
3W,0,18,0.0,1.0,11
3W,0,19,0.18181819,0.8181818,11
3W,0,20,0.09090909,0.90909094,11
3W,0,21,0.18181819,0.8181818,11
3W,0,22,0.09090909,0.90909094,11
3W,0,23,0.18181819,0.8181818,11
3W,0,24,0.18181819,0.8181818,11
3W,0,25,0.18181819,0.8181818,11
3W,0,26,0.18181819,0.8181818,11
3W,0,27,0.18181819,0.8181818,11
3W,0,28,0.18181819,0.8181818,11
3W,0,29,0.18181819,0.8181818,11
3W,0,30,0.09090909,0.90909094,11
3W,0,31,0.0,1.0,11
3W,0,32,0.09090909,0.90909094,11
3W,1,0,0.6363636,0.36363637,11
3W,1,1,0.18181819,0.8181818,11
3W,1,2,0.27272728,0.72727275,11
3W,1,3,0.27272728,0.72727275,11
3W,1,4,0.27272728,0.72727275,11
3W,1,5,0.18181819,0.8181818,11
3W,1,6,0.27272728,0.72727275,11
3W,1,7,0.27272728,0.72727275,11
3W,1,8,0.09090909,0.90909094,11
3W,1,9,0.18181819,0.8181818,11
3W,1,10,0.18181819,0.8181818,11
3W,1,11,0.27272728,0.72727275,11
3W,1,12,0.27272728,0.72727275,11
3W,1,13,0.18181819,0.8181818,11
3W,1,14,0.09090909,0.90909094,11
3W,1,15,0.18181819,0.8181818,11
3W,1,16,0.18181819,0.8181818,11
3W,1,17,0.18181819,0.8181818,11
3W,1,18,0.18181819,0.8181818,11
3W,1,19,0.18181819,0.8181818,11
3W,1,20,0.18181819,0.8181818,11
3W,1,21,0.27272728,0.72727275,11
3W,1,22,0.27272728,0.72727275,11
3W,1,23,0.27272728,0.72727275,11
3W,1,24,0.18181819,0.8181818,11
3W,1,25,0.18181819,0.8181818,11
3W,1,26,0.0,1.0,11
3W,1,27,0.18181819,0.8181818,11
3W,1,28,0.09090909,0.90909094,11
3W,1,29,0.18181819,0.8181818,11
3W,1,30,0.09090909,0.90909094,11
3W,1,31,0.27272728,0.72727275,11
3W,1,32,0.18181819,0.8181818,11
3W,2,0,0.36363637,0.6363636,11
3W,2,1,0.0,1.0,11
3W,2,2,0.0,1.0,11
3W,2,3,0.0,1.0,11
3W,2,4,0.0,1.0,11
3W,2,5,0.0,1.0,11
3W,2,6,0.0,1.0,11
3W,2,7,0.0,1.0,11
3W,2,8,0.0,1.0,11
3W,2,9,0.0,1.0,11
3W,2,10,0.0,1.0,11
3W,2,11,0.0,1.0,11
3W,2,12,0.0,1.0,11
3W,2,13,0.0,1.0,11
3W,2,14,0.0,1.0,11
3W,2,15,0.0,1.0,11
3W,2,16,0.0,1.0,11
3W,2,17,0.0,1.0,11
3W,2,18,0.0,1.0,11
3W,2,19,0.0,1.0,11
3W,2,20,0.0,1.0,11
3W,2,21,0.0,1.0,11
3W,2,22,0.0,1.0,11
3W,2,23,0.0,1.0,11
3W,2,24,0.0,1.0,11
3W,2,25,0.0,1.0,11
3W,2,26,0.0,1.0,11
3W,2,27,0.0,1.0,11
3W,2,28,0.0,1.0,11
3W,2,29,0.0,1.0,11
3W,2,30,0.0,1.0,11
3W,2,31,0.0,1.0,11
3W,2,32,0.0,1.0,11
3W,3,0,0.0,1.0,11
3W,3,1,0.09090909,0.90909094,11
3W,3,2,0.09090909,0.90909094,11
3W,3,3,0.09090909,0.90909094,11
3W,3,4,0.09090909,0.90909094,11
3W,3,5,0.09090909,0.90909094,11
3W,3,6,0.09090909,0.90909094,11
3W,3,7,0.09090909,0.90909094,11
3W,3,8,0.0,1.0,11
3W,3,9,0.09090909,0.90909094,11
3W,3,10,0.09090909,0.90909094,11
3W,3,11,0.09090909,0.90909094,11
3W,3,12,0.09090909,0.90909094,11
3W,3,13,0.09090909,0.90909094,11
3W,3,14,0.09090909,0.90909094,11
3W,3,15,0.09090909,0.90909094,11
3W,3,16,0.0,1.0,11
3W,3,17,0.09090909,0.90909094,11
3W,3,18,0.09090909,0.90909094,11
3W,3,19,0.09090909,0.90909094,11
3W,3,20,0.09090909,0.90909094,11
3W,3,21,0.09090909,0.90909094,11
3W,3,22,0.09090909,0.90909094,11
3W,3,23,0.09090909,0.90909094,11
3W,3,24,0.0,1.0,11
3W,3,25,0.09090909,0.90909094,11
3W,3,26,0.09090909,0.90909094,11
3W,3,27,0.09090909,0.90909094,11
3W,3,28,0.09090909,0.90909094,11
3W,3,29,0.09090909,0.90909094,11
