dataset,delta_auprc,delta_detection_delay,delta_early_recall,delta_far,delta_macro_f1,method,reference,rho,seed,stage
3W,0.02150200553696391,267.4722222222222,-0.004647560030983655,-0.0946956621792659,0.008361943639529357,,0.0,1.0,42,validation
3W,0.05296480759786526,213.33333333333348,-0.009811515620965605,0.0003186320065850512,0.0318714447436903,,0.0,1.0,43,validation
3W,0.11949189268723537,110.22222222222223,-0.02130131680867542,-0.44625297611145043,0.2830933941841001,,0.0,1.0,44,validation
3W,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,42,validation
3W,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,43,validation
3W,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,44,validation
TEP,0.00035246711568692746,-3.1999999999999886,0.03749999999999998,-0.01116071428571428,0.01040990338846104,,0.0,0.75,7,validation
TEP,-1.0096711295926042e-05,0.0,0.0,0.0011160714285714246,-4.6515226290733125e-06,,0.0,0.75,42,validation
TEP,-0.00014464875488229278,0.0,0.0,0.008928571428571432,-0.0005589910919225893,,0.0,0.75,2026,validation
TEP,0.013620623822689026,-31.19999999999999,0.16249999999999998,0.010044642857142856,0.050990021705769495,,1.0,0.75,7,validation
TEP,0.011221084653296964,-19.599999999999994,0.050000000000000044,-0.024553571428571425,0.05122242375784902,,1.0,0.75,42,validation
TEP,0.03081021552937835,-21.485714285714295,0.24375000000000002,0.02455357142857143,0.08760199828652637,,1.0,0.75,2026,validation
3W,0.0,,0.0,0.0,0.0,DCBR,FINAL_QDIFFCL,,42,locked_test
3W,0.0,,0.0,0.0,0.0,DCBR,FINAL_QDIFFCL,,43,locked_test
3W,0.0,,0.0,0.0,0.0,DCBR,FINAL_QDIFFCL,,44,locked_test
3W,0.0,,0.0,0.0,0.0,DCBR,FINAL_QDIFFCL,,45,locked_test
3W,0.0,,0.0,0.0,0.0,DCBR,FINAL_QDIFFCL,,46,locked_test
3W,0.02779363645344668,,-0.011506217295898291,-0.001378312256641756,-0.0014850200726700402,DCBR,JITTER_SCALING,,42,locked_test
3W,-0.007217294954782072,,0.03193045631013336,0.03145997725784777,-0.002520600149869656,DCBR,JITTER_SCALING,,43,locked_test
3W,0.011090537934625888,,0.004079221290721802,-0.04052238034526723,0.007853038373111076,DCBR,JITTER_SCALING,,44,locked_test
3W,-0.014038392050994886,,0.003629100320711176,0.034182143964715195,-0.030730390300054422,DCBR,JITTER_SCALING,,45,locked_test
3W,0.04201895401509381,,0.045884206380464754,0.04345129389063085,0.03981975896136203,DCBR,JITTER_SCALING,,46,locked_test
3W,-0.09271706555128767,,0.012322061554042696,-0.031046483580855266,-0.04361580125674103,DCBR,FRERA,,42,locked_test
3W,-0.0010730786906499867,,-0.013081640690935759,-0.03114985700010342,-0.03676067907540137,DCBR,FRERA,,43,locked_test
3W,-0.005452818654875902,,-0.022224722894277904,0.06905344405775127,-0.014136715670449718,DCBR,FRERA,,44,locked_test
3W,0.03966172689895131,,-0.08870196365273175,-0.12253195961545088,0.10199042683409365,DCBR,FRERA,,45,locked_test
3W,0.014480607981036897,,0.05702470038822938,0.07659970366286478,0.009144154076828226,DCBR,FRERA,,46,locked_test
TEP,0.006225208383493497,,0.006250000000000089,-0.011328125000000001,0.013486742275933716,DCBR,FINAL_QDIFFCL,,7,locked_test
TEP,0.008279482463693921,,0.006249999999999978,-0.028515625000000003,0.01470596106307509,DCBR,FINAL_QDIFFCL,,42,locked_test
TEP,0.004315979307704665,,0.043749999999999956,0.009375000000000001,0.004984862831147074,DCBR,FINAL_QDIFFCL,,43,locked_test
TEP,0.004743258761470415,,0.012500000000000067,0.0011718749999999993,0.004999270600584138,DCBR,FINAL_QDIFFCL,,44,locked_test
TEP,0.017947451188601415,,0.07499999999999996,0.004687500000000001,0.02221119085650547,DCBR,FINAL_QDIFFCL,,2026,locked_test
TEP,-0.0007970414102680401,,-0.02499999999999991,-0.0023437499999999986,0.0016070914536607805,DCBR,SCALING,,7,locked_test
TEP,0.0009499698335798668,,0.006249999999999978,0.008203124999999999,-0.0030284980784358595,DCBR,SCALING,,42,locked_test
TEP,0.0001271112946890085,,0.012499999999999956,-0.0007812499999999972,0.0004529104148680574,DCBR,SCALING,,43,locked_test
TEP,0.000769252611430904,,-0.012499999999999956,0.01640625,-0.0068077447643688505,DCBR,SCALING,,44,locked_test
TEP,-0.0016769688044804276,,0.012499999999999956,0.012890625,-0.004527329897458077,DCBR,SCALING,,2026,locked_test
TEP,0.008101065823343245,,0.05625000000000002,0.0007812500000000007,0.0057360012289418005,DCBR,FRERA,,7,locked_test
TEP,0.00345023048956572,,0.018749999999999933,0.0011718749999999993,-0.0038823531148575174,DCBR,FRERA,,42,locked_test
TEP,0.02462618911306802,,0.11249999999999993,-0.0031249999999999993,0.031367535104964595,DCBR,FRERA,,43,locked_test
TEP,0.009924252339359674,,0.006249999999999978,0.0027343750000000007,0.010555157830421824,DCBR,FRERA,,44,locked_test
TEP,0.022575020654376,,0.08750000000000002,0.001562499999999998,0.03085712904556437,DCBR,FRERA,,2026,locked_test
