dataset,seed,method,operating_point,target_far,threshold,observed_far,fault_recall,early_recall,delay,detected_rate
3W,42,R1,far_1pct,0.01,0.9731361269950867,0.03183901312842424,0.3515528616638953,0.35756484555224216,7894.25,
3W,42,R1,far_5pct,0.05,0.6620194315910339,0.32869301540263945,0.7580861449337553,0.7577786530129973,457.95454545454544,
3W,42,DRFD,far_1pct,0.01,0.9866634011268616,0.02908238861514076,0.2872391782438449,0.2927755584313284,10518.666666666666,
3W,42,DRFD,far_5pct,0.05,0.6308259963989258,0.4385100444505703,0.8258059325215898,0.8238057728014404,1170.6818181818182,
3W,43,R1,far_1pct,0.01,0.9062595963478088,0.08786740636091106,0.6399721074934291,0.6510999831204636,4820.0,
3W,43,R1,far_5pct,0.05,0.7182646989822388,0.43744185245167294,0.8616907150136781,0.8635289484048838,874.5333333333333,
3W,43,DRFD,far_1pct,0.01,0.9219041466712952,0.08586885358878053,0.5937885533444188,0.6028245090868171,6217.333333333333,
3W,43,DRFD,far_5pct,0.05,0.7397404909133911,0.4317218565866097,0.8323767633964491,0.8355089180217183,1034.3846153846155,
3W,44,R1,far_1pct,0.01,0.7436891198158264,0.03159780848351194,0.06914123263423269,0.052917346536881786,1897.3125,
3W,44,R1,far_5pct,0.05,0.7381008267402649,0.20726370559250198,0.10947808829051119,0.08510099589264615,1335.0,
3W,44,DRFD,far_1pct,0.01,0.8450891375541687,0.1023741428620654,0.7915035133830393,0.8016091824677882,1543.4444444444443,
3W,44,DRFD,far_5pct,0.05,0.7387873530387878,0.24799283277626546,0.8079440004291155,0.8179542001913014,457.95454545454544,
TEP,7,R1,far_1pct,0.01,0.47878801822662354,0.006640625,0.7606382978723404,0.75625,115.23529411764706,0.85
TEP,7,R1,far_5pct,0.05,0.4695250391960144,0.03671875,0.801595744680851,0.79375,103.0,0.85
TEP,7,DRFD,far_1pct,0.01,0.4186681807041168,0.008984375,0.7638297872340426,0.7625,106.29411764705883,0.85
TEP,7,DRFD,far_5pct,0.05,0.39873263239860535,0.04921875,0.8191489361702128,0.825,101.4,0.875
TEP,42,R1,far_1pct,0.01,0.408136248588562,0.004296875,0.7601063829787233,0.71875,119.47058823529412,0.85
TEP,42,R1,far_5pct,0.05,0.38562339544296265,0.039453125,0.8074468085106383,0.775,121.97142857142858,0.875
TEP,42,DRFD,far_1pct,0.01,0.40029576420783997,0.00390625,0.7563829787234042,0.71875,119.94117647058823,0.85
TEP,42,DRFD,far_5pct,0.05,0.3737487196922302,0.03671875,0.8069148936170213,0.775,121.97142857142858,0.875
TEP,2026,R1,far_1pct,0.01,0.5389870405197144,0.00546875,0.7122340425531914,0.66875,138.2941176470588,0.85
TEP,2026,R1,far_5pct,0.05,0.5312607288360596,0.034375,0.7808510638297872,0.7375,115.70588235294117,0.85
TEP,2026,DRFD,far_1pct,0.01,0.5391086339950562,0.00546875,0.7122340425531914,0.675,138.2941176470588,0.85
TEP,2026,DRFD,far_5pct,0.05,0.531402587890625,0.034375,0.7803191489361702,0.7375,115.70588235294117,0.85
