dataset,seed,metric,r1,drfd,delta
3W,42,macro_f1,0.5008371153151577,0.4996514154105817,-0.0011856999045760097
3W,42,far,0.3444746907411874,0.33713517797457015,-0.007339512766617262
3W,42,auprc_fault_vs_normal,0.7838617077000614,0.77656907504145,-0.007292632658611353
3W,42,early_recall,0.8967253699431722,0.892927474258707,-0.0037978956844652023
3W,42,mean_detection_delay_seconds,916.1363636363636,985.9545454545455,69.81818181818187
3W,42,class9_recall,0.009655172413793104,0.008735632183908045,-0.0009195402298850588
3W,42,class9_f1,0.014208389715832206,0.011617242433506572,-0.0025911472823256336
3W,43,macro_f1,0.5532419021219296,0.5388299816203896,-0.014411920501539943
3W,43,far,0.4974673512284208,0.4893697667206506,-0.008097584507770206
3W,43,auprc_fault_vs_normal,0.8851405744253638,0.8805674110871606,-0.004573163338203123
3W,43,early_recall,0.942609576323637,0.9319754684071344,-0.010634107916502544
3W,43,mean_detection_delay_seconds,337.2857142857143,364.7142857142857,27.428571428571445
3W,43,class9_recall,0.5006896551724138,0.3448275862068966,-0.15586206896551724
3W,43,class9_f1,0.10919482603028176,0.07743134420813545,-0.031763481822146306
3W,44,macro_f1,0.4061375063702775,0.49079443163074904,0.08465692526047153
3W,44,far,0.31373832741807656,0.33468867371903105,0.020950346300954492
3W,44,auprc_fault_vs_normal,0.46829889283078135,0.8954994613878521,0.4272005685570707
3W,44,early_recall,0.6926799077252012,0.8307545152759804,0.13807460755077927
3W,44,mean_detection_delay_seconds,257.4583333333333,963.9565217391304,706.498188405797
3W,44,class9_recall,0.002758620689655172,0.002758620689655172,0.0
3W,44,class9_f1,0.0008191685439279131,0.0010844026748599313,0.0002652341309320182
TEP,7,macro_f1,0.8919923795476893,0.890260564209568,-0.0017318153381212786
TEP,7,auprc,0.9316358253276307,0.9359385862780363,0.004302760950405604
TEP,7,far,0.0296875,0.047265625,0.017578125
TEP,7,early_recall,0.79375,0.81875,0.025000000000000022
TEP,7,delay_samples,103.0,101.4,-1.5999999999999943
TEP,42,macro_f1,0.886470233092731,0.8866729175213239,0.00020268442859294744
TEP,42,auprc,0.931524460087071,0.931446515750458,-7.79443366130117e-05
TEP,42,far,0.054296875,0.053515625,-0.0007812500000000042
TEP,42,early_recall,0.7875,0.78125,-0.006249999999999978
TEP,42,delay_samples,121.97142857142858,121.97142857142858,0.0
TEP,2026,macro_f1,0.8809769629983866,0.8810042502479886,2.728724960199269e-05
TEP,2026,auprc,0.919484986850244,0.9194137011022777,-7.128574796633202e-05
TEP,2026,far,0.021875,0.022265625,0.0003906250000000021
TEP,2026,early_recall,0.7375,0.7375,0.0
TEP,2026,delay_samples,126.05882352941177,126.05882352941177,0.0
