dataset,channel,frequency_bin,domain_score,domain_mask,fault_mask,quadrant
3W,0,0,0.9959290623664856,0.9889655113220215,0.36442673206329346,fault_low_domain_high
3W,0,1,0.6887729167938232,0.9724137783050537,0.34006267786026,fault_low_domain_high
3W,0,2,0.5158056616783142,0.8399999737739563,0.3768848180770874,fault_low_domain_high
3W,0,3,0.46962210536003113,0.7806896567344666,0.37819820642471313,fault_low_domain_high
3W,0,4,0.46924448013305664,0.7793103456497192,0.3783709406852722,fault_low_domain_high
3W,0,5,0.4644854664802551,0.7724137902259827,0.37896284461021423,fault_low_domain_high
3W,0,6,0.4474928081035614,0.7627586126327515,0.3838536739349365,fault_low_domain_high
3W,0,7,0.4478323757648468,0.7641379237174988,0.38440796732902527,fault_low_domain_high
3W,0,8,0.450949102640152,0.7668965458869934,0.3893374800682068,fault_low_domain_high
3W,0,9,0.46065258979797363,0.7710344791412354,0.385694682598114,fault_low_domain_high
3W,0,10,0.4447714686393738,0.7613793015480042,0.36997708678245544,fault_low_domain_high
3W,0,11,0.45180901885032654,0.7682758569717407,0.3865639567375183,fault_low_domain_high
3W,0,12,0.43363654613494873,0.7379310131072998,0.39306432008743286,fault_low_domain_high
3W,0,13,0.44210413098335266,0.7572413682937622,0.38737812638282776,fault_low_domain_high
3W,0,14,0.44428932666778564,0.7599999904632568,0.38399258255958557,fault_low_domain_high
3W,0,15,0.43982386589050293,0.751724123954773,0.38493722677230835,fault_low_domain_high
3W,0,16,0.4382270872592926,0.7489655017852783,0.3910444378852844,fault_low_domain_high
3W,0,17,0.4386058449745178,0.7503448128700256,0.3853205144405365,fault_low_domain_high
3W,0,18,0.4346493184566498,0.7406896352767944,0.3942876160144806,fault_low_domain_high
3W,0,19,0.4377661347389221,0.7462068796157837,0.3879348635673523,fault_low_domain_high
3W,0,20,0.43113812804222107,0.7310344576835632,0.3767823278903961,fault_low_domain_high
3W,0,21,0.4336605966091156,0.7393103241920471,0.3880050778388977,fault_low_domain_high
3W,0,22,0.4332978427410126,0.7365517020225525,0.3926010727882385,fault_low_domain_high
3W,0,23,0.4318561255931854,0.7324137687683105,0.3882339894771576,fault_low_domain_high
3W,0,24,0.4328470230102539,0.7337930798530579,0.38182082772254944,fault_low_domain_high
3W,0,25,0.4329700469970703,0.7351723909378052,0.38612666726112366,fault_low_domain_high
3W,0,26,0.43647247552871704,0.7434482574462891,0.3921074867248535,fault_low_domain_high
3W,0,27,0.44273674488067627,0.7586206793785095,0.3831062614917755,fault_low_domain_high
3W,0,28,0.436814546585083,0.7448275685310364,0.39313846826553345,fault_low_domain_high
3W,0,29,0.43783238530158997,0.747586190700531,0.38755887746810913,fault_low_domain_high
3W,0,30,0.4408273696899414,0.7544827461242676,0.3790220022201538,fault_low_domain_high
3W,0,31,0.44048231840133667,0.7531034350395203,0.38865572214126587,fault_low_domain_high
