fault,seed,early_recall_delta,delay_delta
1,7,0.0,0.0
1,42,0.0,0.0
1,2026,0.0,0.0
2,7,0.0,0.0
2,42,0.0,0.0
2,2026,0.0,0.0
3,7,0.0,
3,42,0.0,0.0
3,2026,0.0,
4,7,0.0,0.0
4,42,0.0,0.0
4,2026,0.0,0.0
5,7,0.0,0.0
5,42,0.0,0.0
5,2026,0.0,0.0
6,7,0.0,0.0
6,42,0.0,0.0
6,2026,0.0,0.0
7,7,0.0,0.0
7,42,0.0,0.0
7,2026,0.0,0.0
8,7,0.0,0.0
8,42,0.0,0.0
8,2026,0.0,0.0
9,7,0.0,
9,42,-0.125,
9,2026,0.0,
10,7,0.0,-16.0
10,42,0.0,0.0
10,2026,0.0,0.0
11,7,0.0,0.0
11,42,0.0,0.0
11,2026,0.0,0.0
12,7,0.0,0.0
12,42,0.0,0.0
12,2026,0.0,0.0
13,7,0.0,0.0
13,42,0.0,0.0
13,2026,0.0,0.0
14,7,0.0,0.0
14,42,0.0,0.0
14,2026,0.0,0.0
15,7,0.0,
15,42,0.0,
15,2026,0.0,
16,7,0.0,0.0
16,42,0.0,0.0
16,2026,0.0,0.0
17,7,0.0,0.0
17,42,0.0,0.0
17,2026,0.0,0.0
18,7,0.0,0.0
18,42,0.0,0.0
18,2026,0.0,0.0
19,7,0.0,0.0
19,42,0.0,0.0
19,2026,0.0,0.0
20,7,0.0,0.0
20,42,0.0,0.0
20,2026,0.0,0.0
