dataset,seed,method,horizon,windows,recall,run_detection_rate,run_count
3W,42,UNIFORM,1,24,0.2916666666666667,0.2916666666666667,24
3W,42,UNIFORM,2,24,0.2916666666666667,0.2916666666666667,24
3W,42,UNIFORM,3,24,0.3333333333333333,0.3333333333333333,24
3W,42,UNIFORM,4,24,0.375,0.375,24
3W,42,UNIFORM,5,23,0.34782608695652173,0.34782608695652173,23
3W,42,UNIFORM,6,23,0.34782608695652173,0.34782608695652173,23
3W,42,UNIFORM,7,23,0.5217391304347826,0.5217391304347826,23
3W,42,UNIFORM,8,23,0.6086956521739131,0.6086956521739131,23
3W,42,R1,1,24,0.2916666666666667,0.2916666666666667,24
3W,42,R1,2,24,0.3333333333333333,0.3333333333333333,24
3W,42,R1,3,24,0.375,0.375,24
3W,42,R1,4,24,0.4166666666666667,0.4166666666666667,24
3W,42,R1,5,23,0.5217391304347826,0.5217391304347826,23
3W,42,R1,6,23,0.6521739130434783,0.6521739130434783,23
3W,42,R1,7,23,0.782608695652174,0.782608695652174,23
3W,42,R1,8,23,0.782608695652174,0.782608695652174,23
3W,42,EWIC,1,24,0.375,0.375,24
3W,42,EWIC,2,24,0.375,0.375,24
3W,42,EWIC,3,24,0.4166666666666667,0.4166666666666667,24
3W,42,EWIC,4,24,0.4583333333333333,0.4583333333333333,24
3W,42,EWIC,5,23,0.43478260869565216,0.43478260869565216,23
3W,42,EWIC,6,23,0.6956521739130435,0.6956521739130435,23
3W,42,EWIC,7,23,0.8260869565217391,0.8260869565217391,23
3W,42,EWIC,8,23,0.8260869565217391,0.8260869565217391,23
3W,43,UNIFORM,1,24,0.3333333333333333,0.3333333333333333,24
3W,43,UNIFORM,2,24,0.3333333333333333,0.3333333333333333,24
3W,43,UNIFORM,3,24,0.3333333333333333,0.3333333333333333,24
3W,43,UNIFORM,4,24,0.2916666666666667,0.2916666666666667,24
3W,43,UNIFORM,5,23,0.30434782608695654,0.30434782608695654,23
3W,43,UNIFORM,6,23,0.30434782608695654,0.30434782608695654,23
3W,43,UNIFORM,7,23,0.34782608695652173,0.34782608695652173,23
3W,43,UNIFORM,8,23,0.34782608695652173,0.34782608695652173,23
3W,43,R1,1,24,0.3333333333333333,0.3333333333333333,24
3W,43,R1,2,24,0.3333333333333333,0.3333333333333333,24
3W,43,R1,3,24,0.3333333333333333,0.3333333333333333,24
3W,43,R1,4,24,0.375,0.375,24
3W,43,R1,5,23,0.34782608695652173,0.34782608695652173,23
3W,43,R1,6,23,0.34782608695652173,0.34782608695652173,23
3W,43,R1,7,23,0.391304347826087,0.391304347826087,23
3W,43,R1,8,23,0.391304347826087,0.391304347826087,23
3W,43,EWIC,1,24,0.3333333333333333,0.3333333333333333,24
3W,43,EWIC,2,24,0.3333333333333333,0.3333333333333333,24
3W,43,EWIC,3,24,0.3333333333333333,0.3333333333333333,24
3W,43,EWIC,4,24,0.375,0.375,24
3W,43,EWIC,5,23,0.34782608695652173,0.34782608695652173,23
3W,43,EWIC,6,23,0.34782608695652173,0.34782608695652173,23
3W,43,EWIC,7,23,0.34782608695652173,0.34782608695652173,23
3W,43,EWIC,8,23,0.391304347826087,0.391304347826087,23
