dataset,method,reference,seed,delta_macro_f1,delta_auprc,delta_far,delta_fault_recall,delta_early_recall,delta_detection_delay
3W,UNIFORM_DIFFUSION,FINAL_QDIFFCL,42,-0.028144012566211407,-0.006456398935480556,0.11109196788532444,0.007482701281982473,0.007398863444550652,27.636363636363626
3W,UNIFORM_DIFFUSION,FINAL_QDIFFCL,43,-0.02681730674598215,0.006255977420076109,-0.02174287584852347,-0.02234082497452128,-0.023406290440555866,-30.47619047619048
3W,UNIFORM_DIFFUSION,FINAL_QDIFFCL,44,-0.13891367965760676,-0.18443802301226114,0.13031942386547674,-0.08949739848736793,-0.0982670342654588,20.83712121212119
3W,UNIFORM_DIFFUSION,FINAL_QDIFFCL,45,-0.0017603249717006442,0.007328658007166422,-0.01336962888942489,-0.0018237408142466327,-0.002756990941315429,6.95652173913043
3W,UNIFORM_DIFFUSION,FINAL_QDIFFCL,46,-0.0850818426152169,-0.009031516221210567,-0.018917335722407835,-0.03239821917073438,-0.03395600067518145,-13.714285714285715
3W,JITTER_SCALING,FINAL_QDIFFCL,42,0.0014850200726700402,-0.02779363645344668,0.001378312256641756,0.011425199806897934,0.011506217295898291,-725.8181818181819
3W,JITTER_SCALING,FINAL_QDIFFCL,43,0.002520600149869656,0.007217294954782072,-0.03145997725784777,-0.03070857694577045,-0.03193045631013336,-113.9738095238095
3W,JITTER_SCALING,FINAL_QDIFFCL,44,-0.007853038373111076,-0.011090537934625888,0.04052238034526723,0.0029501689642225104,-0.004079221290721802,685.4802371541501
3W,JITTER_SCALING,FINAL_QDIFFCL,45,0.030730390300054422,0.014038392050994886,-0.034182143964715195,-0.003459743603497323,-0.003629100320711176,211.4782608695652
3W,JITTER_SCALING,FINAL_QDIFFCL,46,-0.03981975896136203,-0.04201895401509381,-0.04345129389063085,-0.052942123048865586,-0.045884206380464754,22.17857142857143
3W,JITTER_SCALING,UNIFORM_DIFFUSION,42,0.029629032638881447,-0.021337237517966123,-0.10971365562868268,0.003942498524915461,0.004107353851347639,-753.4545454545455
3W,JITTER_SCALING,UNIFORM_DIFFUSION,43,0.029337906895851806,0.0009613175347059633,-0.009717101409324302,-0.008367751971249171,-0.008524165869577494,-83.49761904761903
3W,JITTER_SCALING,UNIFORM_DIFFUSION,44,0.13106064128449568,0.17334748507763525,-0.08979704352020951,0.09244756745159044,0.094187812974737,664.643115942029
3W,JITTER_SCALING,UNIFORM_DIFFUSION,45,0.032490715271755066,0.006709734043828464,-0.020812515075290305,-0.00163600278925069,-0.0008721093793957468,204.52173913043478
3W,JITTER_SCALING,UNIFORM_DIFFUSION,46,0.04526208365385487,-0.032987437793883245,-0.024533958168223013,-0.02054390387813121,-0.011928205705283301,35.892857142857146
3W,FRERA,FINAL_QDIFFCL,42,0.04361580125674103,0.09271706555128767,0.031046483580855266,-0.011881135010459731,-0.012322061554042696,-50.90909090909099
3W,FRERA,FINAL_QDIFFCL,43,0.03676067907540137,0.0010730786906499867,0.03114985700010342,0.01252480823901736,0.013081640690935759,-325.95859213250515
3W,FRERA,FINAL_QDIFFCL,44,0.014136715670449718,0.005452818654875902,-0.06905344405775127,0.020919379928123205,0.022224722894277904,81.45454545454544
3W,FRERA,FINAL_QDIFFCL,45,-0.10199042683409365,-0.03966172689895131,0.12253195961545088,0.09443222657297645,0.08870196365273175,-4.173913043478265
3W,FRERA,FINAL_QDIFFCL,46,-0.009144154076828226,-0.014480607981036897,-0.07659970366286478,-0.06324089470578775,-0.05702470038822938,1092.9068322981366
3W,FRERA,UNIFORM_DIFFUSION,42,0.07175981382295243,0.09917346448676823,-0.08004548430446917,-0.019363836292442205,-0.019720924998593348,-78.54545454545462
3W,FRERA,UNIFORM_DIFFUSION,43,0.06357798582138352,-0.005182898729426122,0.05289273284862689,0.03486563321353864,0.036487931131491624,-295.48240165631466
3W,FRERA,UNIFORM_DIFFUSION,44,0.15305039532805648,0.18989084166713704,-0.199372867923228,0.11041677841549113,0.1204917571597367,60.61742424242425
3W,FRERA,UNIFORM_DIFFUSION,45,-0.100230101862393,-0.04699038490611773,0.13590158850487577,0.09625596738722308,0.09145895459404718,-11.130434782608695
3W,FRERA,UNIFORM_DIFFUSION,46,0.07593768853838867,-0.00544909175982633,-0.05768236794045695,-0.030842675535053377,-0.023068699713047924,1106.6211180124224
TEP,UNIFORM_DIFFUSION,FINAL_QDIFFCL,7,-0.0018456168376519422,-7.399221119097632e-05,0.006640624999999997,0.004255319148936176,0.0,0.0
TEP,UNIFORM_DIFFUSION,FINAL_QDIFFCL,42,-0.002636226011528242,-0.0007432543394347846,0.0011718749999999958,-0.004255319148936176,0.0,0.0
TEP,UNIFORM_DIFFUSION,FINAL_QDIFFCL,43,0.00020400101056972098,0.00010334502793962752,-0.0007812500000000007,-0.0005319148936170359,0.0,0.0
TEP,UNIFORM_DIFFUSION,FINAL_QDIFFCL,44,-2.1771498817879653e-05,9.444008534975623e-05,-0.0003906250000000021,-0.0005319148936170359,0.0,0.0
TEP,UNIFORM_DIFFUSION,FINAL_QDIFFCL,2026,2.728724960199269e-05,1.8362872283517184e-05,0.0003906250000000021,0.0005319148936170359,0.0,0.0
TEP,SCALING,FINAL_QDIFFCL,7,0.011879650822272936,0.007022249793761537,-0.008984375000000003,0.014361702127659637,0.03125,-1.1428571428571388
TEP,SCALING,FINAL_QDIFFCL,42,0.01773445914151095,0.0073295126301140545,-0.03671875,-0.007446808510638281,0.0,3.200000000000003
TEP,SCALING,FINAL_QDIFFCL,43,0.004531952416279017,0.004188868013015656,0.010156249999999999,0.022340425531914954,0.03125,-7.058823529411768
TEP,SCALING,FINAL_QDIFFCL,44,0.011807015364952989,0.003974006150039511,-0.015234375000000001,0.006382978723404209,0.025000000000000022,-0.941176470588232
TEP,SCALING,FINAL_QDIFFCL,2026,0.026738520753963546,0.019624419993081843,-0.008203124999999999,0.04680851063829794,0.0625,-20.705882352941174
TEP,SCALING,UNIFORM_DIFFUSION,7,0.013725267659924878,0.007096242004952513,-0.015625,0.01010638297872346,0.03125,-1.1428571428571388
TEP,SCALING,UNIFORM_DIFFUSION,42,0.020370685153039192,0.008072766969548839,-0.037890625,-0.0031914893617021045,0.0,3.200000000000003
TEP,SCALING,UNIFORM_DIFFUSION,43,0.004327951405709296,0.004085522985076029,0.0109375,0.02287234042553199,0.03125,-7.058823529411768
TEP,SCALING,UNIFORM_DIFFUSION,44,0.011828786863770868,0.0038795660646897545,-0.01484375,0.006914893617021245,0.025000000000000022,-0.941176470588232
TEP,SCALING,UNIFORM_DIFFUSION,2026,0.026711233504361553,0.019606057120798326,-0.00859375,0.046276595744680904,0.0625,-20.705882352941174
