dataset,method,seed,macro_f1,auprc,far,fault_recall,early_recall,detection_delay,training_seconds,peak_gpu_mib,training,source
3W,FINAL_QDIFFCL,42,0.5045061387771479,0.522965657319033,0.32765928121015814,0.8883226948452503,0.8945028976537445,937.9545454545455,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,FINAL_QDIFFCL,43,0.5462574455988897,0.6598691709648623,0.4950897625857138,0.9396824545405782,0.9383334271085354,352.5238095238095,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,FINAL_QDIFFCL,44,0.5056010279393156,0.5076676258819053,0.24385789600634022,0.8202006114895671,0.8307263827153547,169.95454545454547,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,FINAL_QDIFFCL,45,0.5887245511352569,0.628518906395845,0.4204886116949795,0.8565949686209301,0.8614190063579586,37.69565217391305,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,FINAL_QDIFFCL,46,0.553058808279891,0.6828756678163646,0.5336825057716825,0.9496862093010782,0.9491081978281664,67.57142857142857,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,FRERA,42,0.5481219400338889,0.6156827228703207,0.3587057647910134,0.8764415598347906,0.8821808360997018,887.0454545454545,65.2430136000039,1789.93505859375,new_training,outputs\external_baselines\3w\seed_42\FRERA\metrics.json
3W,FRERA,43,0.583018124674291,0.6609422496555123,0.5262396195858172,0.9522072627795956,0.9514150677994712,26.565217391304348,62.635679499973776,1836.35302734375,new_training,outputs\external_baselines\3w\seed_43\FRERA\metrics.json
3W,FRERA,44,0.5197377436097653,0.5131204445367812,0.17480445194858896,0.8411199914176903,0.8529511056096326,251.4090909090909,62.76484509999864,1836.35302734375,new_training,outputs\external_baselines\3w\seed_44\FRERA\metrics.json
3W,FRERA,45,0.48673412430116325,0.5888571794968936,0.5430205713104304,0.9510271951939065,0.9501209700106904,33.52173913043478,65.48665429998073,1836.39599609375,new_training,outputs\external_baselines\3w\seed_45\FRERA\metrics.json
3W,FRERA,46,0.5439146542030627,0.6683950598353277,0.45708280210881774,0.8864453145952904,0.892083497439937,1160.4782608695652,67.61456799998996,1836.39599609375,new_training,outputs\external_baselines\3w\seed_46\FRERA\metrics.json
3W,JITTER_SCALING,42,0.5059911588498179,0.4951720208655863,0.3290375934667999,0.8997478946521482,0.9060091149496428,212.13636363636363,66.04458439999144,1786.9716796875,new_training,outputs\external_baselines\3w\seed_42\JITTER_SCALING\metrics.json
3W,JITTER_SCALING,43,0.5487780457487593,0.6670864659196444,0.46362978532786603,0.9089738775948077,0.906402970798402,238.55,64.44819789999747,1833.5576171875,new_training,outputs\external_baselines\3w\seed_43\JITTER_SCALING\metrics.json
3W,JITTER_SCALING,44,0.49774798956620453,0.4965770879472794,0.28438027635160745,0.8231507804537896,0.8266471614246329,855.4347826086956,64.71762630000012,1836.35302734375,new_training,outputs\external_baselines\3w\seed_44\JITTER_SCALING\metrics.json
3W,JITTER_SCALING,45,0.6194549414353113,0.6425572984468398,0.3863064677302643,0.8531352250174328,0.8577899060372475,249.17391304347825,72.16285039999639,1833.5146484375,new_training,outputs\external_baselines\3w\seed_45\JITTER_SCALING\metrics.json
3W,JITTER_SCALING,46,0.5132390493185289,0.6408567138012707,0.4902312118810517,0.8967440862522126,0.9032239914477016,89.75,69.5913384000014,1836.39599609375,new_training,outputs\external_baselines\3w\seed_46\JITTER_SCALING\metrics.json
3W,JITTER,42,0.46722512370013464,0.5131205637921811,0.4765859205402984,0.9022421284128092,0.9088223710122095,44.86363636363637,73.51580699998885,1786.9716796875,new_training,outputs\external_baselines\3w\seed_42\JITTER\metrics.json
3W,JITTER,43,0.5478647114174722,0.6668826143172886,0.4637331587471142,0.8994260580378695,0.8963877792156643,222.55,66.81466549998731,1833.5146484375,new_training,outputs\external_baselines\3w\seed_43\JITTER\metrics.json
3W,JITTER,44,0.4973178722977254,0.5698521826300095,0.2724923331380724,0.835863326717803,0.8471557981207449,2216.125,63.88561700002174,1836.35302734375,new_training,outputs\external_baselines\3w\seed_44\JITTER\metrics.json
3W,NO_AUG,42,0.4805820693923062,0.5286006396980205,0.43944040522380345,0.9060237086305852,0.9056996567827603,937.9545454545455,,,reused_existing,outputs\3w_diffusion_1seed_seed42\result.json
3W,NO_AUG,43,0.5434766650280944,0.6581473578167992,0.4945384376830571,0.941747572815534,0.9404996342767119,315.95238095238096,,,reused_existing,outputs\3w_diffusion_3seed\seed_43\result.json
3W,NO_AUG,44,0.26561206766432416,0.2903365476944526,0.3086385720685021,0.49592340288580167,0.4823608844877061,98.79166666666667,,,reused_existing,outputs\3w_diffusion_3seed\seed_44\result.json
3W,SCALING,42,0.4663070752664243,0.5290692242214871,0.48203025395403326,0.9058627903234457,0.912338941090418,55.04545454545455,66.49276500000269,1786.9716796875,new_training,outputs\external_baselines\3w\seed_42\SCALING\metrics.json
3W,SCALING,43,0.5018166460607902,0.6668146830220668,0.48754350298060023,0.9354985785549536,0.9339447476509312,261.0952380952381,63.36331699998118,1833.5576171875,new_training,outputs\external_baselines\3w\seed_43\SCALING\metrics.json
3W,SCALING,44,0.47981477817503965,0.5050584312029687,0.38389442128114126,0.8980850721450411,0.9041523659483486,14.791666666666666,63.78585019998718,1836.35302734375,new_training,outputs\external_baselines\3w\seed_44\SCALING\metrics.json
3W,UNIFORM_DIFFUSION,42,0.4763621262109365,0.5165092583835524,0.4387512490954826,0.8958053961272328,0.9019017610982951,965.5909090909091,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,UNIFORM_DIFFUSION,43,0.5194401388529075,0.6661251483849384,0.47334688673719033,0.9173416295660569,0.9149271366679795,322.04761904761904,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,UNIFORM_DIFFUSION,44,0.36668734828170885,0.32322960286964414,0.37417731987181696,0.7307032130021992,0.7324593484498959,190.79166666666666,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
3W,UNIFORM_DIFFUSION,45,0.5869642261635563,0.6358475644030114,0.4071189828055546,0.8547712278066835,0.8586620154166432,44.65217391304348,,,reused_existing,outputs\qdiffcl_final_5seed\3w\manifest.json
