method,seed,class,f1,recall,support
FINAL_QDIFFCL,42,2,0.4281386738471895,0.28178998670801947,2257
FINAL_QDIFFCL,42,8,0.8356704763448705,0.9414074389724234,32854
FINAL_QDIFFCL,42,9,0.013679890560875513,0.009195402298850575,2175
FINAL_QDIFFCL,43,2,0.588622754491018,0.435533894550288,2257
FINAL_QDIFFCL,43,8,0.8602563094582908,0.8325926827783527,32854
FINAL_QDIFFCL,43,9,0.09799554565701558,0.44505747126436784,2175
FINAL_QDIFFCL,44,2,0.3939205955334988,0.281346920691183,2257
FINAL_QDIFFCL,44,8,0.8659618918961374,0.8389845985268156,32854
FINAL_QDIFFCL,44,9,0.001488833746898263,0.002758620689655172,2175
FINAL_QDIFFCL,45,2,0.6606942889137738,0.5228178998670802,2257
FINAL_QDIFFCL,45,8,0.800438904988324,0.8659523954465209,32854
FINAL_QDIFFCL,45,9,0.2366322008862629,0.3682758620689655,2175
FINAL_QDIFFCL,46,2,0.641487507263219,0.48914488258750555,2257
FINAL_QDIFFCL,46,8,0.7899756233160843,0.8433676264686187,32854
FINAL_QDIFFCL,46,9,0.1715891180703077,0.5756321839080459,2175
FRERA,42,2,0.6706456863809007,0.5476295968099246,2257
FRERA,42,8,0.803732612392622,0.8415413648262008,32854
FRERA,42,9,0.005576679340937896,0.010114942528735632,2175
FRERA,43,2,0.7792207792207793,0.7310589277802393,2257
FRERA,43,8,0.8301995337148393,0.8345711328909722,32854
FRERA,43,9,0.10544083722500422,0.4308045977011494,2175
FRERA,44,2,0.40316957210776544,0.28178998670801947,2257
FRERA,44,8,0.8576770125322813,0.8238570645887867,32854
FRERA,44,9,0.004832863471606927,0.008275862068965517,2175
FRERA,45,2,0.398361172392058,0.2800177226406735,2257
FRERA,45,8,0.8041720379702332,0.8354538260181409,32854
FRERA,45,9,0.14307475978439185,0.5613793103448276,2175
FRERA,46,2,0.6963151207115629,0.6070004430660169,2257
FRERA,46,8,0.7897781231114565,0.8353320752419797,32854
FRERA,46,9,0.04660766961651917,0.10896551724137932,2175
JITTER_SCALING,42,2,0.42655935613682094,0.28178998670801947,2257
JITTER_SCALING,42,8,0.8439288648738981,0.9222621294210751,32854
JITTER_SCALING,42,9,0.007865570253843403,0.010114942528735632,2175
JITTER_SCALING,43,2,0.6816628701594533,0.5303500221533008,2257
JITTER_SCALING,43,8,0.861978470967235,0.8347841967492543,32854
JITTER_SCALING,43,9,0.002630675969346906,0.010574712643678161,2175
JITTER_SCALING,44,2,0.40914948453608246,0.281346920691183,2257
JITTER_SCALING,44,8,0.8438318573032306,0.8236440007305047,32854
JITTER_SCALING,44,9,0.001334668001334668,0.002758620689655172,2175
JITTER_SCALING,45,2,0.6395939086294417,0.5024368630926008,2257
JITTER_SCALING,45,8,0.8002127231437031,0.8472940889998174,32854
JITTER_SCALING,45,9,0.3570335327674969,0.5898850574712644,2175
JITTER_SCALING,46,2,0.6074821852731591,0.4532565352237483,2257
JITTER_SCALING,46,8,0.8213251825836505,0.85061179765021,32854
JITTER_SCALING,46,9,0.003399852180339985,0.010574712643678161,2175
