baseline,class,delta_accuracy,instance_id,lost_windows,rescued_windows,seed,well_id,windows
FRERA,0,-0.011918404767361907,WELL-00019_20170307235203,90,38,42,WELL-00019,4363
JITTER_SCALING,0,0.0009168003667201479,WELL-00019_20170307235203,0,4,42,WELL-00019,4363
FRERA,0,0.013981205592482237,WELL-00019_20170307235203,0,61,43,WELL-00019,4363
JITTER_SCALING,0,-0.008480403392161356,WELL-00019_20170307235203,88,51,43,WELL-00019,4363
FRERA,0,-0.03690121476048591,WELL-00019_20170307235203,162,1,44,WELL-00019,4363
JITTER_SCALING,0,0.002750401100160449,WELL-00019_20170307235203,19,31,44,WELL-00019,4363
FRERA,0,0.07242722897089159,WELL-00019_20170307235203,0,316,45,WELL-00019,4363
JITTER_SCALING,0,-0.0481320192528077,WELL-00019_20170307235203,240,30,45,WELL-00019,4363
FRERA,0,-0.03231721292688517,WELL-00019_20170307235203,142,1,46,WELL-00019,4363
JITTER_SCALING,0,-0.00756360302544121,WELL-00019_20170307235203,33,0,46,WELL-00019,4363
FRERA,2,-0.049763033175355464,WELL-00011_20140515083000,47,5,42,WELL-00011,844
JITTER_SCALING,2,0.0,WELL-00011_20140515083000,0,0,42,WELL-00011,844
FRERA,2,0.11492890995260663,WELL-00011_20140515083000,0,97,43,WELL-00011,844
JITTER_SCALING,2,-0.0011848341232226778,WELL-00011_20140515083000,1,0,43,WELL-00011,844
FRERA,2,0.0011848341232227888,WELL-00011_20140515083000,0,1,44,WELL-00011,844
JITTER_SCALING,2,0.1172985781990521,WELL-00011_20140515083000,0,99,44,WELL-00011,844
FRERA,2,0.0023696682464454666,WELL-00011_20140515083000,2,4,45,WELL-00011,844
JITTER_SCALING,2,0.0023696682464454666,WELL-00011_20140515083000,2,4,45,WELL-00011,844
FRERA,2,0.007109004739336511,WELL-00011_20140515083000,0,6,46,WELL-00011,844
JITTER_SCALING,2,-0.05924170616113744,WELL-00011_20140515083000,98,48,46,WELL-00011,844
FRERA,2,0.0,WELL-00011_20140530083203,0,0,42,WELL-00011,115
JITTER_SCALING,2,0.0,WELL-00011_20140530083203,0,0,42,WELL-00011,115
FRERA,2,0.5826086956521739,WELL-00011_20140530083203,0,67,43,WELL-00011,115
JITTER_SCALING,2,0.0,WELL-00011_20140530083203,0,0,43,WELL-00011,115
FRERA,2,0.0,WELL-00011_20140530083203,0,0,44,WELL-00011,115
JITTER_SCALING,2,0.5826086956521739,WELL-00011_20140530083203,0,67,44,WELL-00011,115
FRERA,2,0.0,WELL-00011_20140530083203,0,0,45,WELL-00011,115
JITTER_SCALING,2,0.0,WELL-00011_20140530083203,0,0,45,WELL-00011,115
FRERA,2,0.0,WELL-00011_20140530083203,0,0,46,WELL-00011,115
JITTER_SCALING,2,-0.5826086956521739,WELL-00011_20140530083203,67,0,46,WELL-00011,115
FRERA,2,-0.5054704595185995,WELL-00011_20140606213810,231,0,42,WELL-00011,457
JITTER_SCALING,2,0.0,WELL-00011_20140606213810,0,0,42,WELL-00011,457
FRERA,2,-0.36542669584245074,WELL-00011_20140606213810,269,102,43,WELL-00011,457
JITTER_SCALING,2,-0.36761487964989065,WELL-00011_20140606213810,168,0,43,WELL-00011,457
FRERA,2,-0.0021881838074398197,WELL-00011_20140606213810,1,0,44,WELL-00011,457
JITTER_SCALING,2,0.22319474835886213,WELL-00011_20140606213810,0,102,44,WELL-00011,457
FRERA,2,0.437636761487965,WELL-00011_20140606213810,0,200,45,WELL-00011,457
JITTER_SCALING,2,0.05251641137855578,WELL-00011_20140606213810,0,24,45,WELL-00011,457
FRERA,2,-0.21881838074398247,WELL-00011_20140606213810,100,0,46,WELL-00011,457
