class_2_recall,class_8_recall,class_9_recall,far,macro_f1,macro_f1_all_primary_classes,method,observed_targets,seed,well_id,windows
,0.9492605131860299,,0.7288135593220338,0.6050605739655345,0.30253028698276724,FINAL_QDIFFCL,0/2,42,WELL-00019,34543
,0.8030559515324305,,0.7353451839603142,0.5717104053866722,0.2858552026933361,FRERA,0/2,42,WELL-00019,34543
,0.9212401995723449,,0.7321207110376189,0.6106159346106399,0.30530796730531995,JITTER_SCALING,0/2,42,WELL-00019,34543
,0.778643977191732,,0.9949565936337329,0.4257120292500467,0.21285601462502335,FINAL_QDIFFCL,0/2,43,WELL-00019,34543
,0.7818068424803991,,1.0,0.4026522277795622,0.2013261138897811,FRERA,0/2,43,WELL-00019,34543
,0.7818068424803991,,0.9918974782968168,0.42848346500377554,0.21424173250188777,JITTER_SCALING,0/2,43,WELL-00019,34543
,0.7782430506058446,,0.522199255890864,0.6840078856603897,0.34200394283019486,FINAL_QDIFFCL,0/2,44,WELL-00019,34543
,0.7770848182466144,,0.2682926829268293,0.7912104778665947,0.39560523893329735,FRERA,0/2,44,WELL-00019,34543
,0.7766393442622951,,0.5231914014055394,0.6847914839776869,0.3423957419888434,JITTER_SCALING,0/2,44,WELL-00019,34543
,0.8057287954383464,,0.7050847457627119,0.5663479886365722,0.2831739943182861,FINAL_QDIFFCL,0/2,45,WELL-00019,34543
,0.7938791874554526,,0.9965274906986358,0.39621226845168506,0.19810613422584253,FRERA,0/2,45,WELL-00019,34543
,0.8054615110477548,,0.6877221992558908,0.5750715405991482,0.2875357702995741,JITTER_SCALING,0/2,45,WELL-00019,34543
,0.7945028510334996,,0.9999173212071104,0.3787752785048037,0.18938763925240185,FINAL_QDIFFCL,0/2,46,WELL-00019,34543
,0.7828314326443335,,0.8561389003720545,0.48945353063128055,0.24472676531564028,FRERA,0/2,46,WELL-00019,34543
,0.8050160370634355,,0.9971889210417528,0.4023756266252549,0.20118781331262744,JITTER_SCALING,0/2,46,WELL-00019,34543
0.2933579335793358,,,0.034533431300514325,0.6915288190465115,0.34576440952325577,FINAL_QDIFFCL,0/1,42,WELL-00011,3529
0.5701107011070111,,,0.47024246877296105,0.6945964855410133,0.34729824277050664,FRERA,0/1,42,WELL-00011,3529
0.2933579335793358,,,0.034533431300514325,0.6928686808923777,0.34643434044618887,JITTER_SCALING,0/1,42,WELL-00011,3529
0.4534132841328413,,,0.0,0.7742606513805141,0.38713032569025707,FINAL_QDIFFCL,0/1,43,WELL-00011,3529
0.7569188191881919,,,0.9155033063923586,0.5084719743157797,0.25423598715788986,FRERA,0/1,43,WELL-00011,3529
0.5521217712177122,,,0.0,0.8312622331041687,0.41563111655208435,JITTER_SCALING,0/1,43,WELL-00011,3529
0.29289667896678967,,,0.04188096987509184,0.6968164686525474,0.3484082343262737,FINAL_QDIFFCL,0/1,44,WELL-00011,3529
0.2933579335793358,,,0.03526818515797208,0.6879447453007481,0.34397237265037406,FRERA,0/1,44,WELL-00011,3529
0.29289667896678967,,,0.48126377663482733,0.5615850008652156,0.2807925004326078,JITTER_SCALING,0/1,44,WELL-00011,3529
0.544280442804428,,,0.9162380602498164,0.42963270344404725,0.21481635172202362,FINAL_QDIFFCL,0/1,45,WELL-00011,3529
0.2915129151291513,,,0.9162380602498164,0.3027933932193567,0.15139669660967836,FRERA,0/1,45,WELL-00011,3529
0.5230627306273062,,,0.9147685525349009,0.4216480499976924,0.2108240249988462,JITTER_SCALING,0/1,45,WELL-00011,3529
0.5092250922509225,,,0.6862601028655401,0.5716376053336409,0.28581880266682047,FINAL_QDIFFCL,0/1,46,WELL-00011,3529
0.6319188191881919,,,0.7567964731814842,0.5817015063580305,0.29085075317901526,FRERA,0/1,46,WELL-00011,3529
0.47186346863468637,,,0.5202057310800882,0.63267470881552,0.31633735440776,JITTER_SCALING,0/1,46,WELL-00011,3529
0.0,,,0.0,0.49356223175965663,0.24678111587982832,FINAL_QDIFFCL,0/1,42,WELL-00012,434
0.0,,,0.0,0.47983310152990266,0.23991655076495133,FRERA,0/1,42,WELL-00012,434
0.0,,,0.0,0.49356223175965663,0.24678111587982832,JITTER_SCALING,0/1,42,WELL-00012,434
0.0,,,0.0,0.4428754813863928,0.2214377406931964,FINAL_QDIFFCL,0/1,43,WELL-00012,434
