dataset,inference_additional_parameters,method,note,peak_gpu_mib_mean,trainable_augmentation_parameters,training_seconds_mean,training_seconds_std
3W,0,SCALING,,1815.47373046875,0,282.6143687599921,484.23682409521524
3W,0,UNIFORM_DIFFUSION,,,0,,
3W,0,FINAL_QDIFFCL,,,0,,
3W,0,FRERA,,1827.08662109375,66,64.7489520999894,2.0858246245426395
3W,0,DCBR,same inference model; domain-level rho only,,0,,
TEP,0,SCALING,,1484.34365234375,0,249.34333186000586,14.440800903857145
TEP,0,UNIFORM_DIFFUSION,,76.2091796875,0,286.74543764000117,36.69220492321666
TEP,0,FINAL_QDIFFCL,,76.20849609375,0,244.51531820000673,1.5813007734441837
TEP,0,FRERA,,1498.60283203125,66,228.31437676001224,23.215530689752462
TEP,0,DCBR,same inference model; domain-level rho only,76.20849609375,0,244.51531820000673,1.5813007734441837
