D_selected_mean,E_selected_mean,audit,critical_budget,dataset,downstream_performance_support,group_sha256,groups_or_bins,jaccard_to_frozen_030,noncritical_budget,outer_split_seed,protocol,setting,total_noise_budget
0.20389810137707612,0.19200242593370634,critical_ratio,,3W,UNSUPPORTED / DO NOT CLAIM,,145,0.6651376146788991,,,,0.2,0.017973581328988075
0.17144261908913971,0.16155816361718223,critical_ratio,,3W,SUPPORTED,,218,1.0,,,,0.3,0.017973581328988075
0.14914727365148478,0.1371506036475733,critical_ratio,,3W,UNSUPPORTED / DO NOT CLAIM,,290,0.7517241379310344,,,,0.4,0.017973579466342926
,,timestep,0.013808107934892178,3W,UNSUPPORTED / DO NOT CLAIM,,,,0.01976112648844719,,,3,0.017973581328988075
,,timestep,0.011946194805204868,3W,SUPPORTED,,,,0.020560136064887047,,,5,0.017973581328988075
,,timestep,0.010538890026509762,3W,UNSUPPORTED / DO NOT CLAIM,,,,0.0211640577763319,,,8,0.017973583191633224
0.5689267755401899,0.5710216141129374,critical_ratio,,TEP,UNSUPPORTED / DO NOT CLAIM,,343,0.6660194174757281,,,,0.2,0.017973585054278374
0.507704601659711,0.5104210047322569,critical_ratio,,TEP,SUPPORTED,,515,1.0,,,,0.3,0.017973583191633224
0.4427703944608561,0.448219494427128,critical_ratio,,TEP,UNSUPPORTED / DO NOT CLAIM,,686,0.750728862973761,,,,0.4,0.017973579466342926
,,timestep,0.013780622743070126,TEP,UNSUPPORTED / DO NOT CLAIM,,,,0.01977156102657318,,,3,0.017973581328988075
,,timestep,0.01199355348944664,TEP,SUPPORTED,,,,0.02053787373006344,,,5,0.017973583191633224
,,timestep,0.010619210079312325,TEP,UNSUPPORTED / DO NOT CLAIM,,,,0.021127205342054367,,,8,0.017973581328988075
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,97bb6fc13c198f8bec546044a84b57bfc11c992d214b4b6aadefc163367f8128,5,,,31001,,0.25,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,93744911127183234c2c0e1b82c8edf8dcc813b7b4b58125be9028665217f0f4,10,,,31001,,0.5,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,f2c10060d37a85ca3c7eaaaf318d7546ccce5422b9bd4c77edd4b930d11baa9c,20,,,31001,,1.0,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,4a234dccba0888a5eeda32397c3e1197b0960bd6e1663de9d1912e94130fe3c7,5,,,31002,,0.25,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,7eb1cb9770fa2f43fc47f9752a997408650368e14d5bebe1c32e7363faba3ae6,10,,,31002,,0.5,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,c4142b19f0a67fec11ddd05444ca3fb66324a4b2513bde2c2e515fe6739d845b,20,,,31002,,1.0,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,968104bad5c46931724adfd293a8915202aa86970137d61c24fdabd3d7d0c5f8,5,,,31003,,0.25,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,4f693e51be8faac70bed0239d7b510c959e9a8c34111887ef8ee347f0371a238,10,,,31003,,0.5,
,,limited_data_group_dry_run,,3W,UNSUPPORTED / DO NOT CLAIM,6beed23068049382432c556982b4f8020d012a10925813b8dc68addb4c9f8d55,20,,,31003,,1.0,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,7239610240c4a22d4bc5334c1ad7a94ef3c2bf9635358345c089b1a2902faa7c,62,,,32001,,0.25,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,2b4778f4e7b16ad62065d8ea3ea66b0e5c54178c824a2b3ae509ef44f58f3b17,124,,,32001,,0.5,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,e6f379338f07480991e149369f28108ad52017dfd2af13d588af3a1c480a924f,248,,,32001,,1.0,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,7d95c5685a483805d2e5d3f467afff81a682b8b7a9b6202788ca8dcaaba50693,62,,,32002,,0.25,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,5f8a624297e4d0f850aa729f2e142ffaaa924debdac24aac833dacb1f6142cd6,124,,,32002,,0.5,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,5598f4c50bba8a13161183161a3134e75e6d7d2e42abb450e0fd9fe08ead79cd,248,,,32002,,1.0,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,55a2977efc3c15fe5a28807cf67a6e71779817a86f8674bc07a38b6e0fa5f350,62,,,32003,,0.25,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,3489e1dfa73791cb374adccf6382b19f8986755baa2e6ef6117f08c31e7198e0,124,,,32003,,0.5,
,,limited_data_group_dry_run,,TEP,UNSUPPORTED / DO NOT CLAIM,8147739febc01a742e867840d92fa95aefaedaecb399f801dbbd46391dfeb6ec,248,,,32003,,1.0,
,,missingness,,3W,UNSUPPORTED / DO NOT CLAIM,,,,,,native missingness; no added MCAR,0.1,
,,missingness,,3W,UNSUPPORTED / DO NOT CLAIM,,,,,,native missingness; no added MCAR,0.3,
,,missingness,,TEP,UNSUPPORTED / DO NOT CLAIM,,,,,,fixed MCAR 30%,0.1,
,,missingness,,TEP,SUPPORTED,,,,,,fixed MCAR 30%,0.3,
