dataset,method,reference,excluded_seed,loso_delta_macro_f1,positive_count,nonworse_count,worst_seed,worst_delta
3W,FINAL_QDIFFCL,FRERA,42,0.015059296541267697,2,2,42,-0.04361580125674103
3W,FINAL_QDIFFCL,FRERA,43,0.013345515995932783,2,2,42,-0.04361580125674103
3W,FINAL_QDIFFCL,FRERA,44,0.00768952514469487,2,2,42,-0.04361580125674103
3W,FINAL_QDIFFCL,FRERA,45,-0.021342260481440972,2,2,42,-0.04361580125674103
3W,FINAL_QDIFFCL,FRERA,46,0.001869307707875384,2,2,42,-0.04361580125674103
3W,FINAL_QDIFFCL,JITTER_SCALING,42,0.0036054517211372566,2,2,45,-0.030730390300054422
3W,FINAL_QDIFFCL,JITTER_SCALING,43,0.0038643467404371606,2,2,45,-0.030730390300054422
3W,FINAL_QDIFFCL,JITTER_SCALING,44,0.0012709371096919775,2,2,45,-0.030730390300054422
3W,FINAL_QDIFFCL,JITTER_SCALING,45,0.010916794277983352,2,2,45,-0.030730390300054422
3W,FINAL_QDIFFCL,JITTER_SCALING,46,-0.0067207430373707605,2,2,45,-0.030730390300054422
TEP,DCBR,FINAL_QDIFFCL,7,0.011725321337827943,5,5,43,0.004984862831147074
TEP,DCBR,FINAL_QDIFFCL,42,0.0114205166410426,5,5,43,0.004984862831147074
TEP,DCBR,FINAL_QDIFFCL,43,0.013850791199024604,5,5,43,0.004984862831147074
TEP,DCBR,FINAL_QDIFFCL,44,0.013847189256665338,5,5,43,0.004984862831147074
TEP,DCBR,FINAL_QDIFFCL,2026,0.009544209192685005,5,5,43,0.004984862831147074
TEP,DCBR,SCALING,7,-0.0034776655813486823,2,2,44,-0.0068077447643688505
TEP,DCBR,SCALING,42,-0.0023187681983245223,2,2,44,-0.0068077447643688505
TEP,DCBR,SCALING,43,-0.0031891203216505015,2,2,44,-0.0068077447643688505
TEP,DCBR,SCALING,44,-0.0013739565268412746,2,2,44,-0.0068077447643688505
TEP,DCBR,SCALING,2026,-0.001944060243568968,2,2,44,-0.0068077447643688505
