dataset,method,reference,seed,delta_macro_f1,delta_far,delta_early_recall
3W,FINAL_QDIFFCL,FRERA,42,-0.04361580125674103,-0.031046483580855266,0.012322061554042696
3W,FINAL_QDIFFCL,FRERA,43,-0.03676067907540137,-0.03114985700010342,-0.013081640690935759
3W,FINAL_QDIFFCL,FRERA,44,-0.014136715670449718,0.06905344405775127,-0.022224722894277904
3W,FINAL_QDIFFCL,FRERA,45,0.10199042683409365,-0.12253195961545088,-0.08870196365273175
3W,FINAL_QDIFFCL,FRERA,46,0.009144154076828226,0.07659970366286478,0.05702470038822938
3W,FINAL_QDIFFCL,JITTER_SCALING,42,-0.0014850200726700402,-0.001378312256641756,-0.011506217295898291
3W,FINAL_QDIFFCL,JITTER_SCALING,43,-0.002520600149869656,0.03145997725784777,0.03193045631013336
3W,FINAL_QDIFFCL,JITTER_SCALING,44,0.007853038373111076,-0.04052238034526723,0.004079221290721802
3W,FINAL_QDIFFCL,JITTER_SCALING,45,-0.030730390300054422,0.034182143964715195,0.003629100320711176
3W,FINAL_QDIFFCL,JITTER_SCALING,46,0.03981975896136203,0.04345129389063085,0.045884206380464754
TEP,DCBR,FINAL_QDIFFCL,7,0.013486742275933716,-0.011328125000000001,0.006250000000000089
TEP,DCBR,FINAL_QDIFFCL,42,0.01470596106307509,-0.028515625000000003,0.006249999999999978
TEP,DCBR,FINAL_QDIFFCL,43,0.004984862831147074,0.009375000000000001,0.043749999999999956
TEP,DCBR,FINAL_QDIFFCL,44,0.004999270600584138,0.0011718749999999993,0.012500000000000067
TEP,DCBR,FINAL_QDIFFCL,2026,0.02221119085650547,0.004687500000000001,0.07499999999999996
TEP,DCBR,SCALING,7,0.0016070914536607805,-0.0023437499999999986,-0.02499999999999991
TEP,DCBR,SCALING,42,-0.0030284980784358595,0.008203124999999999,0.006249999999999978
TEP,DCBR,SCALING,43,0.0004529104148680574,-0.0007812499999999972,0.012499999999999956
TEP,DCBR,SCALING,44,-0.0068077447643688505,0.01640625,-0.012499999999999956
TEP,DCBR,SCALING,2026,-0.004527329897458077,0.012890625,0.012499999999999956
