early_recall,f1,far_global,fault,mean_delay_samples,method,missed_runs,recall,seed,windows
0.805,1.0,0.040234375,1,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.040234375,2,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,0.1386138613861386,0.040234375,3,719.0,FINAL_QDIFFCL,0,0.07446808510638298,7,108
0.805,1.0,0.040234375,4,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,0.9438202247191011,0.040234375,5,63.0,FINAL_QDIFFCL,0,0.8936170212765957,7,108
0.805,1.0,0.040234375,6,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.040234375,7,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.040234375,8,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,0.04166666666666667,0.040234375,9,735.0,FINAL_QDIFFCL,1,0.02127659574468085,7,108
0.805,0.7948717948717948,0.040234375,10,143.0,FINAL_QDIFFCL,0,0.6595744680851063,7,108
0.805,1.0,0.040234375,11,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.040234375,12,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.040234375,13,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.040234375,14,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,0.04166666666666667,0.040234375,15,767.0,FINAL_QDIFFCL,0,0.02127659574468085,7,108
0.805,0.8674698795180723,0.040234375,16,63.0,FINAL_QDIFFCL,0,0.7659574468085106,7,108
0.805,0.989247311827957,0.040234375,17,79.0,FINAL_QDIFFCL,0,0.9787234042553191,7,108
0.805,0.989247311827957,0.040234375,18,79.0,FINAL_QDIFFCL,0,0.9787234042553191,7,108
0.805,1.0,0.040234375,19,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.040234375,20,63.0,FINAL_QDIFFCL,0,1.0,7,108
0.805,1.0,0.01953125,1,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,2,63.0,DCBR,0,1.0,7,108
0.805,0.12,0.01953125,3,247.0,DCBR,0,0.06382978723404255,7,108
0.805,1.0,0.01953125,4,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,5,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,6,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,7,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,8,63.0,DCBR,0,1.0,7,108
0.805,0.0,0.01953125,9,,DCBR,2,0.0,7,108
0.805,0.7792207792207793,0.01953125,10,151.0,DCBR,0,0.6382978723404256,7,108
0.805,1.0,0.01953125,11,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,12,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,13,63.0,DCBR,0,1.0,7,108
0.805,1.0,0.01953125,14,63.0,DCBR,0,1.0,7,108
0.805,0.021052631578947368,0.01953125,15,383.0,DCBR,1,0.010638297872340425,7,108
0.805,0.7870967741935483,0.01953125,16,71.0,DCBR,0,0.648936170212766,7,108
0.805,0.989247311827957,0.01953125,17,79.0,DCBR,0,0.9787234042553191,7,108
0.805,0.989247311827957,0.01953125,18,79.0,DCBR,0,0.9787234042553191,7,108
0.805,0.967032967032967,0.01953125,19,63.0,DCBR,0,0.9361702127659575,7,108
0.805,1.0,0.01953125,20,63.0,DCBR,0,1.0,7,108
0.83,1.0,0.021875,1,63.0,SCALING,0,1.0,7,108
0.83,1.0,0.021875,2,63.0,SCALING,0,1.0,7,108
0.83,0.1568627450980392,0.021875,3,95.0,SCALING,0,0.0851063829787234,7,108
0.83,1.0,0.021875,4,63.0,SCALING,0,1.0,7,108
0.83,1.0,0.021875,5,63.0,SCALING,0,1.0,7,108
0.83,1.0,0.021875,6,63.0,SCALING,0,1.0,7,108
0.83,1.0,0.021875,7,63.0,SCALING,0,1.0,7,108
0.83,1.0,0.021875,8,63.0,SCALING,0,1.0,7,108
0.83,0.0,0.021875,9,,SCALING,2,0.0,7,108
0.83,0.7712418300653594,0.021875,10,143.0,SCALING,0,0.6276595744680851,7,108
0.83,1.0,0.021875,11,63.0,SCALING,0,1.0,7,108
0.83,1.0,0.021875,12,63.0,SCALING,0,1.0,7,108
