channel,dataset,effective_timestep,frequency_bin,selective_variance,soft_mask,uniform_variance
0,three_w,3.4668431282043457,0,0.0,0.38328924775123596,0.0
0,three_w,3.626134157180786,1,0.020335957407951355,0.34346646070480347,0.018535256385803223
0,three_w,3.406623125076294,2,0.018621591851115227,0.3983442187309265,0.018535256385803223
0,three_w,3.3914499282836914,3,0.018503129482269287,0.40213751792907715,0.018535256385803223
0,three_w,3.388953685760498,4,0.018483608961105347,0.4027615487575531,0.018535256385803223
0,three_w,3.384180784225464,5,0.0184463057667017,0.40395480394363403,0.018535256385803223
0,three_w,3.3569226264953613,6,0.018233470618724823,0.41076934337615967,0.018535256385803223
0,three_w,3.3525209426879883,7,0.018199097365140915,0.4118697941303253,0.018535256385803223
0,three_w,3.3300621509552,8,0.018023712560534477,0.41748446226119995,0.018535256385803223
0,three_w,3.346688747406006,9,0.01815355010330677,0.41332778334617615,0.018535256385803223
0,three_w,3.430929183959961,10,0.018811432644724846,0.39226770401000977,0.018535256385803223
0,three_w,3.3419947624206543,11,0.018116893246769905,0.4145013093948364,0.018535256385803223
0,three_w,3.3086297512054443,12,0.01785627380013466,0.4228425621986389,0.018535256385803223
0,three_w,3.3358304500579834,13,0.018068714067339897,0.41604238748550415,0.018535256385803223
0,three_w,3.351956844329834,14,0.01819467730820179,0.4120107889175415,0.018535256385803223
0,three_w,3.3485116958618164,15,0.018167756497859955,0.4128720462322235,0.018535256385803223
0,three_w,3.3137099742889404,16,0.017895961180329323,0.4215725064277649,0.018535256385803223
0,three_w,3.3460912704467773,17,0.018148882314562798,0.4134771525859833,0.018535256385803223
0,three_w,3.298038959503174,18,0.017773574218153954,0.42549023032188416,0.018535256385803223
0,three_w,3.3323276042938232,19,0.018041394650936127,0.4169180989265442,0.018535256385803223
0,three_w,3.390376567840576,20,0.018494784832000732,0.40240588784217834,0.018535256385803223
0,three_w,3.3330256938934326,21,0.01804685965180397,0.41674357652664185,0.018535256385803223
0,three_w,3.311689615249634,22,0.017880165949463844,0.42207759618759155,0.018535256385803223
0,three_w,3.3310770988464355,23,0.018031610175967216,0.4172307550907135,0.018535256385803223
0,three_w,3.363382339477539,24,0.018283884972333908,0.4091544449329376,0.018535256385803223
0,three_w,3.3420891761779785,25,0.018117638304829597,0.41447773575782776,0.018535256385803223
0,three_w,3.3089730739593506,26,0.01785900630056858,0.42275673151016235,0.018535256385803223
0,three_w,3.3588433265686035,27,0.01824842020869255,0.4102891683578491,0.018535256385803223
0,three_w,3.3040809631347656,28,0.01782076060771942,0.423979789018631,0.018535256385803223
0,three_w,3.333860397338867,29,0.018053315579891205,0.4165349006652832,0.018535256385803223
0,three_w,3.37861967086792,30,0.01840289495885372,0.40534505248069763,0.018535256385803223
0,three_w,3.3285751342773438,31,0.018012089654803276,0.41785624623298645,0.018535256385803223
0,three_w,3.313326358795166,32,0.017892980948090553,0.4216684401035309,0.018535256385803223
1,three_w,3.522299289703369,0,0.0,0.3694251477718353,0.0
1,three_w,3.9114818572998047,1,0.022564459592103958,0.27212950587272644,0.018535256385803223
1,three_w,3.877878189086914,2,0.02230205200612545,0.2805304229259491,0.018535256385803223
1,three_w,3.8996198177337646,3,0.022471824660897255,0.27509504556655884,0.018535256385803223
1,three_w,3.8530731201171875,4,0.02210833877325058,0.2867317497730255,0.018535256385803223
1,three_w,3.8806424140930176,5,0.02232365868985653,0.2798393666744232,0.018535256385803223
1,three_w,3.9175753593444824,6,0.02261209301650524,0.2706061899662018,0.018535256385803223
1,three_w,3.9297239780426025,7,0.02270696312189102,0.26756900548934937,0.018535256385803223
1,three_w,3.917088031768799,8,0.02260826900601387,0.2707279920578003,0.018535256385803223
1,three_w,3.8001747131347656,9,0.021695232018828392,0.2999562919139862,0.018535256385803223
1,three_w,3.8646700382232666,10,0.022198887541890144,0.28383249044418335,0.018535256385803223
1,three_w,3.9307379722595215,11,0.02271486073732376,0.267315536737442,0.018535256385803223
1,three_w,3.9276013374328613,12,0.02269042283296585,0.2680996358394623,0.018535256385803223
