row_type,dataset,comparison,metric,seed,delta,directional_benefit,mean_delta,std_delta,positive_seed_count,nonworse_seed_count,loso_mean_min,loso_mean_max,loso_mean_range
seed,3W,FINAL_QDIFFCL-UNIFORM,macro_f1,42,0.028144012566211407,0.028144012566211407,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,macro_f1,43,0.02681730674598215,0.02681730674598215,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,macro_f1,44,0.13891367965760676,0.13891367965760676,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,macro_f1,45,0.0017603249717006442,0.0017603249717006442,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,macro_f1,46,0.0850818426152169,0.0850818426152169,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,macro_f1,,,,0.05614343331134357,0.055429813609941606,5,5,0.035450871724777774,0.0697392103962543,0.03428833867147653
seed,3W,FINAL_QDIFFCL-UNIFORM,recall_macro,42,0.027863503877367468,0.027863503877367468,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,recall_macro,43,0.10155849426549846,0.10155849426549846,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,recall_macro,44,0.1675541547928875,0.1675541547928875,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,recall_macro,45,0.009575532484172866,0.009575532484172866,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,recall_macro,46,0.16866938040937646,0.16866938040937646,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,recall_macro,,,,0.09504421316586055,0.07506486498790389,5,5,0.07663792135498157,0.11641138333628247,0.0397734619813009
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_fault_vs_normal,42,0.0008813094027023682,0.0008813094027023682,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_fault_vs_normal,43,0.0008970469499892664,0.0008970469499892664,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_fault_vs_normal,44,0.35212681375535093,0.35212681375535093,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_fault_vs_normal,45,0.0003272386246886416,0.0003272386246886416,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_fault_vs_normal,46,-0.004830936594417468,-0.004830936594417468,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,auprc_fault_vs_normal,,,,0.06988029442766275,0.15779895567778798,4,4,-0.0006813354042592978,0.0885581021831828,0.0892394375874421
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_multiclass_macro,42,0.006456398935480556,0.006456398935480556,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_multiclass_macro,43,-0.006255977420076109,-0.006255977420076109,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_multiclass_macro,44,0.18443802301226114,0.18443802301226114,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_multiclass_macro,45,-0.007328658007166422,-0.007328658007166422,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,auprc_multiclass_macro,46,0.009031516221210567,0.009031516221210567,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,auprc_multiclass_macro,,,,0.037268260548341946,0.08259671295716077,3,3,0.00047581993236214815,0.04841749018721904,0.04794167025485689
seed,3W,FINAL_QDIFFCL-UNIFORM,far,42,-0.11109196788532444,0.11109196788532444,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,far,43,0.02174287584852347,-0.02174287584852347,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,far,44,-0.13031942386547674,0.13031942386547674,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,far,45,0.01336962888942489,-0.01336962888942489,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,far,46,0.018917335722407835,-0.018917335722407835,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,far,,,,-0.03747631025808899,0.07634064060200921,2,2,-0.05228110678474211,-0.014265531856242061,0.03801557492850005
seed,3W,FINAL_QDIFFCL-UNIFORM,early_recall,42,-0.007398863444550652,-0.007398863444550652,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,early_recall,43,0.023406290440555866,0.023406290440555866,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,early_recall,44,0.0982670342654588,0.0982670342654588,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,early_recall,45,0.002756990941315429,0.002756990941315429,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,early_recall,46,0.03395600067518145,0.03395600067518145,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,early_recall,,,,0.03019749057559218,0.04141309102015975,4,4,0.013180104653125524,0.039596579080627886,0.026416474427502362
seed,3W,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_seconds,42,-27.636363636363626,27.636363636363626,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_seconds,43,30.47619047619048,-30.47619047619048,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_seconds,44,-20.83712121212119,20.83712121212119,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_seconds,45,-6.95652173913043,6.95652173913043,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_seconds,46,13.714285714285715,-13.714285714285715,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_seconds,,,,-2.2479060794278096,24.176237403912797,3,3,-10.428930218332383,4.099208309806144,14.528138528138527
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_recall,42,0.0,0.0,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_recall,43,0.041648205582631825,0.041648205582631825,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_recall,44,0.002215330084182565,0.002215330084182565,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_recall,45,0.023039432875498422,0.023039432875498422,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_recall,46,0.20824102791315907,0.20824102791315907,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,class_2_recall,,,,0.055028799291094374,0.0873123389505902,4,5,0.016725742135578203,0.06878599911386797,0.05206025697828977
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_recall,42,0.000821817739088071,0.000821817739088071,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_recall,43,0.00012175077616127794,0.00012175077616127794,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_recall,44,0.5376818652218909,0.5376818652218909,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_recall,45,-0.013666524624094567,-0.013666524624094567,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_recall,46,0.005813599561697247,0.005813599561697247,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,class_8_recall,,,,0.10615450173494859,0.24133957354644936,4,4,-0.0017273391367869928,0.13610975832470937,0.13783709746149636
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_recall,42,-0.0004597701149425294,-0.0004597701149425294,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_recall,43,0.3862068965517242,0.3862068965517242,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_recall,44,0.0,0.0,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_recall,45,0.04229885057471261,0.04229885057471261,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_recall,46,0.4795402298850574,0.4795402298850574,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,class_9_recall,,,,0.18151724137931033,0.23246583543665847,3,4,0.10701149425287357,0.22701149425287354,0.11999999999999997
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_f1,42,-0.0017362839088091442,-0.0017362839088091442,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_f1,43,0.02756248311203402,0.02756248311203402,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_f1,44,-0.03334288361197424,-0.03334288361197424,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_f1,45,0.02555915377863871,0.02555915377863871,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_2_f1,46,0.21063463604337535,0.21063463604337535,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,class_2_f1,,,,0.04573542108265294,0.09544112004220486,3,3,0.004510617342472337,0.06550499725630973,0.060994379913837396
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,42,0.035214582754578894,0.035214582754578894,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,43,0.0026341335751908224,0.0026341335751908224,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,44,0.4617560936111231,0.4617560936111231,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,45,-0.008524382483508175,-0.008524382483508175,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,46,-0.013393523011137498,-0.013393523011137498,,,,,,,
summary,3W,FINAL_QDIFFCL-UNIFORM,class_8_f1,,,,0.09553738088924943,0.20559717368239933,3,3,0.003982702708781011,0.12277010686434615,0.11878740415556514
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,42,0.0007568136377985903,0.0007568136377985903,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,43,0.08398887060093417,0.08398887060093417,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,44,0.0009773465980128788,0.0009773465980128788,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,45,-0.0007694398302949268,-0.0007694398302949268,,,,,,,
seed,3W,FINAL_QDIFFCL-UNIFORM,class_9_f1,46,0.1436852462412022,0.1436852462412022,,,,,,,
