dataset,method,seed,training,source,macro_f1,recall_macro,auprc_fault_vs_normal,auprc_multiclass_macro,far,early_recall,mean_detection_delay_seconds,class_2_recall,class_2_f1,class_8_recall,class_8_f1,class_9_recall,class_9_f1,auprc,fault_recall,mean_detection_delay_samples,detected_rate,missed_runs
3W,UNIFORM,42,reused_existing,outputs\3w_diffusion_1seed_seed42\result.json,0.4763621262109365,0.44831988281491636,0.779062478394431,0.5165092583835524,0.4387512490954826,0.9019017610982951,965.5909090909091,0.28178998670801947,0.42987495775599865,0.9405856212333353,0.8004558935902916,0.009655172413793104,0.012923076923076923,,,,,
3W,UNIFORM,43,reused_existing,outputs\3w_diffusion_3seed\seed_43\result.json,0.5194401388529075,0.4529650772363253,0.8781029772418474,0.6661251483849384,0.47334688673719033,0.9149271366679795,322.04761904761904,0.3938856889676562,0.561060271378984,0.8324709320021915,0.8576221758831,0.058850574712643676,0.014006675056081413,,,,,
3W,UNIFORM,44,reused_existing,outputs\3w_diffusion_3seed\seed_44\result.json,0.36668734828170885,0.3022539061824409,0.538025879459154,0.32322960286964414,0.37417731987181696,0.7324593484498959,190.79166666666666,0.27913159060700043,0.427263479145473,0.3013027333049248,0.4042057982850143,0.002758620689655172,0.0005114871488853843,,,,,
3W,UNIFORM,45,reused_existing,outputs\3w_r1_r2_5seed_reliability\seed_45\uniform_r1\result.json,0.5869642261635563,0.5745638539377239,0.8734287630968078,0.6358475644030114,0.4071189828055546,0.8586620154166432,44.65217391304348,0.49977846699158174,0.6351351351351351,0.8796189200706155,0.8089632874718322,0.3259770114942529,0.23740164071655784,,,,,
3W,UNIFORM,46,reused_existing,outputs\3w_r1_r2_5seed_reliability\seed_46\uniform_r1\result.json,0.46797696566467406,0.42494616638874544,0.9074664595890131,0.673844151595154,0.5147651700492747,0.9151521971529849,53.857142857142854,0.2809038546743465,0.43085287121984367,0.8375540269069215,0.8033691463272218,0.09609195402298851,0.027903871829105475,,,,,
3W,CURRENT_R1,42,reused_existing,outputs\3w_diffusion_1seed_seed42\result.json,0.5008371153151577,0.47239124435515506,0.7838617077000614,0.5243576299413725,0.3444746907411874,0.8967253699431722,916.1363636363636,0.28178998670801947,0.42857142857142855,0.9425945090399951,0.8306309930932744,0.009655172413793104,0.014208389715832206,,,,,
3W,CURRENT_R1,43,reused_existing,outputs\3w_diffusion_3seed\seed_43\result.json,0.5532419021219296,0.5710984803297257,0.8851405744253638,0.6648119840780436,0.4974673512284208,0.942609576323637,337.2857142857143,0.44793974302171025,0.6050269299820467,0.833231874353199,0.8605243304413429,0.5006896551724138,0.10919482603028176,,,,,
3W,CURRENT_R1,44,reused_existing,outputs\3w_diffusion_3seed\seed_44\result.json,0.4061375063702775,0.3550624578180391,0.46829889283078135,0.3653236890508681,0.31373832741807656,0.6926799077252012,257.4583333333333,0.2809038546743465,0.422103861517976,0.4503256833262312,0.5442139336423159,0.002758620689655172,0.0008191685439279131,,,,,
3W,CURRENT_R1,45,reused_existing,outputs\3w_r1_r2_5seed_reliability\seed_45\uniform_r1\result.json,0.5862066682901141,0.571919091263771,0.8733187895604988,0.6362853597696788,0.40818717480445194,0.8591965340685309,41.869565217391305,0.4820558263181214,0.6307246376811594,0.8800146100931393,0.8084106923162957,0.33379310344827584,0.23972263496780585,,,,,
3W,CURRENT_R1,46,reused_existing,outputs\3w_r1_r2_5seed_reliability\seed_46\uniform_r1\result.json,0.5039763060054355,0.4528357645863165,0.9278347023612546,0.6084193814425763,0.35233107060404534,0.8635008158442582,126.31818181818181,0.28178998670801947,0.4311864406779661,0.8713094295976137,0.8725709844085776,0.010574712643678161,0.004200529631997078,,,,,
