dataset,method,table_section,macro_f1_mean,macro_f1_std,recall_macro_mean,recall_macro_std,auprc_fault_vs_normal_mean,auprc_fault_vs_normal_std,auprc_multiclass_macro_mean,auprc_multiclass_macro_std,far_mean,far_std,early_recall_mean,early_recall_std,mean_detection_delay_seconds_mean,mean_detection_delay_seconds_std,class_2_recall_mean,class_2_recall_std,class_8_recall_mean,class_8_recall_std,class_9_recall_mean,class_9_recall_std,class_2_f1_mean,class_2_f1_std,class_8_f1_mean,class_8_f1_std,class_9_f1_mean,class_9_f1_std,auprc_mean,auprc_std,fault_recall_mean,fault_recall_std,mean_detection_delay_samples_mean,mean_detection_delay_samples_std,detected_rate_mean,detected_rate_std,missed_runs_mean,missed_runs_std
3W,UNIFORM,main,0.4541632044485176,0.07875879539697529,0.4011796220778942,0.08570366040534164,0.7317304450318108,0.17490954561073857,0.5019546698793783,0.17191048780819682,0.42875848523482996,0.050334304855113615,0.8497627487387235,0.10179627150182625,492.81006493506493,414.6665241002608,0.31826908876089205,0.06549938501680518,0.6914530955134839,0.3421771110923246,0.02375478927203065,0.03058882513584146,0.4727329027601519,0.07650488867045419,0.6874279559194686,0.24693741897317228,0.009147079709347907,0.007498242486156302,,,,,,,,,,
3W,D_ONLY,main,0.512818887951409,0.03649464418261601,0.49279381160483976,0.04814113436903317,0.8426948552303959,0.0659588488343915,0.5637749373942854,0.0880001902756641,0.3749239056774979,0.157470578089588,0.8898516476303007,0.05384685524498165,435.8740510697033,261.03105003060915,0.34721606852754394,0.11370522008539269,0.8738256123049452,0.07033982065553225,0.12505747126436784,0.20588411287663266,0.4847860005679602,0.12270922727340856,0.8358614845680261,0.02712435979348153,0.03262655155737611,0.04245423927295148,,,,,,,,,,
3W,E_ONLY,main,0.46277772680237395,0.09367985806455613,0.4251026116321744,0.10839052444820241,0.7108435818947102,0.22154376567115205,0.5080561430894882,0.17808832617766868,0.3840896821841655,0.08788039351679436,0.8302012415836756,0.13710398538296667,593.4161255411256,318.86170212782065,0.3197459754836804,0.06612577852543843,0.6720338467157728,0.3594569152997452,0.09272030651340996,0.15027826100841296,0.4714795076734722,0.08232541112579451,0.6839516453119413,0.2766597633613483,0.024136487075823186,0.032092520312571635,,,,,,,,,,
3W,FINAL_DE,main,0.5187882041051177,0.023795359143154993,0.5001716730564787,0.04717793809567293,0.849698835067825,0.060666469086181486,0.5635008180552669,0.08380723133085884,0.3555356466007374,0.12791474311736256,0.8878542358258782,0.05411074319241037,486.8109668109668,401.2241025402129,0.33289026731649685,0.08889226476840338,0.8709949067591972,0.0610627354959047,0.15233716475095788,0.25352365061932514,0.47022734129056876,0.10395106839782503,0.8539628925664329,0.016096514720768767,0.037721423321596455,0.05255361865789271,,,,,,,,,,
3W,CURRENT_DES,supplementary,0.4867388412691216,0.0745586803174018,0.4661840608343066,0.10815168792540229,0.7124337249854021,0.21740679477574762,0.5181644343567614,0.14984016974173872,0.3852267897958949,0.09841056208862456,0.8440049513306701,0.13304432237205419,503.6268037518037,359.4665567678642,0.3368778614680254,0.09618343130798993,0.7420506889064751,0.258491113245706,0.1710344827586207,0.2855105779665557,0.4852340733571504,0.1037940447697383,0.7451230857256443,0.17463323981299458,0.04140746143001396,0.059086063589350514,,,,,,,,,,
TEP,UNIFORM,main,0.8845988968806314,0.004375097666821295,,,,,,,0.03828125,0.016420194966393516,0.7708333333333334,0.029536347664078758,,,,,,,,,,,,,,,0.9272631630819984,0.006742831397667433,0.7927304964539007,0.024026621847788535,117.01008403361345,12.304005053531125,0.8583333333333333,0.014433756729740658,5.666666666666667,0.5773502691896257
TEP,D_ONLY,main,0.8872367847487822,0.005870811293770684,,,,,,,0.03268229166666667,0.00952302838709716,0.76875,0.02864109809347396,,,,,,,,,,,,,,,0.9273455349665578,0.006883535142833452,0.7914893617021277,0.02353084719212202,117.01008403361345,12.304005053531125,0.8583333333333333,0.014433756729740658,5.666666666666667,0.5773502691896257
TEP,E_ONLY,main,0.8837073893118976,0.00500794644465206,,,,,,,0.04283854166666667,0.02090604174348191,0.775,0.034798527267687625,,,,,,,,,,,,,,,0.927383226605013,0.006918213544084851,0.7964539007092198,0.027661279270975496,122.72436974789916,3.029002291700972,0.8666666666666667,0.014433756729740658,5.333333333333333,0.5773502691896257
TEP,FINAL_DE,main,0.8860837487471575,0.005170650870875187,,,,,,,0.035546875,0.016522098423872346,0.7708333333333334,0.029536347664078758,,,,,,,,,,,,,,,0.9275294576414458,0.006984120229762283,0.7925531914893617,0.025420857756060705,117.01008403361345,12.304005053531125,0.8583333333333333,0.014433756729740658,5.666666666666667,0.5773502691896257
TEP,CURRENT_DES,supplementary,0.886479858546269,0.005507714582808362,,,,,,,0.03528645833333333,0.01692057166418169,0.7729166666666667,0.0308305178894765,,,,,,,,,,,,,,,0.9275484240883153,0.006983363489281951,0.7930851063829787,0.026128881044287566,117.01008403361345,12.304005053531125,0.8583333333333333,0.014433756729740658,5.666666666666667,0.5773502691896257
