dataset,variant,seed,metric,value,delta_vs_full,delta_vs_uniform
3W,UNIFORM,42,macro_f1,0.4763621262109365,-0.024474989104221245,0.0
3W,UNIFORM,42,recall_macro,0.44831988281491636,-0.0240713615402387,0.0
3W,UNIFORM,42,auprc_fault_vs_normal,0.779062478394431,-0.00479922930563037,0.0
3W,UNIFORM,42,auprc_multiclass_macro,0.5165092583835524,-0.007848371557820033,0.0
3W,UNIFORM,42,far,0.4387512490954826,0.09427655835429516,0.0
3W,UNIFORM,42,early_recall,0.9019017610982951,0.005176391155122917,0.0
3W,UNIFORM,42,mean_detection_delay_seconds,965.5909090909091,49.454545454545496,0.0
3W,UNIFORM,42,class_2_recall,0.28178998670801947,0.0,0.0
3W,UNIFORM,42,class_8_recall,0.9405856212333353,-0.0020088878066597537,0.0
3W,UNIFORM,42,class_9_recall,0.009655172413793104,0.0,0.0
3W,UNIFORM,42,class_2_f1,0.42987495775599865,0.001303529184570107,0.0
3W,UNIFORM,42,class_8_f1,0.8004558935902916,-0.030175099502982805,0.0
3W,UNIFORM,42,class_9_f1,0.012923076923076923,-0.0012853127927552836,0.0
3W,UNIFORM,43,macro_f1,0.5194401388529075,-0.03380176326902207,0.0
3W,UNIFORM,43,recall_macro,0.4529650772363253,-0.11813340309340037,0.0
3W,UNIFORM,43,auprc_fault_vs_normal,0.8781029772418474,-0.007037597183516375,0.0
3W,UNIFORM,43,auprc_multiclass_macro,0.6661251483849384,0.0013131643068947652,0.0
3W,UNIFORM,43,far,0.47334688673719033,-0.024120464491230453,0.0
3W,UNIFORM,43,early_recall,0.9149271366679795,-0.02768243965565742,0.0
3W,UNIFORM,43,mean_detection_delay_seconds,322.04761904761904,-15.23809523809524,0.0
3W,UNIFORM,43,class_2_recall,0.3938856889676562,-0.05405405405405406,0.0
3W,UNIFORM,43,class_8_recall,0.8324709320021915,-0.000760942351007543,0.0
3W,UNIFORM,43,class_9_recall,0.058850574712643676,-0.44183908045977016,0.0
3W,UNIFORM,43,class_2_f1,0.561060271378984,-0.0439666586030627,0.0
3W,UNIFORM,43,class_8_f1,0.8576221758831,-0.002902154558242942,0.0
3W,UNIFORM,43,class_9_f1,0.014006675056081413,-0.09518815097420034,0.0
3W,UNIFORM,44,macro_f1,0.36668734828170885,-0.039450158088568665,0.0
3W,UNIFORM,44,recall_macro,0.3022539061824409,-0.05280855163559817,0.0
3W,UNIFORM,44,auprc_fault_vs_normal,0.538025879459154,0.06972698662837268,0.0
3W,UNIFORM,44,auprc_multiclass_macro,0.32322960286964414,-0.042094086181223955,0.0
3W,UNIFORM,44,far,0.37417731987181696,0.0604389924537404,0.0
3W,UNIFORM,44,early_recall,0.7324593484498959,0.03977944072469475,0.0
3W,UNIFORM,44,mean_detection_delay_seconds,190.79166666666666,-66.66666666666666,0.0
3W,UNIFORM,44,class_2_recall,0.27913159060700043,-0.001772264067346041,0.0
3W,UNIFORM,44,class_8_recall,0.3013027333049248,-0.1490229500213064,0.0
3W,UNIFORM,44,class_9_recall,0.002758620689655172,0.0,0.0
3W,UNIFORM,44,class_2_f1,0.427263479145473,0.005159617627497004,0.0
3W,UNIFORM,44,class_8_f1,0.4042057982850143,-0.14000813535730156,0.0
3W,UNIFORM,44,class_9_f1,0.0005114871488853843,-0.0003076813950425288,0.0
3W,W/O_D,42,macro_f1,0.4758056384983132,-0.025031476816844533,-0.0005564877126232881
3W,W/O_D,42,recall_macro,0.4486521121175031,-0.02373913223765195,0.00033222930258675065
3W,W/O_D,42,auprc_fault_vs_normal,0.7754117254494148,-0.008449982250646526,-0.0036507529450161558
3W,W/O_D,42,auprc_multiclass_macro,0.5134048469743285,-0.01095278296704394,-0.003104411409223906
3W,W/O_D,42,far,0.442231487543503,0.09775679680231558,0.003480238448020423
3W,W/O_D,42,early_recall,0.9037303775389636,0.007005007595791368,0.0018286164406684513
3W,W/O_D,42,mean_detection_delay_seconds,444.8636363636364,-471.27272727272725,-520.7272727272727
3W,W/O_D,42,class_2_recall,0.28178998670801947,0.0,0.0
3W,W/O_D,42,class_8_recall,0.9453947768917027,0.0028002678517076163,0.00480915565836737
3W,W/O_D,42,class_9_recall,0.009655172413793104,0.0,0.0
3W,W/O_D,42,class_2_f1,0.42785065590312815,-0.0007207726683003957,-0.0020243018528705026
3W,W/O_D,42,class_8_f1,0.8015587297900618,-0.029072263303212553,0.0011028361997702518
3W,W/O_D,42,class_9_f1,0.01348314606741573,-0.0007252436484164754,0.0005600691443388081
3W,W/O_D,43,macro_f1,0.5588284062108378,0.005586504088908262,0.03938826735793033
3W,W/O_D,43,recall_macro,0.4920535968116161,-0.07904488351810957,0.0390885195752908
3W,W/O_D,43,auprc_fault_vs_normal,0.8873284795837584,0.0021879051583946207,0.009225502341910996
3W,W/O_D,43,auprc_multiclass_macro,0.668747773653019,0.0039357895749753125,0.0026226252680805473
3W,W/O_D,43,far,0.46266496674821683,-0.03480238448020395,-0.010681919988973498
3W,W/O_D,43,early_recall,0.8946716930174985,-0.04793788330613846,-0.020255443650481042
3W,W/O_D,43,mean_detection_delay_seconds,291.35,-45.935714285714255,-30.697619047619014
3W,W/O_D,43,class_2_recall,0.5866194062915374,0.13867966326982717,0.19273371732388123
3W,W/O_D,43,class_8_recall,0.834145005174408,0.0009131308212090294,0.0016740731722165725
3W,W/O_D,43,class_9_recall,0.010114942528735632,-0.4905747126436782,-0.04873563218390804
3W,W/O_D,43,class_2_f1,0.7246852764094144,0.11965834642736772,0.16362500503043043
3W,W/O_D,43,class_8_f1,0.8640340506029794,0.0035097201616365314,0.0064118747198794734
3W,W/O_D,43,class_9_f1,0.002573400397707334,-0.10662142563257443,-0.01143327465837408
3W,W/O_D,44,macro_f1,0.5183542895738036,0.11221678320352607,0.15166694129209474
3W,W/O_D,44,recall_macro,0.4903277578307959,0.13526530001275683,0.188073851648355
3W,W/O_D,44,auprc_fault_vs_normal,0.8869772974409228,0.41867840461014144,0.34895141798176876
3W,W/O_D,44,auprc_multiclass_macro,0.5310247529767155,0.16570106392584738,0.20779515010707134
3W,W/O_D,44,far,0.15409531029254678,-0.15964301712552978,-0.22008200957927018
3W,W/O_D,44,early_recall,0.8307545152759804,0.13807460755077927,0.09829516682608452
3W,W/O_D,44,mean_detection_delay_seconds,784.4782608695652,527.019927536232,593.6865942028986
3W,W/O_D,44,class_2_recall,0.28178998670801947,0.0008861320336729928,0.002658396101019034
3W,W/O_D,44,class_8_recall,0.8308577342180556,0.38053205089182446,0.5295550009131309
3W,W/O_D,44,class_9_recall,0.002758620689655172,0.0,0.0
