dataset,variant,seed,stage1_screen,stage2_selected,macro_f1,far,early_recall,auprc
3W,BALANCED,42,True,False,0.3234707847502544,0.4037775594558473,0.8577330234959979,0.6212049662345457
3W,CURRENT,42,True,True,0.3321405022749028,0.4377118681571564,0.9049832171443326,0.5080278518927102
3W,CURRENT,43,False,True,0.5375907235031139,0.2901586964410575,0.8875548670281436,0.6788657324526737
3W,CURRENT,44,False,True,0.4466206199856582,0.28612269102431337,0.8749031758326878,0.6177352649720199
3W,DE_50_50,42,True,True,0.34256969678723803,0.3425559597461565,0.8536018590240124,0.628792459717419
3W,DE_50_50,43,False,True,0.5374207740656652,0.2889549755272917,0.8876839659178931,0.6841855017270957
3W,DE_50_50,44,False,True,0.4915596734227221,0.27255427807723287,0.9546862896979086,0.6936409693053964
3W,DE_60_40,42,True,True,0.38607198894192674,0.33848455077312517,0.9065324038213272,0.6236937017049788
3W,DE_60_40,43,False,True,0.5398230204095735,0.28888416841471726,0.8870384714691454,0.6860218644624959
3W,DE_60_40,44,False,True,0.2787248500285174,0.5344609366010816,0.9268009295120062,0.6172975342259552
3W,DE_HEAVY,42,True,False,0.33936076674164906,0.34580423603550975,0.8236509166021172,0.6222525017591238
3W,DS,42,True,False,0.32686180649833396,0.43828717594682387,0.896849987090111,0.6250588389992928
3W,D_HEAVY_1,42,True,False,0.3102037846204241,0.43326872184310916,0.8600568035114898,0.5926448739718618
3W,D_HEAVY_2,42,True,False,0.3152650621297948,0.43878282573484506,0.8786470436354248,0.6315161751116364
3W,ES,42,True,True,0.3394421397238894,0.3425913633024437,0.8236509166021172,0.5676461201081274
3W,ES,43,False,True,0.5235748714895129,0.27483780745775915,0.8956880970823651,0.6393974310335008
3W,ES,44,False,True,0.48894189851826814,0.2659515148296646,0.9247353472760135,0.6507937788201563
3W,E_HEAVY_1,42,True,False,0.3405191491822656,0.34519352468955505,0.8622514846372321,0.6274427605134522
3W,E_HEAVY_2,42,True,False,0.32185849461199545,0.43743749059593035,0.8923315259488769,0.5172507350649995
3W,LOW_D,42,True,False,0.3160700622213135,0.42999389288654044,0.8583785179447456,0.5913650473503879
TEP,BALANCED,7,True,False,0.9455587737869031,0.044642857142857144,0.93125,0.9913702199884702
TEP,CURRENT,7,True,True,0.9224647246536544,0.03236607142857143,0.8375,0.9819829252673367
TEP,CURRENT,42,False,True,0.9238013843048395,0.06584821428571429,0.94375,0.9846815741666018
TEP,CURRENT,2026,False,True,0.8847805728678917,0.025669642857142856,0.75625,0.964508959335874
TEP,DE_50_50,7,True,True,0.9224647246536544,0.03236607142857143,0.83125,0.981885557871975
TEP,DE_50_50,42,False,True,0.9237822833016643,0.06808035714285714,0.95,0.9846706538017639
TEP,DE_50_50,2026,False,True,0.8847805728678917,0.025669642857142856,0.75625,0.96445862106746
TEP,DE_60_40,7,True,True,0.9219411327582308,0.03459821428571429,0.8375,0.981914717316656
TEP,DE_60_40,42,False,True,0.9238198231959901,0.06361607142857142,0.95,0.9847421259179489
TEP,DE_60_40,2026,False,True,0.8847805728678917,0.025669642857142856,0.75625,0.9644677540641979
TEP,DE_HEAVY,7,True,False,0.9224010774065285,0.04575892857142857,0.8625,0.9819199062197542
TEP,DS,7,True,False,0.9445074119326531,0.04799107142857143,0.93125,0.9912750064529097
TEP,D_HEAVY_1,7,True,False,0.9224603356848002,0.033482142857142856,0.8375,0.981893842668567
TEP,D_HEAVY_2,7,True,False,0.9224647246536544,0.03236607142857143,0.83125,0.9819836602617763
TEP,ES,7,True,True,0.9224647246536544,0.03236607142857143,0.83125,0.9820006042214341
TEP,ES,42,False,True,0.9238287946491301,0.0625,0.94375,0.9845702485745051
TEP,ES,2026,False,True,0.8847805728678917,0.025669642857142856,0.75625,0.9644335298906939
TEP,E_HEAVY_1,7,True,False,0.9224010774065285,0.04575892857142857,0.8625,0.981875371276689
TEP,E_HEAVY_2,7,True,False,0.9218869030648467,0.04575892857142857,0.8625,0.9817701151841774
TEP,LOW_D,7,True,False,0.9224647246536544,0.03236607142857143,0.83125,0.9820091516954739
