dataset,split,group_type,group,metric,count,mean,std,min,p05,p25,median,p75,p95,max
3W,train,all,all,critical_energy_ratio,12155,0.5297340367346426,0.19420090708553633,0.2947671413421631,0.34415859878063204,0.3757682293653488,0.4564794600009918,0.6699242293834686,0.9526147723197937,0.964914858341217
3W,train,all,all,safe_capacity,12155,0.47026596344771426,0.19420090687850083,0.03508513793349266,0.047385229542851445,0.33007578551769257,0.5435205698013306,0.6242317855358124,0.6558414101600647,0.7052328586578369
3W,train,all,all,rho,12155,0.47026596344771426,0.19420090687850083,0.03508513793349266,0.047385229542851445,0.33007578551769257,0.5435205698013306,0.6242317855358124,0.6558414101600647,0.7052328586578369
3W,train,stage,early,critical_energy_ratio,7384,0.6059437919274893,0.19644908551498766,0.2947671413421631,0.36771334111690523,0.45651087164878845,0.5583253800868988,0.7342592924833298,0.953247994184494,0.964914858341217
3W,train,stage,early,safe_capacity,7384,0.3940562080931956,0.19644908519401189,0.03508513793349266,0.04675203170627355,0.2657407075166702,0.44167460501194,0.5434891283512115,0.6322866588830948,0.7052328586578369
3W,train,stage,early,rho,7384,0.3940562080931956,0.19644908519401189,0.03508513793349266,0.04675203170627355,0.2657407075166702,0.44167460501194,0.5434891283512115,0.6322866588830948,0.7052328586578369
3W,train,stage,mature,critical_energy_ratio,771,0.5448353666275856,0.18946855467088577,0.3404904305934906,0.4224719852209091,0.42858345806598663,0.43328729271888733,0.7808371782302856,0.9145792424678802,0.9165031313896179
3W,train,stage,mature,safe_capacity,771,0.45516463539209195,0.1894685548860231,0.08349686861038208,0.08542078360915184,0.21916280686855316,0.5667127370834351,0.5714165270328522,0.5775280296802521,0.659509539604187
3W,train,stage,mature,rho,771,0.45516463539209195,0.1894685548860231,0.08349686861038208,0.08542078360915184,0.21916280686855316,0.5667127370834351,0.5714165270328522,0.5775280296802521,0.659509539604187
3W,train,stage,normal,critical_energy_ratio,4000,0.38614004731178286,0.07112022323112124,0.29787179827690125,0.33167213946580887,0.36102084070444107,0.37580031156539917,0.3793877810239792,0.6324997574090957,0.7301540374755859
3W,train,stage,normal,safe_capacity,4000,0.613859952814877,0.07112022290726436,0.26984596252441406,0.36750021427869795,0.6206121891736984,0.6241996586322784,0.6389791518449783,0.6683278620243073,0.7021281719207764
3W,train,stage,normal,rho,4000,0.613859952814877,0.07112022290726436,0.26984596252441406,0.36750021427869795,0.6206121891736984,0.6241996586322784,0.6389791518449783,0.6683278620243073,0.7021281719207764
3W,train,unit,WELL-00001,critical_energy_ratio,767,0.3646734105095248,0.019344570750729585,0.33633625507354736,0.33725670874118807,0.3385351747274399,0.3781285881996155,0.37907201051712036,0.3838995277881622,0.38484853506088257
3W,train,unit,WELL-00001,safe_capacity,767,0.6353265894127638,0.019344571756477136,0.6151514649391174,0.6161004841327667,0.6209279894828796,0.6218714118003845,0.6614648103713989,0.6627433121204376,0.6636637449264526
3W,train,unit,WELL-00001,rho,767,0.6353265894127638,0.019344571756477136,0.6151514649391174,0.6161004841327667,0.6209279894828796,0.6218714118003845,0.6614648103713989,0.6627433121204376,0.6636637449264526
3W,train,unit,WELL-00002,critical_energy_ratio,1829,0.4176743171494016,0.14378083851833767,0.34779301285743713,0.3599929869174957,0.36962154507637024,0.37551483511924744,0.3797149360179901,0.8928675532341003,0.9090303778648376
3W,train,unit,WELL-00002,safe_capacity,1829,0.5823256825898891,0.1437808385898376,0.09096962213516235,0.10713243335485459,0.6202850937843323,0.6244851350784302,0.6303784847259521,0.6400069952011108,0.6522070169448853
3W,train,unit,WELL-00002,rho,1829,0.5823256825898891,0.1437808385898376,0.09096962213516235,0.10713243335485459,0.6202850937843323,0.6244851350784302,0.6303784847259521,0.6400069952011108,0.6522070169448853
3W,train,unit,WELL-00004,critical_energy_ratio,44,0.3354159288785674,9.213466466536486e-05,0.3352486789226532,0.3352834597229958,0.3353373557329178,0.33542267978191376,0.335488498210907,0.3355435535311699,0.33555254340171814
3W,train,unit,WELL-00004,safe_capacity,44,0.664584069089456,9.213807660796215e-05,0.6644474267959595,0.6644564419984818,0.6645114868879318,0.664577305316925,0.6646626442670822,0.6647165149450303,0.6647513508796692
3W,train,unit,WELL-00004,rho,44,0.664584069089456,9.213807660796215e-05,0.6644474267959595,0.6644564419984818,0.6645114868879318,0.664577305316925,0.6646626442670822,0.6647165149450303,0.6647513508796692
3W,train,unit,WELL-00005,critical_energy_ratio,417,0.33953502688476506,0.00721658156657316,0.3313480317592621,0.331449955701828,0.3316003680229187,0.3422987759113312,0.3466607332229614,0.34759165048599244,0.3486216962337494
3W,train,unit,WELL-00005,safe_capacity,417,0.6604649731867033,0.007216581073885293,0.6513782739639282,0.6524083495140076,0.6533392667770386,0.6577012538909912,0.6683996319770813,0.6685500621795655,0.6686519384384155
3W,train,unit,WELL-00005,rho,417,0.6604649731867033,0.007216581073885293,0.6513782739639282,0.6524083495140076,0.6533392667770386,0.6577012538909912,0.6683996319770813,0.6685500621795655,0.6686519384384155
3W,train,unit,WELL-00007,critical_energy_ratio,10,0.4280137926340103,0.00027876262161335015,0.42757758498191833,0.4276180326938629,0.4278288260102272,0.42797356843948364,0.42828548699617386,0.428363473713398,0.4284204840660095
3W,train,unit,WELL-00007,safe_capacity,10,0.5719862103462219,0.0002787569477145522,0.5715795159339905,0.571636539697647,0.5717145204544067,0.5720264315605164,0.5721711665391922,0.5723819702863693,0.572422444820404
3W,train,unit,WELL-00007,rho,10,0.5719862103462219,0.0002787569477145522,0.5715795159339905,0.571636539697647,0.5717145204544067,0.5720264315605164,0.5721711665391922,0.5723819702863693,0.572422444820404
3W,train,unit,WELL-00008,critical_energy_ratio,491,0.3785203224287014,0.0022089000967927793,0.37335777282714844,0.37562917172908783,0.3759731948375702,0.37858104705810547,0.3814993053674698,0.3815294951200485,0.3815484344959259
3W,train,unit,WELL-00008,safe_capacity,491,0.6214796787852426,0.0022089009474505054,0.6184515357017517,0.6184704899787903,0.618500679731369,0.6214189529418945,0.6240268051624298,0.6243708431720734,0.6266422271728516
3W,train,unit,WELL-00008,rho,491,0.6214796787852426,0.0022089009474505054,0.6184515357017517,0.6184704899787903,0.618500679731369,0.6214189529418945,0.6240268051624298,0.6243708431720734,0.6266422271728516
3W,train,unit,WELL-00010,critical_energy_ratio,231,0.7578581202597845,0.11468683124906193,0.6307757496833801,0.6324547827243805,0.6363488435745239,0.7767484188079834,0.8463913202285767,0.9147127568721771,0.9150188565254211
3W,train,unit,WELL-00010,safe_capacity,231,0.24214188077233054,0.11468683211416464,0.08498115092515945,0.08528722450137138,0.15360867232084274,0.2232515960931778,0.36365118622779846,0.3675452023744583,0.3692242503166199
3W,train,unit,WELL-00010,rho,231,0.24214188077233054,0.11468683211416464,0.08498115092515945,0.08528722450137138,0.15360867232084274,0.2232515960931778,0.36365118622779846,0.3675452023744583,0.3692242503166199
3W,train,unit,WELL-00013,critical_energy_ratio,206,0.8647309648759157,0.11611833962441562,0.3549797832965851,0.6045993864536285,0.8811425566673279,0.9056474268436432,0.9131695330142975,0.9159648418426514,0.9165031313896179
