dataset,delta_auprc,delta_detection_delay,delta_early_recall,delta_far,delta_macro_f1,endpoint_best,p,seed,stage
3W,-0.0921665693081124,-336.80555555555566,0.0799122127549704,0.09583742686952906,-0.07090971042073102,1.0,0.5,42,B
3W,-0.04573645413201588,-227.55555555555566,0.011102504518461176,-0.014418098297974025,-0.02545032204737485,1.0,0.5,43,B
3W,-0.0032684486861636053,3.555555555555543,-0.1461399431964885,0.21561650867829674,-0.1045631492729493,1.0,0.5,44,B
3W,-0.15485037398599788,-329.69444444444434,0.0782339271882262,0.11375162635086694,-0.07496307068890706,1.0,0.25,42,B
3W,-0.03691652861706096,-216.8888888888889,0.011102504518461176,-0.01424993140560965,-0.028077280716493735,1.0,0.25,43,B
3W,0.07678898945792845,732.4444444444445,-0.0810741027627162,0.19886177566536561,-0.03231888679679007,1.0,0.25,44,B
TEP,0.0005646375143776305,-3.1999999999999886,0.03749999999999998,-0.012276785714285712,0.01196911165794079,0.0,0.25,7,B
TEP,-4.519266703684188e-05,0.4000000000000057,-0.006249999999999978,-0.002232142857142856,-0.0015450809976735869,0.0,0.25,42,B
TEP,-2.2596619501658033e-05,2.799999999999997,-0.006249999999999978,0.004464285714285712,-0.0005379558456599653,0.0,0.25,2026,B
TEP,0.00044068371635119785,0.0,0.02499999999999991,-0.015625,0.011464545245218338,0.0,0.5,7,B
TEP,-2.0936324195308664e-05,0.0,0.0,0.0011160714285714246,-0.0015594660749056466,0.0,0.5,42,B
TEP,-2.3551734784854617e-05,0.0,0.0,0.010044642857142856,-4.589583813863207e-05,0.0,0.5,2026,B
