dataset,channel,frequency_bin,selection_probability,assignment_confidence,r1_timestep,ug_timestep
3W,16,2,0.5,0.0,2.9684035778045654,3.0
3W,11,14,0.5,0.0,2.7847254276275635,3.0
3W,11,6,0.5,0.0,2.871134042739868,3.0
3W,11,27,0.5,0.0,2.7744977474212646,3.0
3W,6,23,0.5,0.0,2.897381067276001,3.0
3W,16,3,0.5,0.0,2.8972725868225098,3.0
3W,11,24,0.5,0.0,2.770378351211548,3.0
3W,21,18,0.515625,0.03125,3.1151639223098755,3.0035988725721836
3W,11,17,0.515625,0.03125,2.806527614593506,2.993953987956047
3W,11,19,0.515625,0.03125,2.7841386795043945,2.9932543337345123
3W,11,11,0.515625,0.03125,2.801258087158203,2.993789315223694
3W,11,7,0.515625,0.03125,2.847884178161621,2.9952463805675507
3W,8,14,0.515625,0.03125,3.013056993484497,3.0004080310463905
3W,11,2,0.515625,0.03125,2.9694511890411377,2.9990453496575356
3W,16,1,0.515625,0.03125,2.8255765438079834,2.9945492669939995
3W,11,31,0.515625,0.03125,2.5453624725341797,2.985792577266693
3W,11,21,0.484375,0.03125,2.8063151836395264,2.993947349488735
3W,11,20,0.515625,0.03125,2.791588544845581,2.9934871420264244
3W,11,28,0.484375,0.03125,2.7774617671966553,2.9930456802248955
3W,11,25,0.515625,0.03125,2.768467664718628,2.992764614522457
TEP,24,28,0.5,0.0,2.9430134296417236,3.0
TEP,29,17,0.5,0.0,2.9825680255889893,3.0
TEP,32,8,0.5,0.0,2.998448610305786,3.0
TEP,10,20,0.515625,0.03125,2.989093065261841,2.9996591582894325
TEP,29,31,0.484375,0.03125,3.0417542457580566,3.0013048201799393
TEP,46,30,0.515625,0.03125,3.0,3.0
TEP,34,8,0.515625,0.03125,2.9625322818756104,2.998829133808613
TEP,40,26,0.484375,0.03125,2.987049102783203,2.999595284461975
TEP,36,9,0.53125,0.0625,2.963052272796631,2.9976907670497894
TEP,10,12,0.53125,0.0625,2.970668077468872,2.9981667548418045
TEP,41,5,0.46875,0.0625,3.072128176689148,3.0045080110430717
TEP,35,28,0.53125,0.0625,2.9487128257751465,2.9967945516109467
TEP,32,6,0.53125,0.0625,3.01133131980896,3.00070820748806
TEP,28,29,0.546875,0.09375,2.9834189414978027,2.998445525765419
TEP,26,3,0.453125,0.09375,3.0628583431243896,3.0058929696679115
TEP,28,2,0.546875,0.09375,2.9770898818969727,2.997852176427841
TEP,35,4,0.546875,0.09375,2.9174304008483887,2.9922591000795364
TEP,36,14,0.453125,0.09375,3.0274059772491455,3.0025693103671074
TEP,41,2,0.453125,0.09375,2.9996418952941895,2.9999664276838303
TEP,32,21,0.453125,0.09375,3.004427671432495,3.0004150941967964
